{'短评内容': '房子比较旧，但是服务还是不错', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '价格贵 设备差', '短评打分': 2}
{'短评内容': '网络比较慢 设施比较陈旧 插座太少 我还要借插排烧水 灯光昏暗 还是1.5m的床 卫生还算干净 跟我想象中的海景房差别太大 要不是下大雨不会选择 总体无感', '短评打分': 3}
{'短评内容': '房间空调像拖拉机一样吵，房间旧的很。而且房间里很很臭。', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '還行，吃東西逛街到海邊都很方便', '短评打分': 4}
{'短评内容': '位置比较偏僻，而且比较久，房间有点闷', '短评打分': 3}
{'短评内容': '卫生差，玻璃被灰士覆盖，气味大', '短评打分': 3}
{'短评内容': '国庆那几天返现之后的价格还是可以的～酒店前台态度很好～房间也挺宽敞，厕所很大。但是床比较小，房间不太隔音。', '短评打分': 4}
{'短评内容': '没有窗户，有一股很浓的霉味、、、、', '短评打分': 3}
{'短评内容': '设施和服务态度都还好，就是房间超级闷，呼吸都困难，将就住着，一般吧', '短评打分': 1}
{'短评内容': '这个酒店一般的狠房间隔音超差！房间超小简直就是一小黑屋！！床根本不够长！！！很不满意', '短评打分': 3}
{'短评内容': '还好， 不像网上说的有发霉味， 气味也不怎么大， 外面有个市场，走出去就有点腥味， 但是既然在海边有这些味道也正常。 觉得一早出去逛海景比较方便， 但找不到大型超市。 有点不如意的是电话打不出去， 马桶冲水有点问题。', '短评打分': 5}
{'短评内容': '虽然酒店工作人员不算专业，但态度还不错，房间网线需要自己索取，无一次性鞋子，4楼有桑拿，男人可以去，其他还好，可以在接受范围内', '短评打分': 5}
{'短评内容': '这间酒店在情侣路，很宁静。我很喜欢！希望下次再到珠海时再入住！', '短评打分': 5}
{'短评内容': '酒店环境、装修还可以,服务态度较好。步行几分钟就到野狸岛。', '短评打分': 3}
{'短评内容': '客房内装修比较新，房间很大，就是楼下有个海鲜市场，有点味道，其他还行，值得推荐！', '短评打分': 5}
{'短评内容': '地理位置不错 环境也好 酒店设施配套比较全 干净整洁卫生 是个很好的选择', '短评打分': 5}
{'短评内容': '住了一晚，感觉还不错，价格也蛮适合的...', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '坏境不错。服务态度好。位置很好，靠近海和珠海渔女，', '短评打分': 5}
{'短评内容': '处在比较繁华的地方 出门是个鱼市 但宾馆里没有味道 房间干干净净,晚上还可以坐公交26路去888街吃烤生蚝! 很美味~~ ', '短评打分': 3}
{'短评内容': '整体干净，因为附近有个渔市，天晴的时候腥味儿会重点。', '短评打分': 5}
{'短评内容': '酒店位置很好，在情侣中路。但房间比较旧，空间比较小，毛巾不是很干净。床也不是很舒服，大厅的工作人员感觉也不是很专业', '短评打分': 1}
{'短评内容': '正对着情侣中路的酒店，还不多~店员态度都很好', '短评打分': 5}
{'短评内容': '3房间光线比较好，服务太度也不错！但是房间有点小，里面有一股怪味！', '短评打分': 3}
{'短评内容': '位置优越，交通方便，服务热情周到；相比之下，价格偏高。', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
