{'descr': '还不错，就是2楼装修有点吵', 'star': 5}
{'descr': '非常干净整洁，温度很好！', 'star': 5}
{'descr': '洗澡热水不热', 'star': 3}
{'descr': '卫生间热水不热！', 'star': 4}
{'descr': '很宽敞，地理位置也好，价格合理，适合入住', 'star': 5}
{'descr': '信谊绘本世界精选图画书：猜猜我有多爱你', 'star': 5}
{'descr': '信谊绘本世界精选图画书：猜猜我有多爱你', 'star': 5}
{'descr': '住了很多次还不错', 'star': 5}
{'descr': '一如既往的好', 'star': 5}
{'descr': '好好好好好好干', 'star': 5}
{'descr': '整体来讲还不错', 'star': 5}
{'descr': '挺好的挺像那么回', 'star': 5}
{'descr': '很干净 很好找 不错', 'star': 5}
{'descr': '与善人居，如入芝兰之室，久而不闻其香，即与之化矣；与不善人居，如入鲍鱼之肆，久而不闻其臭，亦与之化矣', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '很奇怪的酒店  住了多次  说不出什么好也说不出什么不好  不过这次不好  前台太乱  感觉不好', 'star': 3}
{'descr': '环境优雅，价格实惠', 'star': 5}
{'descr': '还行，房间比较大。', 'star': 4}
{'descr': '酒店很舒适，比较满意', 'star': 5}
{'descr': '还不错', 'star': 4}
{'descr': '环境还不错 比较干净 就是早餐low了一点 建议改进一下', 'star': 5}
{'descr': '挺干净的，就是没有毛巾一次性洗漱用品要花钱买，房间隔音效果不好，其他的都还不错', 'star': 4}
{'descr': '性价比还不错', 'star': 5}
{'descr': 'wifi不好', 'star': 2}
{'descr': '很好', 'star': 5}
