{'短评内容': '房间很干净.环境佳！', '短评打分': 5}
{'短评内容': '离海滩挺近的，早上五点多起床时天已经微亮，以为太阳已经升起，退了房后，一路小跑跑到海边大概十来分钟。第一次住没窗的房间感觉有些压抑，以后还是预定有窗的吧(˘_˘٥)', '短评打分': 4}
{'短评内容': '设施陈旧，部分破损，自己的停车位也没有，门口有划线停车位要看机遇的服务也一般，什么都要自己去问的，如果带小孩的不建议去', '短评打分': 2}
{'短评内容': '没有停车位，酒店在路边的，自己找运气好就有，没有就没有。没有早餐，前台接待服务太差，问她一下就敷衍，只顾着玩游戏。不推荐入住', '短评打分': 2}
{'短评内容': '床垫较软，无停车场，可停路边。', '短评打分': 4}
{'短评内容': '我为什么喜欢在京东买东西，因为今天买明天就可以送到。我为什么每个商品的评价都一样，因为在京东买的东西太多太多了，导致积累了很多未评价的订单，所以我统一用段话作为评价内容。', '短评打分': 5}
{'短评内容': '房间整洁明亮、设施齐全，前台也很热情，性价比很高。不足之处就是卫生间有前面客人打开未用完的牙膏，收拾的不够认真，另外插座较少。总体还是非常满意的，比旁边的格林强很多', '短评打分': 5}
{'短评内容': '还不错，房间小点', '短评打分': 5}
{'短评内容': '住的朝马路的房间，早晚很吵。酒店条件一般，和福清卡瑞登比，差距较大。', '短评打分': 4}
{'短评内容': '入住了福建好几个凯瑞登了，这是最差的一个，但价钱比起福清的来讲，也没便宜多少，福清的250可以住到，这里也要200块了。里面设施一般，就是7天酒店的标准，住了一个靠着马路的房间，真是吵死。早饭也相当差劲，只有粥，各种咸菜，油条，馒头。下次再来平潭应该不会再住了。', '短评打分': 3}
{'短评内容': '酒店还不错，就是离龙凤头浴场远了点，大概要走十几分钟', '短评打分': 4}
{'短评内容': '暂时没有发票，希望后面能补上。', '短评打分': 3}
{'短评内容': '很好哈哈哈机会再来', '短评打分': 3}
{'短评内容': '冲凉花洒水小。隔音差。国庆期间448元。性价比太低。', '短评打分': 3}
{'短评内容': '位置：在平潭县城的主干道之一上，离车站较远，但门口就有公交站，可以直接到车站，只是走路20分钟能到的距离，坐车也能绕20多分钟，对于平潭的交通我也是有点醉。  卫生：挺好的，干净整洁。  设施：基本的没有特别出彩也不差。  早餐：入住时没有说明是否有早餐，后来问了前台知道是有的。早餐还行，比较简单，但是能够吃饱。  价格：偏贵，同样是国庆期间，价格比在福州市区高铁站附近的速八贵了一倍。  其他：携', '短评打分': 5}
{'短评内容': '位置：在平潭县城的主干道之一上，离车站较远，但门口就有公交站，可以直接到车站，只是走路20分钟能到的距离，坐车也能绕20多分钟，对于平潭的交通我也是有点醉。  卫生：挺好的，干净整洁。  设施：基本的没有特别出彩也不差。  早餐：入住时没有说明是否有早餐，后来问了前台知道是有的。早餐还行，比较简单，但是能够吃饱。  价格：偏贵，同样是国庆期间，价格比在福州市区高铁站附近的速八贵了一倍。  其他：携', '短评打分': 5}
