{'短评内容': '好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '服务很好 地理位置嘉', '短评打分': 5}
{'短评内容': '来重庆必选酒店，位置就在观音桥星光68后面，星光68里面就有直达酒店的电梯，出门就可以逛观音桥步行街，晚上吃夜宵的地方也很多经过推荐换成了大一些的房间，果然超大的，住的很舒服。每次出门都会有服务员打扫卫生，而且重庆潮湿的气候房间里却没有异味。这次美中不足的就是电视好多频道放不出来，退房时前台说可以找服务人员帮忙调一下，但是还是希望可以改进吧。', '短评打分': 5}
{'短评内容': '整体还不错', '短评打分': 5}
{'短评内容': '酒店非常不错！前台的美女很热情，也很细心，很有礼貌，入住赠送了曲奇饼。房间很大，各种设施齐全，隔音很好，听不到什么杂音。沙发和床挺舒服的，完美的入住体验，下次还会选择逸林', '短评打分': 5}
{'短评内容': '比较老旧的酒店', '短评打分': 5}
{'短评内容': '哎，订单第二天就因为无房被取消了，辛苦及时在其他网站订到了', '短评打分': 4}
{'短评内容': '环境好 设施全 安静', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '每次都住这个酒店，京东后续服务很好，很耐心，谢谢', '短评打分': 5}
{'短评内容': '位置还不错，就在观音桥商圈，服务也不错', '短评打分': 5}
{'短评内容': '环境设施都还不错...', '短评打分': 5}
{'短评内容': '环境设施都还不错....', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '可以，就是前台确认太慢了，。。酒店wifi是个问题', '短评打分': 5}
{'短评内容': '酒店服务很好，位置也方便，就是时间长了，大堂略显陈旧', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '我定的是豪华客房 6—25楼… 结果给我的房间是6楼的… 当然 人家也有写明 … 还是不是很高兴… 房间还行  周围都是商场 逛街吃饭都非常方便。', '短评打分': 4}
{'短评内容': '在携程订的是豪华房，办理入住的时候，前台给的是逸林单间了。到房间发现不对，就让前台核对一下原始订单。然后就吃着曲奇等咯，半小时后就升级到豪华套房。曲奇太甜了。。。', '短评打分': 4}
{'短评内容': '很满意', '短评打分': 5}
{'短评内容': '房间老了', '短评打分': 5}
{'短评内容': '酒店环境不错，简约大气的设计，房间特温馨，面积宽敞，硬件软件设施都不错的，出门逛街实在太方便了，对面是重庆有名的北城天街，吃玩聚一体化的，北城天街在往上走300米左右就是酒吧一条街，晩上人气好旺的，朋友小聚很是惬意的，酒店对面的一条小街里面，各种夜宵让你感觉重庆人的热情，麻辣烫，串串，好有味蕾的，，实在太喜欢了，闹中有静，下次来还住这里。', '短评打分': 5}
{'短评内容': '满意，各方面都很不错，好', '短评打分': 5}
{'短评内容': '很不错的选择，周边就是商业街，酒店设施卫生都很棒', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '非常满意', '短评打分': 5}
{'短评内容': '交通便利 早餐丰富', '短评打分': 5}
{'短评内容': 'Stayed 3 nights for business trip. Great location, close to downtown(GuanYinQiao) and shopping malls, easy to get a taxi. I got free upgrade to larger executive room which was great. Room was very cle', '短评打分': 5}
{'短评内容': '这是一个非常舒适服务良好设备完善价格合理的理想酒店!下次来重庆!再住!', '短评打分': 3}
{'短评内容': '酒店设施齐全位置离北城天街超近，郁闷的是去的时候酒店游泳池在维修不开放，另外早餐品种少了点', '短评打分': 5}
{'短评内容': '名副其实的五星级酒店 人性化的服务 床特别舒服 ！', '短评打分': 3}
{'短评内容': '很方便，新，服务好。', '短评打分': 3}
{'短评内容': '酒店总的来说很给力，隔音不错，和朋友hotel party没有影响到同楼层的客人，但套房光线太暗。前台送的曲奇饼干很美味。', '短评打分': 5}
{'短评内容': '交通方便，实施较新，早餐丰盛。', '短评打分': 3}
{'短评内容': '很不错 很温馨 性价比在重庆是没话说的  前台服务MM的态度非常好 晚上到了还赠送曲奇饼干一块 可惜那天我已经吃了3顿晚饭 扛不住的说 呵呵', '短评打分': 5}
