{'短评内容': '早餐说实话不怎么样，别的都还不错', '短评打分': 5}
{'短评内容': '还行，周边较冷清', '短评打分': 4}
{'短评内容': '早餐还可以，品种有些少。下午13点半到酒店，办了入住收续，进房一看和我预定的不一样，我预定的是商务单间大床房，给我的是标间，再去总台换，这一来回就花了将近30分钟，等我到房间后想起早餐的信息，总台都没说早餐在哪？几点？凭什么吃早餐，房间里也找不到信息，打电话到总台问才告诉我，这样的服务别的酒店可能不会出现吧？房间的灯光很暗，设施有些旧了。', '短评打分': 3}
{'短评内容': '一般般老装修', '短评打分': 3}
{'短评内容': '好，很好，非常好！', '短评打分': 5}
{'短评内容': '酒店位置很好。服务OK，早餐够吃就好，价格便宜，再来！', '短评打分': 5}
{'短评内容': '没住成的！处理事情非常被动！', '短评打分': 5}
{'短评内容': '酒店还行，性价比还算不错的，房间较大，不过前台说了，网上的高级套间就是标间，所以还是找价格最实惠的就行了', '短评打分': 5}
{'短评内容': '非常不错，干净舒适，', '短评打分': 5}
{'短评内容': '很好，下次再来，服务很好。。。', '短评打分': 5}
{'短评内容': '三星价格，五星房间，服务，不错，不错。。。', '短评打分': 5}
{'短评内容': '這裡的服務真是太差了，早餐說好是7～9:30結果差不多8:30來早餐什麼都沒有了，問服務員會不會再加菜直接說不加了，都還沒到9點就不加菜，讓後面的人都不用吃了嗎？跑邊各個國家城市，第一次住到這麼爛的酒店，說真的中國發展的這麼快，但服務卻是落後的可以，下次來出差來常州絕對不會再來', '短评打分': 1}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '好好，很舒服', '短评打分': 5}
{'短评内容': '订了豪华大床间。结婚前一天住那的。除了蓬蓬头有点不太好。水太散。其他很ok。暖气也足。wifi一个房间一个。用着很快。。就是早餐券后来忘了去吃了。', '短评打分': 5}
{'短评内容': '老酒店了，不过设施还是很齐全的', '短评打分': 4}
{'短评内容': '无线网络有如虚设，永远处在限制，没一个网点能开得了。', '短评打分': 3}
{'短评内容': '服务态度很好！交通方便，房间卫生，早餐丰富。', '短评打分': 5}
