{'descr': '交通方便，位置很好，方便出行。', 'star': 5}
{'descr': '价格稍有点贵，不过还可以，服务也算不错！', 'star': 4}
{'descr': '一般吧', 'star': 3}
{'descr': '房间有点小，电视也小', 'star': 4}
{'descr': '房间是住的半地下，第一次房间是马路边有小窗户，汽车声音，拖着行李箱经过的行人都听得很清楚，非常吵，后来联系了客服换了房间，但第二次房间虽然靠近小区有小窗户，但到早上小区有声音超大的人在谈话，非常清晰，真的影响睡眠，等下又必须换房间，没有窗户的！', 'star': 3}
{'descr': '很不错，环境也好，服务也到位&hellip;&hellip;', 'star': 5}
{'descr': '帮朋友订的，据说还不错，交通方便。', 'star': 5}
{'descr': '房间很小但是交通便利', 'star': 5}
{'descr': '交通方便，紧邻南京路步行街，游玩很方便', 'star': 5}
{'descr': '卫生条件不太好，进门就看到地面和床单不太干净，设施比较老旧，距离南京路步行街50米，外滩500米，交通便利', 'star': 4}
{'descr': '电梯经常坏', 'star': 5}
{'descr': '位置不错，这个价位在上海这个位置算是不错了', 'star': 3}
{'descr': '不错', 'star': 4}
{'descr': '嗯好', 'star': 5}
{'descr': '还不错，很棒耶', 'star': 5}
{'descr': '差', 'star': 3}
{'descr': '酒店地理位置很好，挨着步行街，就是通风效果不太好', 'star': 4}
{'descr': '不错 值得推荐 很好', 'star': 3}
{'descr': '房间环境还算不错，就是从外面看起来比较不好。', 'star': 3}
{'descr': '出入方便，去外滩、南京路步行即可，干净，服务态度好，宁波路上的小吃店也不错。订的高级大床房，无床头灯算是一个小遗憾了。不过下次去上海还会订房。', 'star': 5}
{'descr': '住的259元房，早上9点被吵醒，后来一问，楼上是幼儿园，我的天哪。睡宾馆是求睡眠啊，这样子够折腾了。还有一次是人行道边上房间，我说房间怎么就那么差呢。', 'star': 1}
{'descr': '酒店离南京东路的地铁口非常近，出地铁5号口就可以看到酒店标志了。到外滩和人民广场都非常近的。酒店的正门的边上还有一个24小时便利店，想东西也非常方便。不过特价房是在地下室，有两个气窗通风和采光，条件比较差一些，第二天定的不是特价房，可还是在地下室住，住宿感觉较差。', 'star': 5}
{'descr': '房间虽小 地点便利 南京路 外滩 地铁2号 特近', 'star': 5}
{'descr': '酒店不错位置好', 'star': 3}
{'descr': '我大概晚上7点半到了酒店，我原来定的是特价房（无窗），酒店前台告诉我还剩1间有窗的半地下室的，让我先看看，我粗略看了一下，就入住了，但没想到的是。。。\n我待了小会，发现外面的汽车和说话声音都能听见，然后就出门了。从街上回来，大概十一点多了。这是我发现这间房（位置在两个街的拐角）特别吵，基本上听见任何从外面传来的声音，房间里也很脏，有蟑螂。这一晚，我基本没睡，太吵了。\n第二天一早，我就打电话换了其它', 'star': 5}
{'descr': '飯店舊了點, 房間還算乾淨, 只是有點小\n距離外灘很近, 地理環境好', 'star': 5}
{'descr': '这次是第二次，住这家酒店，房间干净，舒适，整洁。前台服务很好，一进酒店，就有种宾至如归的感觉！', 'star': 5}
{'descr': '挺方便，不错。', 'star': 3}
{'descr': '离外滩很近，好！与其他汉庭一样的风格，喜欢', 'star': 5}
{'descr': '离步行街很近，离外滩也挺近，住着还不错，交通方便，价格合适', 'star': 5}
{'descr': '地理位置不错，特价房无窗，配套还可以', 'star': 3}
{'descr': '酒店很一般，就在南京路步行街上，定的高级大床房，不过只是卫生间大了点，房间是一点都不大，到外滩3分钟，晚上看夜景不错！', 'star': 5}
{'descr': '公司同事参加展会订的酒店啦!方便快捷嘛!离展会很近的,出行也很方便,价格很合理啦!下次有机会还会入住这家酒店的.', 'star': 5}
{'descr': '前台服务态度恶略，房间没热水也不帮忙解决', 'star': 1}
{'descr': '位置真的很好，卫生也不错，就是有点吵，希望设施能有所提高，如用双层隔音玻璃', 'star': 5}
{'descr': '环境很不错，就在南京路旁边，去豫园、南京路步行街、外滩、陆家嘴都很方便，而且隔壁就有全家便利店，而且房间比较宽阔，窗也很大，提供设备都很齐全。', 'star': 5}
{'descr': '非常不错，态度很热情，房间很满意', 'star': 3}
{'descr': '地段好，房间及设施也可以，就是靠马路，晚上有点吵。', 'star': 3}
{'descr': '如果想离步行街近点，这家酒店是不错的选择。', 'star': 5}
{'descr': '离南京路步行街一个近。也在地铁出口边上，东方明珠在房间就能看到。。。不过在马路边上。晚上睡觉有点吵', 'star': 5}
{'descr': '很干净，靠近南京路步行街，很方便', 'star': 3}
{'descr': '很干净，靠近地铁、观光巴士，', 'star': 3}
{'descr': '交通很方便，旁边就是地铁10号线，酒店旁边有超市，另外还有一个小杨生煎~~每天早上都来这里吃早餐！呵呵！', 'star': 5}
{'descr': '地理位置不错，但是环境太吵，尤其是半地下的房间，早餐没有自助餐', 'star': 5}
{'descr': '地理位置好，房间干净。', 'star': 3}
{'descr': '入住快捷，地段很好，旅游方便', 'star': 3}
{'descr': '地点不错。不过淋浴水太小，卫生间屋顶还有点漏雨。', 'star': 5}
{'descr': '环境不错，出去玩一般都是住汉庭，这次住的地方唯一的就是窗户的隔音效果弱一点，听到路人的脚步声。其它都非常好', 'star': 5}
{'descr': '位置比较便利，离地铁口和南京东路东侧入口都比较近，不过隔音稍微差了点，但是也勉强接受吧', 'star': 5}
{'descr': '位置非常好，逛南京路和外滩抬脚即到。只是通过ELONG预订，酒店方面给的是地下室；而其自留房间就好多了。', 'star': 5}
{'descr': '位置很好，酒店也是新开的房间也很干净设施也很新，服务态度还不错，价格还是比较合适。', 'star': 5}
{'descr': '距离2号线地铁口较近，但房间环境一般，设施较旧。', 'star': 5}
{'descr': '地理位置不错，交通方便，但大厅和门厅太小不好找。', 'star': 3}
{'descr': '房间小，房间的淋浴喷头坏了，不好用，位置较好', 'star': 3}
{'descr': '房间干干净净，设施齐全，交通便利，就是有点吵', 'star': 5}
{'descr': ' 已入住汉庭酒店，除了交通方便外其他都比较差。', 'star': 5}
{'descr': '就在南京路边上，从地铁站出来就是，逛南京路的话很方便。酒店房间有点小', 'star': 5}
{'descr': '可以', 'star': 5}
{'descr': ' 房间有味道', 'star': 5}
{'descr': '            方便较清洁', 'star': 5}
{'descr': '399元的“特价”就是地下室---这倒也无所谓了，但隔音如此之差令人无法容忍。连行人说话都听得一清二楚，不要说无数的汽车自动车噪音了。弄个厚点的玻璃很难吗？\r\n\r\n', 'star': 1}
{'descr': '改住一天', 'star': 5}
{'descr': '房间没有窗户.通风和采光都不好.位置是就近选择的还不错.其它各方面条件一般.', 'star': 1}
{'descr': '从南京路向北走，到天津路，远远就看到了汉庭，相信所有旅者都会循着这个标志去找，进了里弄，又有个汉庭标示，门是锁着的，前面还有个标牌，又找过去，一个小铁门，走进去到二楼，什么也没有，气愤的退出来，听别人说这是后门，又转到河南中路，才是正门，进去气的嚷了服务员几句，对方还振振有辞：那是我们的广告！确实那边也有个门，只是晚上八点就锁了！\r\n真晕！我看这广告是误导，她所谓的后门，我看到是锁了，里面还有个人', 'star': 1}
