{'短评内容': '基本没啥好点评的  环境一般 是 商住结合的 ', '短评打分': 2}
{'短评内容': '一般般！在装修', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好臭', '短评打分': 2}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '较一般的工薪阶层家庭出游可以住这里。如果是多上点档次的就不行了。感觉到了香港的家庭旅馆。', '短评打分': 3}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '房间是复式的，空间超大，性价比超高，位置较好，离解放路及步行街很近。唯一不足就是感觉宾馆比较乱，人也杂，电梯里及过道有股味道，非常不舒服，装修也有点老旧了，二楼的卫生间淋浴坏了不能洗澡。', '短评打分': 4}
{'短评内容': '裝修泰，有異味。位置不錯', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境还可以，房间很大', '短评打分': 3}
{'短评内容': '太差，没空气流通，', '短评打分': 1}
{'短评内容': '就是打车不方便，服务一般，三亚整体服务好像都这样就不强求这家了。其他都还不错，就是没早餐。', '短评打分': 5}
{'短评内容': '酒店房间很不错，两层，空间也大。不过服务员收拾房间有时候很干净，有时候。。', '短评打分': 1}
{'短评内容': '我们一家三口入住了复式房,我还满意房间的设置的,我儿子也很开心,就是太调皮了,打烂了里面几个杯子,不过你们千万不要打破东西哦,要赔钱的...', '短评打分': 3}
{'短评内容': '工作方便，交通方便，下次还来住。。。。。。。。。', '短评打分': 5}
{'短评内容': '真的很不错，很舒服，下次来的话还会再来，强烈推荐', '短评打分': 5}
{'短评内容': '酒店不错。适合几个人住。出行很方便', '短评打分': 3}
{'短评内容': '其他将就，缺点没洗衣机和晾衣服的', '短评打分': 3}
{'短评内容': '空间就是大啊，两个人住有点浪费。卫生有点差，刚入住就在床上发现一根男人的短头发，肯定不是老公的，那时他还在楼下上网没上来过呢，至此心里一直有阴影了，总感觉躺在床上身上痒。', '短评打分': 5}
{'短评内容': '干净，空间大，装修好，位置还算不错，适合家庭旅游入住。', '短评打分': 5}
{'短评内容': '复式的，感觉就是大。。装修的不错，唯一让我感觉这次入住很不爽的是，一大早housekeeper吵的来要死！ 吵 吵 吵 ！ 把我们都吵醒了！！！', '短评打分': 5}
{'短评内容': '去市区打车比较方便 复式的房子可以住四个人家庭出游比较方便', '短评打分': 5}
{'短评内容': '本来只打算住一晚上，后来入住后我老公说性价比还可以。然后我们又续订了两个晚上。但是有点要提醒其他住客，就是打的回来时你说酒店名称或者黄金广场出租车司机都不知道的。你要说三亚河那边的河西派出所，的哥就基本上知道了。\n还有，酒店的网线是需要自己问前台申请的。', '短评打分': 5}
{'短评内容': '本人于2月24日入住该酒店，从汽车站出来电话咨询酒店位置，寻找该酒店费了很长时间。总体说，酒店地理位置还不错，去第一市场、春园海鲜大排档比较方便。酒店内部设施有些陈旧，室内有些味道。早餐品种极少，与价格不符。房间比较适合全家旅游居住。', '短评打分': 5}
{'短评内容': '感觉还不错吧。我是大年初六去的三亚，算是春节长假的最后一天，也是三亚酒店价格高的离谱的最后一天，所以就打算在市里找家便宜的先住一天，等第二天再换家好点的，找了半天选的这家。说实话，这家酒店性价比挺高的，算是市中心的位置了，可是由于部分是售完返租的，感觉管理十分混乱。而且楼层不高，导致屋子里特别潮感觉。总体还不错，离那个什么超市挺近的，第一市场也不远，最重要的是在河边，早起可以去河边散步锻炼。', '短评打分': 5}
{'短评内容': '基本满意！', '短评打分': 3}
{'短评内容': '适合家人一起来入住  家庭商务套间就是没有门 如果是两家的家人 如果能有门就最好了 早餐有待改进哦', '短评打分': 5}
{'短评内容': '房间很大，价格也很实惠，里面的装修也不错。\n跃层两居室，楼上的浴室不能用，没有水龙头，估计是楼上木地板，怕水泡或者防水没做好，不敢让用吧，楼下的浴室是玻璃全透明的，正挨着客厅，幸好是跟妈妈带着孩子来的，要是全家人都来了，或者跟朋友 同事来，洗澡会非常不方便，房子里有些味道，如果经常通风不会这样，并不全是因为空气潮湿导致的。\n位置很好，离彩虹桥很近，步行去第一市场稍微远点，步行大概二十分钟的路程。\n', '短评打分': 5}
{'短评内容': '如果三亚旅游推荐这家酒店   首先地理位置很方便   离步行街，一市场步行大概10分钟  旁边也有一日游的旅行社   接送很方便  再说说住宿方面   虽然房间稍显点旧  但是还是感觉物超所值   尤其我订的豪华河景复式套房   就是一个字“大”  4.5个人住完全没有问题   适合全家人一起住', '短评打分': 5}
{'短评内容': '酒店房间有点压抑。该装修了。都发霉了。。。', '短评打分': 5}
{'短评内容': '性价比非常高！！4个人住超级划算，看起来还很豪华！不过人好像不是太多，住的时候心里有点怕怕的~', '短评打分': 5}
{'短评内容': '晚上其他住户很吵，11点以后才安静；屋子里面还有很多红蚂蚁……其他还好。一间房可以入住4口人，适合一家人一起……', '短评打分': 5}
{'短评内容': '还可以吧！但有些房间墙壁发霉严重。酒店该装修了。', '短评打分': 5}
{'短评内容': '总体不错，不过房间的卫生打扫的不彻底，希望改进，早餐不好', '短评打分': 5}
{'短评内容': '很不错的酒店，适合家庭旅行时入住。', '短评打分': 3}
{'短评内容': ',房间很好很大很温馨 ,推荐入住 !!', '短评打分': 3}
{'短评内容': '还可以，听实惠的。按价位来说房型空间很大。', '短评打分': 5}
{'短评内容': '酒店房间好大好大', '短评打分': 3}
{'短评内容': '不喜欢这种楼上楼下的复式结构，其他的相对于价格来说还算可以。', '短评打分': 1}
{'短评内容': '酒店不错，很大，价格公道，在市中心不错的选择，缺点是服务员服务质量不是很高', '短评打分': 3}
{'短评内容': '很好，房间很大，价格也公道，在市中心，去各个旅游点都方便。', '短评打分': 5}
{'短评内容': '房间性价比很高，298很值得，一家人住都够了。周边很安静，出门走几步公交很多，去哪里都方便。    明年还来住，推荐我的朋友。。。', '短评打分': 5}
{'短评内容': '房间性价比很高，298很值得，一家人住都够了。周边很安静，出门走几步公交很多，去哪里都方便。', '短评打分': 5}
{'短评内容': '相对于200出头的房价而言，酒店的设施服务是物超所值！值得推荐！', '短评打分': 5}
{'短评内容': '房间上下两层,还算大,但是两层高度太矮,比较压抑,房间,浴室不是很干净,电视够大,总体一般吧', '短评打分': 5}
{'短评内容': '真的没话说~性价比太高了~建议早餐好好改善一下~还有横梁~稍一疏忽就跟它顶上了！！悲催啊~\n酒店属于市中心吧~去免税店（9元打车费）~超市~第一市场~都十分方便~', '短评打分': 5}
{'短评内容': '此酒店除了早餐和总撞我头的横梁一切堪称完美！！！', '短评打分': 5}
{'短评内容': '第一印象前台服务很差，国庆期间，前10分钟盯订的酒店说关网了，不对外，说话矛盾，又说什么的，内部才能订~！反正就是觉得我再网上订太便宜了不想给我门住~！想要收高价！', '短评打分': 1}
{'短评内容': 'good！房间很好很大很温馨，就是隔音效果不好…推荐入住', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '位置不错，房间的床很大，就是有点矮。上面的卫生间有点堵，阳台没有挂晒衣的钩子', '短评打分': 5}
{'短评内容': '酒店为复式，相对比较干净。', '短评打分': 3}
{'短评内容': ' 还不错 价格合理', '短评打分': 3}
{'短评内容': '卫生间渗水  但是离市区较近   购物方便', '短评打分': 5}
{'短评内容': '装修有种加的感觉。比较温馨。。但是墙上因潮湿有发霉的印记，让房间有些霉味', '短评打分': 5}
{'短评内容': '  性价比挺高的，洗澡的时候浴室容易溢水出来.浴室的设计不合理，总体来说还是不错的', '短评打分': 5}
{'短评内容': '还不错了，很实惠，地段也不错，房间够大。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '床很大，装修舒服，有回家的感觉，唯一遗憾的是太吵，相当的吵！一楼是个迪吧！乱我哪个叫心烦啊！！！！！！！！！！~~~~~~~遗憾啊！！！！！！可惜！！！！', '短评打分': 5}
{'短评内容': '房间很不错，这个价位还算合理，就是不太好找', '短评打分': 3}
{'短评内容': '房间不错，挺好的，地段也好，就是没有消费清单，为什么打印机老坏呢？', '短评打分': 5}
{'短评内容': '酒店还好，价格和酒店环境成正比，位置的话一般打车不是很方便。', '短评打分': 1}
{'短评内容': '\r\n房间住的挺舒服.但旁边有一工地,早上有点吵.', '短评打分': 3}
{'短评内容': '房间很大，很适合家庭旅游。但是早餐很糟糕，几乎什么都没有。', '短评打分': 5}
{'短评内容': '一般的商务酒店。', '短评打分': 3}
