{'短评内容': '床睡着一点也不舒服，卫生间灯还是坏的。', '短评打分': 2}
{'短评内容': '酒店交通便利，住宿条件也可以', '短评打分': 5}
{'短评内容': '房间非常好！', '短评打分': 5}
{'短评内容': '酒店位置好！离办事的地方近！', '短评打分': 5}
{'短评内容': '房间还好，周边环境吃玩比较方便', '短评打分': 5}
{'短评内容': '位置方便，服务好', '短评打分': 5}
{'短评内容': '环境还可以，网上订便宜50元', '短评打分': 5}
{'短评内容': '不错，价格很实惠。早餐也不错。前台服务态度也很好。', '短评打分': 5}
{'短评内容': '很好，很快捷。住宿非常满意。', '短评打分': 5}
{'短评内容': '环境不错呦', '短评打分': 5}
{'短评内容': '和朋友一起到铜仁游玩，订了两个房间，晚上9点回到房间，两个房间空调不制冷，已经一个小时了，打了三次电话还没解决，问前台能否提供风扇，回复没有，问前台有何办法，反问我有何办法！唉，真是无语。', '短评打分': 2}
{'短评内容': '很普通的酒店', '短评打分': 3}
{'短评内容': '很普通的酒店', '短评打分': 3}
{'短评内容': '地理位置很好，工作人员素质非常好，从前台到收房服务员都彬彬有礼，人在旅途比较疲惫，一个微笑一句问候充满了暖意。', '短评打分': 5}
{'短评内容': '电脑是用电视机来充当显示器，而且视觉又很模糊，房间设施有点老了。', '短评打分': 1}
{'短评内容': '房间可打到4.6分，服务和小节完全不及格，服务员不够，只开一梯，大堂男厕竟无尿兜！', '短评打分': 3}
{'短评内容': '酒店位置一般，离铜仁汽车站比较近。整个酒店立体面装修一般，大厅看起不错。房间整体给人感觉不错，但细节不够好，床比较硬。卫生间的声控灯不舒服，靠主街这边的房间在晚上很吵。', '短评打分': 1}
{'短评内容': '服务态度好，早餐品种少！', '短评打分': 3}
{'短评内容': '房间很不错，下次还会入住', '短评打分': 3}
{'短评内容': '酒店位置还可以，有停车场，停车方便。感觉档次和服务都还达不到4星的标准，当然这要求过高了。床比较硬，房间配有麻将桌，但又不少的烟头烫的洞。确实有旅游景点的酒店的感觉。如果再去梵净山玩，一定要定一个更好的。', '短评打分': 1}
{'短评内容': '＋内容', '短评打分': 3}
{'短评内容': '管理、设施、服务均较差', '短评打分': 3}
{'短评内容': '很干净，价钱也不算贵，设施也很不错，位置也好，离铜仁客车总站很近。', '短评打分': 5}
{'短评内容': '硬件，软件都不错。但是在早晨集中退房的时候，人手太少，等了好长时间，前台服务人员培训也不够出色。', '短评打分': 5}
{'短评内容': '设施什么的都不错，交通也方便，就是早餐没有牛奶，不太习惯~~', '短评打分': 5}
{'短评内容': '酒店环境不错，在铜仁这个地方应该算很好了。', '短评打分': 3}
{'短评内容': '还可以，这个地方有这个酒店应该说是不错了！下次住还住这家！', '短评打分': 5}
{'短评内容': '酒店交通，环境不错，大气，下次还会去住，', '短评打分': 5}
{'短评内容': '环境很好。服务业不错。周围交通方便。', '短评打分': 3}
{'短评内容': '酒店房间还算不错，网速很快，但是酒店里的饭菜好像不怎么干净，我在哪里吃了两顿扬州炒饭，结果出现了胸闷现象，还呕吐，然后是全身酸痛。医生诊断为食物中毒，原因是扬州炒饭里面的腊肉有问题。我晕，搞得我两天都不舒服。因为出差时间比较赶就没有找酒店餐饮的麻烦，就匆匆离店了，希望酒店重视这个问题。', '短评打分': 5}
{'短评内容': '性价比还行，设施有点老了，不过交通方便！服务热情仔细', '短评打分': 5}
{'短评内容': '该就点有的电脑是用电视机来充当显示器，但是上网视觉效果模糊，看来电视机充当显示器还是不怎么样的。环境还算可以，服务员态度还比较满意。唯一欠缺的就是暖气效果不怎么好。还望改进。', '短评打分': 5}
{'短评内容': '还不错，特别是服务很好。值得推荐给朋友。。。以后有机会还去。', '短评打分': 5}
{'短评内容': '酒店在东太大道300米位置左右，在主干道上，周边出行购物都很方便，酒店餐厅环境很好，蛮有情调的，服务很好，服务员都是面带微笑的，住宿环境很不错', '短评打分': 5}
{'短评内容': '应该是新开的酒店，内部环境还不错，服务很好，服务员蛮周到热情的，性价比较高，住宿环境很好', '短评打分': 5}
{'短评内容': '酒店卫生条件很好，床单，被罩，卫生间都很干净，服务态度不错，服务员有问必答，随叫随到，房间里可以上网，感觉很方便', '短评打分': 5}
{'短评内容': '房间空间很好，大小适中，采光还行，网速也不错，很方便，服务很到位，服务员办事效率快，酒店提供的早餐很好吃，比较适合我的口味，房间布局不错，下次还会再光顾的', '短评打分': 5}
{'短评内容': '总体感觉算不错的酒店了，舒适度很好，房间卫生条件不错，打扫的干净整洁，早餐口味很好，服务很周到，住宿条件都挺好的', '短评打分': 5}
{'短评内容': '酒店环境很好，给人感觉很舒适，酒店地处市区，周边交通出行很方便，房间装修的有些欧式的风格，价格比较合理，硬件设施也挺齐全，内部环境不错', '短评打分': 5}
