{'短评内容': '环境不好，床还是烂的', '短评打分': 1}
{'短评内容': 'Great and very friendly staff. Would stay here again for sure.', '短评打分': 5}
{'短评内容': '个体户，边远位置，室内有爬虫，价格不透明。', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '非常满意。酒店停车方便，价位适中，房间干净，洗澡水大，虽然是在马路旁边，但是晚上关上窗户就非常安静了，Wi-Fi信号好，服务态度好。不远处有一排酒店，很好吃。这次从武汉来看荆州古城，这个宾馆很满意。', '短评打分': 5}
{'短评内容': '朋友说不是很好', '短评打分': 3}
{'短评内容': '还可以，对得起这个价。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '好！态度好，卫生好！赞一个，下次还来订！', '短评打分': 5}
{'短评内容': '环境很好，服务态度不错。以后住的话还选着这里......', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '宾馆服务蛮好，但是设施比较陈旧。~~~~~~~~~~~~~···', '短评打分': 5}
{'短评内容': '不错，干净卫生，停车方便，服务态度好，下次还去。', '短评打分': 5}
{'短评内容': '不错，干净卫生，有宽带上网，停车也方便，服务态度好，下次还去那里住。', '短评打分': 5}
{'短评内容': '价格公道，设施齐全，隔音效果稍差……总的来说还行！', '短评打分': 5}
{'短评内容': '房间设计不合理，但环境还可以!交通方便，但在路边有点吵！', '短评打分': 1}
{'短评内容': ' 非常干净的宾馆 老板老板娘都很热情！下次来荆州还住这里。', '短评打分': 3}
{'短评内容': '酒店挺不错，挺干净卫生，价格挺便宜，可以推荐一下。', '短评打分': 5}
{'短评内容': '这个价格在当地来讲还是不错的，住的挺划算的。', '短评打分': 5}
{'短评内容': '位置挺好，有公交直达，卫生不错，价格挺合理。', '短评打分': 3}
{'短评内容': '服务态度挺好，房间挺干净，床上用品也挺干净，用着挺舒服。', '短评打分': 3}
{'短评内容': '酒店设施都很新，房间又有独立空调，服务很好，只是有一点偏，但是离客运站很近。', '短评打分': 5}
{'短评内容': '酒店位置还可以，周边出行比较方便，性价比很高，房间卫生条件不错，干净整洁，住宿条件还可以', '短评打分': 5}
{'短评内容': '酒店的服务很好，周到热情，房间卫生条件不错，打扫的很干净，住宿环境不错', '短评打分': 5}
{'短评内容': '房间空间很大，很干净，有窗户，服务也很好，价格也便宜，很实惠的一个酒店。', '短评打分': 5}
{'短评内容': '环境不错，服务也不错，价格老好了，下次去荆州还住那里', '短评打分': 5}
