{'短评内容': '全部都是靠马路边的房间，太吵！严重影响睡眠！', '短评打分': 2}
{'短评内容': '还可以，交通挺方便', '短评打分': 5}
{'短评内容': '酒店位置不错，挺干净卫生的。没吃早餐所以也就不知道早餐怎么样了，', '短评打分': 5}
{'短评内容': '很舒服的光线', '短评打分': 5}
{'短评内容': '周围环境很好，房间很干净，出去吃饭逛街都很方便，有停车场', '短评打分': 5}
{'短评内容': '。。。。。', '短评打分': 5}
{'短评内容': '不错，好像还可以，就是没得早餐吃', '短评打分': 5}
{'短评内容': '还可以把房间挺大的，其他的都正常', '短评打分': 5}
{'短评内容': '！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '多次入住，不错', '短评打分': 5}
{'短评内容': '还行吧，地方方便', '短评打分': 3}
{'短评内容': '很好，住过多次了，很方便', '短评打分': 5}
{'短评内容': '还可以～', '短评打分': 5}
{'短评内容': '酒店很方便', '短评打分': 5}
{'短评内容': '房间不是很干净', '短评打分': 5}
{'短评内容': '价格合适！干净！', '短评打分': 5}
{'短评内容': '周边环境、外观、设施等都是可以', '短评打分': 4}
{'短评内容': '处于闹市区，有点吵，但方便，出门前走100米有很多美食。优惠力度大，很好，在此住了3天。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '没有比预想的差，值回这个价格了，就是楼下有些吵', '短评打分': 5}
