{'短评内容': '物有所值', '短评打分': 5}
{'短评内容': '无早餐。', '短评打分': 3}
{'短评内容': '无早餐。', '短评打分': 3}
{'短评内容': '很好，很好的，干净卫生。服务态度也高，地铁口近。出行方便，下次自然会首选这间酒店，满满的满意，真的很好', '短评打分': 5}
{'短评内容': '都还好，服务不太好', '短评打分': 4}
{'短评内容': '这个房太小了，其他什么都收费卡，毛巾就配两条船', '短评打分': 5}
{'短评内容': '这个房太小了', '短评打分': 5}
{'短评内容': '吵死了环境也差吵死了环境也差', '短评打分': 5}
{'短评内容': '吵死了环境也差吵死了环境也差吵死了环境也差', '短评打分': 5}
{'短评内容': '二楼的话有点吵  三楼就还好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还行吧！！！！！', '短评打分': 4}
{'短评内容': '还可以吧，性价比较高。', '短评打分': 4}
{'短评内容': '环境还是不错的，交通也方便，对得起这个价格了。房间卫生搞得还算干净，隔音也还好，不会太吵。总体来说性价比不错。', '短评打分': 4}
{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '性价比高，但周边环境差。', '短评打分': 4}
{'短评内容': '周边环境比较差，房间也一般', '短评打分': 3}
{'短评内容': '性价比很高的一间酒店，你值得拥有，还有免费停车场', '短评打分': 3}
{'短评内容': '很差，非常差，有蚊子，卫生差，让人痛苦', '短评打分': 1}
{'短评内容': '酒店隔音效果不好,沒有機頂盒所以電視頻道少,离地铁口较远,要坐3块钱的摩的(电单车),酒店位置在城中村,附近饮食消费比较便宜,酒店工作人员服务态度好.', '短评打分': 5}
{'短评内容': '给同事预订的，回来反映说不错，以后有机会再入住', '短评打分': 5}
{'短评内容': '帮同事预订的，回来说还不错，下次去还会考虑', '短评打分': 5}
{'短评内容': '交通比较方便，房间也比较干净，而且广交会期间有专车去展馆，性价比很高。', '短评打分': 5}
{'短评内容': '我是跟朋友出来出差的，不错的酒店，离地铁2号线江泰路站不算远，挺方便的。地铁可以直通北京路、上下九、火车总站、白马服装批发城等，主要是中大轻纺城比较近，房间比我想象中的要宽敞，设备很齐，总得来说，性价比对于出差人员来讲，挺不错的。值得推荐，下次来还住他们酒店！', '短评打分': 5}
{'短评内容': '普通旅馆，服务员不错', '短评打分': 3}
{'短评内容': '房间设备较新,空调较好,但位置城中村里,', '短评打分': 5}
{'短评内容': '改名叫坑爹酒店吧，预订了就必须住，否则多罚i天房费，这个就算了。可是我办入住的时候根本没告诉过我。还是我回去看押金单发现的，200+啊 窗户都没有一个\n房间排气扇那个吵啊 有没有，晚上睡觉就听见吧嗒吧嗒滴水声啊  有没有  隔音那个差啊，隔壁房间电话响一晚上 吵我一晚上啊。', '短评打分': 1}
{'短评内容': '房间卫生环境不错，服务也还可以。就是楼下刚好是市场，晚上有些吵！整体还可以，价格较实惠！', '短评打分': 5}
{'短评内容': '还不错啊  性价比很高   就是洗浴的喷头水压有点大  电视比较旧 不过反正又不看 没什么关系   服务还是蛮好的 毕竟万谊是老酒店了', '短评打分': 5}
{'短评内容': '位置靠近居民区，下有菜市场，周边环境不太卫生，隔音较差。', '短评打分': 1}
{'短评内容': '隔音效果不好，空调没有电池，服务员说会来换，但是很久没有来，郁闷。', '短评打分': 1}
{'短评内容': '设施一般  隔音效果不好  上网不方便  没有送茶包的', '短评打分': 1}
{'短评内容': '極度差.請我也不去.簡直是噩夢的開始.說是24小時都有熱水.但晚上沒有熱水沖凉.從晚上2點多到早上8點多.我不間斷打去問都說1個小時后有熱水.服務員藉口多多大話連篇.衛生情況也很差.看見被子有血跡.真想吐.整晚沒蓋被子.隔音效果.外面的人就好像在你旁邊似的.沒有機頂盒所以電視頻道少.離地鐵站也很遠,說是很近.走到我的腳都疼.以上屬實.', '短评打分': 1}
