{'短评内容': '周围不是太吵，房间太小了，设备比较久，觉得应该改装下', '短评打分': 3}
{'短评内容': '房间异味较重，马桶盖坏的，洗澡需一手拿着淋喷头，电视模糊，地毯没打扫干净，晚上睡觉挺安静，大概是位置很偏吧，价格在当地算贵的，反正下次不会再去住了。', '短评打分': 2}
{'短评内容': '服务非常好，卫生有待加强。', '短评打分': 4}
{'短评内容': '卫生不行，不适合我这样的人住。', '短评打分': 3}
{'短评内容': '酒店的人员都不错，态度好，早餐是普通中式大锅饭，稀饭小菜，鸡蛋和包子，就是房间的被子，睡得我浑身痒，第二天各种过敏，希望能有所改善。', '短评打分': 4}
{'短评内容': '出差的位置太偏了，房间卫生条件一般，商务套房原来是多了麻将桌子，对我来说不实用啊。早饭太少了，8点就吃不到了。', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '不错挺好', '短评打分': 5}
{'短评内容': '卫生间卫生不及格，洗脸台有污垢和锈，最重要的是擦脸的毛巾都是破洞的，洗完澡脚踩的毛巾也是破洞的，房间里的味道比较大。', '短评打分': 3}
{'短评内容': '空调效果不佳，早上起来后热水供应不足，望改进', '短评打分': 5}
{'短评内容': '散心还可以', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
