{'短评内容': '房间够大，安静。实惠', '短评打分': 5}
{'短评内容': '停车很方便，楼下有全家，周边交通发达', '短评打分': 5}
{'短评内容': '棒', '短评打分': 5}
{'短评内容': '还行交通便利', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '很好的酒店特别的好，下次再去，很好的，&amp;lsquo;测MP5JS', '短评打分': 5}
{'短评内容': '很不错的酒店，住了很多次，挺满意的', '短评打分': 5}
{'短评内容': '还不错 空调声音有点大 其余的好可以的', '短评打分': 4}
{'短评内容': '环境不错，卫生有待改进，房间很大，还不错', '短评打分': 5}
{'短评内容': '一。', '短评打分': 4}
{'短评内容': '房間非常寬 性価比高 旁辺走約5分鐘就有地鉄11号线到上海', '短评打分': 4}
{'短评内容': '陪父母出去游玩，环境很不错，很干净。下次还会来的', '短评打分': 5}
{'短评内容': '总体来说很好 很舒适', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '服务好', '短评打分': 5}
{'短评内容': '酒店环境挺不错', '短评打分': 5}
{'短评内容': '跟地铁贴的很近，设施卫生很好。', '短评打分': 5}
{'短评内容': '还可以，适合休息，小写歇一下', '短评打分': 4}
{'短评内容': '没去，给朋友定的。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '房间很大，在同类酒店中性价比很不错的。酒店一楼是有门禁的，比较安全。', '短评打分': 5}
{'短评内容': '房间确实很大，是单身公寓改造的，配有简单的厨卫设施，床也很大，双标的床还有1.5米大！特价大床的价格更超值，比锦江好。不足是周边是工地，配套少。', '短评打分': 3}
{'短评内容': '房间很大，很温馨，可以收看很多节目，可以自选，暂停。。。回房后可以继续播放。唯一的小欠缺由于新装修的关系，还是有点装修味道。早餐是中国式小米粥，小馒头，咸菜和白煮蛋，是送到房间的。', '短评打分': 5}
