{'短评内容': '，，，，，，', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '只能说一般般吧', '短评打分': 5}
{'短评内容': '没停车位，出入道路窄，房间太小', '短评打分': 2}
{'短评内容': '。', '短评打分': 5}
{'短评内容': '整体还可以比较满意', '短评打分': 4}
{'短评内容': '可以，卫生和环境一般', '短评打分': 4}
{'短评内容': '不算是很好吧，但是比较便宜，房间比较小，床还挺大，不过有蚊子，窗也不怎么关得上，热水壶的插头是坏的，没有吹风机', '短评打分': 4}
{'短评内容': '每次出差都住在这里，低处市中心，交通吃饭都很方便，服务态度也很棒。这里在湛江性价比算是比较高的了。', '短评打分': 5}
{'短评内容': '房间卫生还可以9:00父爱可以设备设施还可以主营那些是商务出差然后明天还要¹天价格不是很贵还可以吧明天再来吧', '短评打分': 4}
{'短评内容': '还好，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '一般吧', '短评打分': 3}
{'短评内容': '卫生不敢恭维，但是位置好！其他东西很旧', '短评打分': 4}
{'短评内容': '总体不错', '短评打分': 4}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '价格优惠，交通方便，卫生干净，服务好', '短评打分': 4}
{'短评内容': '凌晨到酒店，随便开一间房休息，要求不高价钱合适！', '短评打分': 4}
{'短评内容': '一般，房间太小，空调不凉', '短评打分': 3}
{'短评内容': '好，，，，，，，，，，，，，，，，，', '短评打分': 3}
{'短评内容': '干净，可信，有点偏僻。反应快，服务也可以。', '短评打分': 4}
{'短评内容': '总体来讲还可以，旺中带静，价格还能接受，但后来发现附近的新香格里拉酒店环境更好些，价格也只是贵10块，第二晚就选择那间了。还有就是风筒可以借，却不能确保客人在一小时内归还，导致想用风筒的客人用不了，', '短评打分': 5}
{'短评内容': '酒店不错干净卫生，服务好效率高.地点也好。', '短评打分': 5}
{'短评内容': '面积狭小不爽，价格也不实惠，第二天换到火车站的南丰迎宾馆，100元，空间大多了！', '短评打分': 3}
{'短评内容': '虽然房间有点小，但是还不错，比较温馨，干净，一直有热水供应，自带电脑可以上网，洗发水与沐浴露合二为一。不过，没有一次性的牙刷和牙膏。', '短评打分': 5}
{'短评内容': '很好，非常满意', '短评打分': 3}
{'短评内容': '除了地方难找一点，其地理位置非常好，离购物、食、喝玩乐的地方都比较近，而且酒店的服务态度也不错，房间也干净，最值得一提的就是一元大礼包！呵呵。。。', '短评打分': 5}
{'短评内容': '酒店很不好找,但它的位置好,就在湛江的人民广场旁边,周围就是繁华的商业圈,房间很干净,就是好小,不足20平米。', '短评打分': 3}
{'短评内容': '价格实惠！位置稍远！', '短评打分': 3}
{'短评内容': '在城中心，位置很好，逛街购物超市小吃都很方便。\n楼下停车很方便。\n经济型性价比很高，房间稍微小了点，不过很干净，自带电脑的话上网很方便。\n前台态度很好。', '短评打分': 5}
{'短评内容': '房间很干净 两名前台值班的服务员特别热情', '短评打分': 3}
{'短评内容': '酒店温馨,服务很好。就是设施太简陋了点。', '短评打分': 3}
{'短评内容': '干净整洁，性价比还不错咯。就是本来预定好的【豪华大床】怎么突然变了【豪华双床】挺郁闷的，希望以后能注意一下啊，，，酒店服务方面。。。', '短评打分': 5}
{'短评内容': '一切都好，地理位置也好啊！价格也蛮实惠的啊！特别是那个空调够凉！', '短评打分': 5}
{'短评内容': '不错，房间很干净，服务态度也很好。下次还会再来', '短评打分': 5}
{'短评内容': '放假燈壞了幾個，燈光不好，但是床挺舒服的。', '短评打分': 5}
{'短评内容': '酒店好像原来是七天连锁转手的，冲凉房的门上还有七天的标志，风格也相似。其他的都很满意，唯一不喜欢那里的枕头，睡到我颈部很痛。', '短评打分': 3}
{'短评内容': '房间小，没有免费的拖鞋，毛巾，牙膏等等，电话也打不出去', '短评打分': 1}
{'短评内容': '酒店环境和服务均不错', '短评打分': 3}
{'短评内容': '服务不错，地方有点偏！', '短评打分': 3}
{'短评内容': '酒店地點不太顯眼，找了很久，才找到。建議在外面弄個指示牌。不過裏面還是可以的！乾乾淨淨，床也很舒服，而且1元買的洗刷用品也很實惠！', '短评打分': 5}
{'短评内容': '酒店位置处市中心，江霞广场就在附近，汽车站火车站也不远，生活购物出行均方便，房间也很干净。以后去湛江还会选择它。', '短评打分': 5}
{'短评内容': '位置是有点难找，但用GPS可以找到~~就在以前的马迪莎百货旁边~~环境方便，比较干净卫生，大堂配有电脑可以上网，总体来说比较满意~~~', '短评打分': 5}
{'短评内容': '环境方便，比较干净卫生，大堂配有电脑可以上网，总体来说比较满意~~~', '短评打分': 5}
{'短评内容': 'cannot find the place.  The street name no local people knows.', '短评打分': 1}
{'短评内容': '房间很简陋，卫生尚可，春节期间价格偏高，相对这个城市。', '短评打分': 3}
