{'短评内容': '隔音不行 晚上睡觉楼下还有打呼的', '短评打分': 5}
{'短评内容': '环境挺好的', '短评打分': 5}
{'短评内容': '环境还可以，设施有点老旧', '短评打分': 5}
{'短评内容': '不错条件挺好', '短评打分': 5}
{'短评内容': '房间很舒服，面积够大，床也够大，而且就在万达旁边非常方便，跟服务人员说要安静点的房间，很满意', '短评打分': 5}
{'短评内容': '酒店都还可以，就是床太差了，就像睡在钢丝上一样', '短评打分': 5}
{'短评内容': '床不舒服，周边比较偏，要啥没啥', '短评打分': 3}
{'短评内容': '卫生不是很好，房间太吵，服务态度差，连起码的礼貌用语都没有', '短评打分': 3}
{'短评内容': '便宜', '短评打分': 5}
{'短评内容': '虽然有点老，服务态度很好', '短评打分': 3}
{'短评内容': '虽然有点老，但服务态度很好', '短评打分': 3}
{'短评内容': '服务太差，房间设施一般', '短评打分': 3}
{'短评内容': '经济实惠。交通方便', '短评打分': 3}
{'短评内容': '位置略为偏远，周边不是很方便，前台MM的表现不错·房间还算干净卫生', '短评打分': 5}
{'短评内容': '很不错的住处，干净、安静、敞亮…', '短评打分': 3}
{'短评内容': '性价比挺好', '短评打分': 3}
