{'短评内容': '挺不错的，性价比很高！', '短评打分': 5}
{'短评内容': '特别好，舒适干净，每次都住这', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '方便，干净，房间大', '短评打分': 4}
{'短评内容': '非常不错啊！', '短评打分': 5}
{'短评内容': '哈哈哈哈哈', '短评打分': 2}
{'短评内容': '环境贼好 卫生间贼喜欢', '短评打分': 5}
{'短评内容': '不健康的生活方式的转变，我们的生活方式是什么时候回来呀，我们的生活方式是什么时候回来呀，我们都是一', '短评打分': 5}
{'短评内容': '除了修路 什么都好 服务态度也不错 就是修路太麻烦了', '短评打分': 5}
{'短评内容': '服务态度一般，环境一般', '短评打分': 5}
{'短评内容': '特别划算，环境特别好', '短评打分': 5}
{'短评内容': '酒店环境非常好，很愉快的一次旅行。', '短评打分': 5}
{'短评内容': '买完没有床位了！', '短评打分': 1}
{'短评内容': '不错，环境，服务', '短评打分': 5}
{'短评内容': '第二次来了 环境挺好的 性价比高', '短评打分': 5}
{'短评内容': '不错，就是卫生间靠近窗户一边', '短评打分': 5}
{'短评内容': '非常好 推荐大家来 环境 很好 而且服务也还周到', '短评打分': 5}
{'短评内容': '谢谢退款。', '短评打分': 5}
{'短评内容': '性价比还是很高的，门口修路不是很方便，其他都不错', '短评打分': 5}
{'短评内容': '性价比很高地理位置方便', '短评打分': 5}
{'短评内容': '环境很不错哦', '短评打分': 5}
{'短评内容': '好，每次都来', '短评打分': 5}
{'短评内容': '很好，一如既往', '短评打分': 5}
{'短评内容': '不错，就是入住得时候附近修路，绕了好久才到达', '短评打分': 5}
{'短评内容': '除了周围修地铁不太方便之外。其他的都很好，很专业。房间也很整洁，有五星的风范。PS:早餐再改进一点就好了，每天都差不多，而且味道一般', '短评打分': 5}
{'短评内容': '不错，下次还会入住', '短评打分': 5}
{'短评内容': '位置不错', '短评打分': 5}
{'短评内容': '位置不错', '短评打分': 5}
{'短评内容': '方便', '短评打分': 5}
{'短评内容': '很方便', '短评打分': 5}
{'短评内容': '值得推荐', '短评打分': 5}
{'短评内容': '房间比较干净，位置也不错，交通业比较便利，不错', '短评打分': 5}
{'短评内容': '不错，环境还可以，是铁西区的中心，打车也方便', '短评打分': 5}
