{'descr': '很不错，第二次住，感觉很好', 'star': 5}
{'descr': '很喜欢这个', 'star': 5}
{'descr': '恍恍惚惚昏昏噩噩', 'star': 5}
{'descr': '很棒的一次入住，房间环境很好', 'star': 5}
{'descr': '酒店的空调机像是拖拉机，吵了一夜', 'star': 4}
{'descr': '交通方便，安静', 'star': 5}
{'descr': '早餐蛮好，粥点心，菜，五谷杂粮，牛奶，豆浆，什么都有，还卫生', 'star': 5}
{'descr': '有停车场、有早餐、很安静。满意', 'star': 5}
{'descr': '酒店房间挺干净的，周边饭店挺多。开车过来挺方便的。', 'star': 5}
{'descr': '服务态度好', 'star': 5}
{'descr': '还行，都齐全了，还不错，就是消毒水味道有点重', 'star': 5}
{'descr': '还不错，就是床有点小得可怜', 'star': 5}
{'descr': '，', 'star': 5}
{'descr': '听嗯得得得的里哈哈哈哈哈哈哈', 'star': 5}
{'descr': '相对于其他网站来说 京东的价格最厚道', 'star': 5}
{'descr': '不错不错不错不错不错', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '房间大，卫生不错，价格有点偏高，以后不考虑了。', 'star': 3}
{'descr': '服务很好，周边环境也不错，离地铁有15分钟行程，出行很方便，总体来说还可以，在南京这个价位算不错了！', 'star': 4}
{'descr': '不错，酒店很干净，设施也还不错，前台服务也很棒，周边吃饭购物都很方便，早晨品种丰富，下次再来会选择再次入住。', 'star': 4}
{'descr': '住了很多次很方便，就是房间太小', 'star': 4}
{'descr': '还不错', 'star': 5}
{'descr': '房间虽然不大，整体还是很干净的，就是卫生间稍微差了点，不过这个价格也划算了~周边没什么东西，基本要打的出去稍微麻烦了点。', 'star': 4}
{'descr': '出行方便，吃饭的地方不少，服务很好，早餐简单，品种不丰富。', 'star': 4}
{'descr': '每次去南京都会选择它   周边吃  交通都很便利   卫生环境也还好  最主要有停车位', 'star': 5}
{'descr': '大堂准备了柠檬水，周边饮食非常不错', 'star': 5}
{'descr': '房间太小了，本来只是个旅馆来的', 'star': 3}
{'descr': '电视收到的台太少，有几个台还不清楚', 'star': 4}
{'descr': '不错，蛮干净清爽，也比较安静', 'star': 3}
{'descr': '环境不错，比较安静，就是在巷子里面不太好找，寄存行李的大爷很善良', 'star': 5}
{'descr': '酒店非常好，设备新，视野好，价格公道。以后再去青岛，还住这家', 'star': 3}
{'descr': '挺干净的，就是隔音有点问题，不过还是挺好的', 'star': 5}
