{'短评内容': '前台接待服务亲切！含早餐，还不错！很安静，周边环境好空气好，离松湖烟雨近，走路都可到。每次在附近工地出差都住这里，价格合理，下次还会再来！', '短评打分': 5}
{'短评内容': '如果快捷酒店打分是十分，我可以给到7.5分，整体来说，在快捷酒店这个区域，还是不错的，房间很大，并且设置也不是太陈旧，每天的清扫房间也不错，五层的早餐比之前去过的如家要好，缺点当然也有，六楼是健身房，噪音避免不了，门口的路面在施工，所以交通不是太方便。大概是这样~', '短评打分': 4}
{'短评内容': '酒店位置很好，比较安静，就是早上的时候楼上不知道为什么超级吵，发出各种东西撞击的声音。其他的都非常不错，物美价廉。', '短评打分': 5}
{'短评内容': '很干净卫生', '短评打分': 5}
{'短评内容': '前台接待服务很好！含早餐，还不错！很安静，周边环境好空气好，离松湖烟雨近，走路都可到。只是冲凉几乎都是冷水，开始没房间可换，后来换了一个，态度很好！', '短评打分': 5}
{'短评内容': '房子很大 大落地窗 ，，，，，，，，，，', '短评打分': 5}
{'短评内容': '简直就是宿舍，感觉有点简陋', '短评打分': 5}
{'短评内容': '前台服务很好，屋子很大，很干净，环境也很好。', '短评打分': 5}
{'短评内容': '前台服务好，屋子很大，很干净，环境很好。', '短评打分': 5}
{'短评内容': '屋子很大，环境好，很干净。', '短评打分': 5}
{'短评内容': '一直住这里，不错。', '短评打分': 5}
{'短评内容': '来了好多次了，很喜欢这里', '短评打分': 5}
{'短评内容': '有蚊子，其他还行', '短评打分': 5}
{'短评内容': '酒店房间很大很舒服，松山湖出游不二之选', '短评打分': 5}
{'短评内容': '出差性質，安靜乾淨，無法要求太多', '短评打分': 5}
{'短评内容': '性价比不错 周围空气好 推荐', '短评打分': 3}
{'短评内容': '不错不错，下次还会再来。环境挺好的。带着宝宝住还挺大的。', '短评打分': 3}
