{'短评内容': '唯一不好的就是么得早餐 不过还好 出门左转几分钟以后就有卖早餐的 强烈说一声二楼的大阳台不错哦', '短评打分': 4}
{'短评内容': '来之前找了很久，很怕找到那种“整个房间都是霉水汽的味道，还有蟑螂”所以挑选了很久。在鼓浪屿住了三天，这个小旅馆出乎我的意料，房间很小，但是很精致，也干净。他们小院子的景色很不错的，但我没有时间看～还有个小秋千。接待我的小哥人很好，超有礼貌，我在这里住了三天。这里位置算是好找得了，在种德宫后面，离内厝澳码头也不远。', '短评打分': 5}
{'短评内容': '年轻的小伙子，声音好柔情也很热心，我不说要出去美食街，他就马上告诉我们怎么走方便快捷，值得信赖', '短评打分': 5}
{'短评内容': '老板娘热情好客，得知我们是一家三口订的房间有些小帮我们免费升级成大床房并为我们提供免费地图规划出行路线，房间内卫生干净，布局温馨，有独立卫生间，二楼有露天阳台，可以晾晒衣物，感觉很超值，下次来我还会选你们。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '住着很安静', '短评打分': 5}
{'短评内容': '不错啊。老板人很好。还介绍路线。房间也很干净。有一次性毛巾。人性化。下次来很住这里。而且退房了还借房间给我换衣服。感谢', '短评打分': 5}
{'短评内容': '鼓浪屿天一黑起来真是很吓人啊，从三丘田码头下来走到内厝澳还挺远的，黑灯瞎火摸黑找半天，好害怕。在巷子深处，走路我都很害怕，要是自己一个人真是不敢走路了。前台服务很好，就是房子可能老一点了，院子也没有啥么装饰，帮我们升级了大床房，但是从环境和位置以及屋子内的摆设都跟我在其他路段（厦大公寓、塔头、曾厝安）比起来，降低1个level，但是又多花了钱。没办法鼓浪屿就是这个价位～', '短评打分': 4}
{'短评内容': '出门非常方便，老板非常的热情，主动介绍鼓浪屿美食 去海底世界好近啊', '短评打分': 5}
{'短评内容': '打扫的非常干净，很舒服，住了两天，心情很好，位置也很好，晚上看看厦门夜景，很陶醉。', '短评打分': 5}
{'短评内容': '现实和图片视觉差距蛮大的', '短评打分': 3}
{'短评内容': '很好 真的很赞。大爱 大家自己看图吧', '短评打分': 5}
{'短评内容': '很好 很好 住的好开心 环境很好', '短评打分': 5}
{'短评内容': '环境好，卫生好，老板也很好。', '短评打分': 5}
{'短评内容': '老板人很好很和蔼，酒店内干净利索，没有别人反应的虫子什么的，酒店内驱蚊液等全都有，很喜欢这里，店员的服务态度很好，每天玩累了回来看到笑脸相迎，总有回到家的感觉，我会把这里推荐给大家，谢谢', '短评打分': 5}
