{'短评内容': '还不错，很好！', '短评打分': 5}
{'短评内容': '还不错，房间更大，值得一去。离海也比较近。离机场也不远。', '短评打分': 4}
{'短评内容': '离机场很近,房间面积挺大,但交通不方便.', '短评打分': 3}
{'短评内容': '位置偏了点，距离海边比较近，不过好在价格适中，适合人群比较多.', '短评打分': 5}
{'短评内容': '房间宽敞明亮，不过没有网线提供，商务出差而言可能不太方便，', '短评打分': 3}
{'短评内容': '地段好，距离凤凰机场挺近的，过去比较方便，其它室内条件还好.', '短评打分': 5}
{'短评内容': '地理位置有点偏，周边打车不太方便，只有少辆的公车经过，这点不太好.', '短评打分': 3}
{'短评内容': '房间宽敞整洁，舒适度很高，条件很好.', '短评打分': 5}
{'短评内容': '酒店很豪华  服务好  环境好 下次会再住', '短评打分': 5}
{'短评内容': '帮朋友订的，朋友说价格实惠，离景点和海边稍有点远。 \n', '短评打分': 5}
{'短评内容': '帮朋友订的，朋友说价格实惠，离景点和海边稍有点远。', '短评打分': 5}
{'短评内容': '服务态度好，房间整洁', '短评打分': 3}
{'短评内容': '还不错，就是离海太远了 ^_^ 不过价格实惠', '短评打分': 5}
{'短评内容': '+感觉比较便宜实用，也比较干净^o^', '短评打分': 5}
