{'短评内容': '   房间比较大 唯一的是比较旧', '短评打分': 4}
{'短评内容': '好好好，非常好，哈哈哈呵呵呵，好', '短评打分': 5}
{'短评内容': '好，性价比高，离客运站也不远', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 4}
{'短评内容': '感觉服务员态度不怎么样，进到房间发现这个房间太小了，可能我不太懂看，有这个钱不如去好的酒店，真的', '短评打分': 3}
{'短评内容': '一般般吧！比旅馆好些，比不上连锁酒店的', '短评打分': 4}
{'短评内容': '都还可以', '短评打分': 4}
{'短评内容': '房间干净，设施齐全，卫生间比较大。', '短评打分': 5}
{'短评内容': '感觉还好吧。', '短评打分': 3}
{'短评内容': '交通方便。周围很安静、', '短评打分': 5}
{'短评内容': '离汽车东站挺近的，很安静，就是周边没啥超市和饭店，房价价格挺实惠的。', '短评打分': 4}
{'短评内容': '一般，旁边没什么吃东西的地方。', '短评打分': 4}
{'短评内容': '住了普通内宾大床房，对得起这个价，酒店前台很客气，周边也有些快餐和炒菜，基本的需求都能满足，主要是离南通东站很近，办事方便，以后办事还是会住他家的。', '短评打分': 5}
{'短评内容': '不错   朋友来都住这家', '短评打分': 5}
{'短评内容': '挺不错，宽敞舒适该有的都有', '短评打分': 3}
{'短评内容': '位置好找，但性价比一般。', '短评打分': 3}
{'短评内容': '环境一般！床也不舒服！还有小宠物在床上！离汽车站近点就忍了一晚', '短评打分': 3}
{'短评内容': '不错的旅馆', '短评打分': 5}
