{'短评内容': '房间环境一般，空调太差', '短评打分': 4}
{'短评内容': '就是空调不给力', '短评打分': 4}
{'短评内容': '位置不错，其他一般。。。一宿没睡，太吵了', '短评打分': 3}
{'短评内容': '酒店一出门往右走几分钟就到了平江路了，挺近的，而且去观前街也挺近的，东西挺好吃的，我们晚上在小巷子里吃的，味道还不错', '短评打分': 4}
{'短评内容': '哈哈很好的噢，位置好找也很实惠，床舒服', '短评打分': 5}
{'短评内容': '不错，还好', '短评打分': 5}
{'短评内容': '好！方便 快捷', '短评打分': 5}
{'短评内容': '还可以，环境不错，交通挺方便！', '短评打分': 5}
{'短评内容': '环境不错，交通方便！高大上！', '短评打分': 5}
{'短评内容': '不错，还可以。挺好的', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '靠近地铁站，公交站和平江路，很方便，房间挺大的挺舒服', '短评打分': 5}
{'短评内容': '酒店还好', '短评打分': 4}
{'短评内容': '酒店还好，不错', '短评打分': 4}
{'短评内容': '酒店的地理位置是特别的好，从苏州站下车坐游5路或529路公交车就能到，一进钮家巷就能看到酒店醒目的牌匾，离观前街非常近，主要景点离着也不远，步行公交都可以到达，酒店旁边的小吃店经济又实惠，老板很热情！酒店阿姨也很热情，卫生打扫的很干净，热水水流很大，环境安静，住的很开心！', '短评打分': 5}
{'短评内容': '第二次来了，再一次感叹交通方便', '短评打分': 5}
{'短评内容': '还可以，性价比不错。', '短评打分': 5}
{'短评内容': '我朋友们去旅游景点', '短评打分': 5}
{'短评内容': '不错，挺好的，没啥想说的啦！，，，', '短评打分': 5}
{'短评内容': '环境不错，又续订了一天，交通也很方便。下次来苏州还会选择这家', '短评打分': 5}
