{'短评内容': '同等价位这个宾馆卫生还算不错的了。', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '床单和被套有污渍，房间没没有牙刷', '短评打分': 4}
{'短评内容': '不错，经济实惠', '短评打分': 5}
{'短评内容': '卫生间不咋的，其他还不错', '短评打分': 4}
{'短评内容': '环净不错，价格适合！', '短评打分': 5}
{'短评内容': '房间临街，好吵，没睡好，没下雨也一直有雨滴声。烦死了！墙纸也陈旧了，还比较脏。还好床比较舒服！', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '还不错，就是有点贵', '短评打分': 5}
{'短评内容': '不错不错', '短评打分': 5}
{'短评内容': '性价比高的酒店，位置很方便', '短评打分': 5}
{'短评内容': '不错～～～～～', '短评打分': 4}
{'短评内容': '厕所较精致，环境卫生都还不错，楼下的小馆子吃饭什么的很方便，交通和购物都很方便，感觉不错的店！', '短评打分': 4}
{'短评内容': '交通方便，楼下吃饭很方便。', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '房间虽然迷你，但干净整洁，住的很舒服。楼下餐馆略吵。周围很多吃的，很方便。网速快，电视是互动电视挺好，热水出水大洗澡舒服。性价比不错，推荐。', '短评打分': 4}
