{'短评内容': '位置好，服务超好。 物有所值， 下次还来', '短评打分': 5}
{'短评内容': '很好， 非常喜欢', '短评打分': 5}
{'短评内容': '酒店很棒，就是有点偏，商务出差还可以，酒店的早餐倒不错！', '短评打分': 5}
{'短评内容': '交通方便，小吃一条街，卫生干净。', '短评打分': 5}
{'短评内容': '干净卫生，环境还行。', '短评打分': 5}
{'短评内容': '就是没住，房费不退。这个希望改进', '短评打分': 5}
{'短评内容': '地处西城区繁华位置，服务态度好，条件也不错。', '短评打分': 5}
{'短评内容': '位置挺方便 但是房间比想象的小', '短评打分': 5}
{'短评内容': '任何需求基本都找京东，这次出行订酒店也选择京东。预定的酒店位置好，性价比高', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '地理位置优越，吃饭方便，但价格偏高，其它都还行！', '短评打分': 5}
{'短评内容': '附近小吃很多', '短评打分': 5}
{'短评内容': '在北京2两住这里都好！', '短评打分': 5}
{'短评内容': '去北京游玩，住这里真的是太方便了，出门五分钟就是地铁站，酒店这里一条街都是小吃，去恭王府后海游玩步行就可以！', '短评打分': 5}
{'短评内容': '出差方便办事。主要是位置方便，出行方便，吃饭方便。总之是非常方便。但酒店设施一般，没有一次性拖鞋，向服务员要的话有最差的那种。', '短评打分': 4}
{'短评内容': '   住过很多次了，酒店的服务环境等都不错，但是给一个小建议：窗帘的遮光效果不是很好，建议更改一下。', '短评打分': 5}
{'短评内容': '非常不错，出行便利', '短评打分': 5}
{'短评内容': '房间热水都不热，吵杂，住着简直不爽。', '短评打分': 3}
{'短评内容': '位置真的是不错，虽然设施有些老，但不影响使用，总体性价比还是不错的', '短评打分': 5}
{'短评内容': '条件可以，交通方便，旁边小吃很多，出行方便。', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '酒店位于护国寺街路口，方便逛街，吃喝玩乐具全，很不错的酒店！', '短评打分': 5}
{'短评内容': '各方面都还好，就是价格稍贵点', '短评打分': 5}
{'短评内容': '很好的宾馆。地理位置好，服务也好，满意！', '短评打分': 5}
{'短评内容': '这家宾馆真的不错，价格不高，而且卫生、整洁、环保。附近的小吃很多、交通方便、还有一些景点，如：恭王府、梅兰芳纪念馆、宋庆龄故居、后海等', '短评打分': 5}
{'短评内容': '位置不错出行方便，装修古朴别致，床铺用品比较干净卫生，就是房间有点小。宾馆好像房间比较多，不错的选择。', '短评打分': 5}
{'短评内容': '很不错  算是住过的最经济实惠的。环境好服务也很好  就是车位不给力', '短评打分': 5}
{'短评内容': '周围很多小吃，很方便的，酒店很雅致，适合居家旅游住的。', '短评打分': 5}
{'短评内容': '这家酒店还不错，交通挺方便的，出门就是地铁四号线，到哪都可以坐地铁的。', '短评打分': 5}
{'短评内容': '酒店很不错，在护国寺小吃街上，很方便。也挺干净，下次去了还住！！！加油！！', '短评打分': 5}
{'短评内容': '性价比高。价格便宜，交通方便，离地铁很近。有58°C,小吃街,方便。\n', '短评打分': 5}
{'短评内容': '价格便宜，交通方便，离地铁很近。性价比高。附近就是小吃一条街，还有58°C,方便。', '短评打分': 5}
{'短评内容': '＋房间小、但是整洁干净！', '短评打分': 3}
{'短评内容': '很干净，地铁楼非常近，不错，值得推荐，生活方便', '短评打分': 3}
{'短评内容': '房间小，不过去之前看过别的点评，所以有心理准备，还可以接受。布局比较合理，家具也很古朴，有点小韵味。有一次性的洗漱用品，有拖鞋，有饮水机、吹风机、咖啡机。。。用起来还是比较方便的。宾馆就在护国寺小吃街上，出地铁平安里站B口出直行20米右转一会就看到了，吃住行都超级方便。', '短评打分': 5}
{'短评内容': '房间不错，小了点，性价比高。附近小吃一条街。交通很方便。离地铁很近。', '短评打分': 5}
{'短评内容': '刚入住，服务态度很好，地理位置也好，出地铁4号线（平安里b出口）右拐就是', '短评打分': 5}
{'短评内容': '十位置好，邻地铁站近，在护国寺小吃店旁，房间太小，在网上订了4个城市的房间都入住判同类型房中最边最靠角落的房间，无奈啊！！！', '短评打分': 3}
{'短评内容': '地铁4号线平安里站出口即是，去颐和园圆明园动物园北京南站等都极方便。门口就是护国寺小吃街，价格便宜，地道北京小吃。可走路去恭王府前海步行街。酒店很有特色，推荐！', '短评打分': 5}
{'短评内容': '环境很好！交通非常方便，地铁平安里站就在酒店附近，去恭王府也很近，晚上只要租辆自行车就可以游玩什刹海了。推荐入住！', '短评打分': 5}
{'短评内容': '交通便利，非常干净！对面滴山西刀削面非常正宗！', '短评打分': 5}
{'短评内容': '房间有点小，交通倒是挺方便的，但是房间整体设施有些陈旧了，如果是想好好休息的话不建议住。但是如果想乘地铁方便的话，倒是可以考虑。', '短评打分': 1}
{'短评内容': '交通很方便，附近小吃很多，宾馆服务人员态度很好。', '短评打分': 5}
{'短评内容': '位置很好，房间有点小， 在地铁四号线平安里站旁边，公交车也很方便， 周围风味小吃很多， 房间装修有中国特色，也很干净， 性价比较好， 在什刹海周围转转。 推荐。 ', '短评打分': 5}
{'短评内容': '环境真不错,服务热情,干净整洁。', '短评打分': 3}
{'短评内容': '很好，交通很方便，房间隔音效果也还好，小吃街有很多好吃的东西！', '短评打分': 5}
{'短评内容': '交通非常方便，酒店内部环境也很好，很干净，虽然是在小吃街，但晚上很安静，楼下的小吃街很多东西都特别好吃。', '短评打分': 5}
{'短评内容': '住在这太方便了，楼下就是护国寺小吃店，而且沿着护国寺小吃街往东走，就可以到梅兰芳故居，恭王府，什刹海，很有老北京的味道。酒店服务很好，内部设施也还不错。', '短评打分': 5}
{'短评内容': '离平安里地铁站很近,方便,旁边就是护国寺小吃街', '短评打分': 3}
{'短评内容': '交通便利，吃饭经济，服务规范。\n有些客房的门要用力才能合上，这样会影响客人休息。\n不过还是相当满意的。', '短评打分': 5}
{'短评内容': '第一次入住，感觉还可以，交通不是比较方便，', '短评打分': 5}
{'短评内容': '离地铁站超近的，很方便，价格适中，比较干净，环境也不错，出来就有好多小吃', '短评打分': 5}
{'短评内容': '感觉还不错，前台工作效率挺高的，服务好。我住的的房间B，对于一个人来讲，空间足够大了。如果房间里能够有一次性拖鞋就更好了。（我怕麻烦，没跟服务员要，不知道有没有）', '短评打分': 5}
{'短评内容': '酒店位置很好，距离和珅他家不远，距离新街口也比较近，交通方便，就是房间小了点。', '短评打分': 5}
{'短评内容': '酒店位置好 房间有点小 窗户对面是饭店鼓风机有噪音', '短评打分': 5}
{'短评内容': '非常差的酒店，在北京就没住过如此差劲的酒店。服务非常差，房间小到不行，尤其那床，跟儿童床一样。唉，要不是万不得已才不会住，只是临时电话订的。非常不建议大家入住，真的没有7天、如家那样的快捷好。', '短评打分': 1}
{'短评内容': '房间小了点，地理位置倒不错，临地铁口，方便', '短评打分': 3}
{'短评内容': '宾馆位置很不错，离地铁四号很近，一分钟左右就到宾馆，去哪都很方便，服务也不错，就是室内稍微小点，很干净，值得推荐', '短评打分': 5}
{'短评内容': '酒店位置不错，离地铁口和公交车站都很近，附近的小吃街也很方便，但小吃街晚上吃宵夜的人群会带来噪音，酒店内的设施略显陈旧，如果有赠送早餐，性价比会更高。', '短评打分': 5}
{'短评内容': '酒店服务很好，按我要求安排了高层电梯边两间标间，只是房太小，但卫生间还方便，晚间关窗开空调颇安静舒适。酒店在护国寺街口，交通很方便，街口左走20米是4号地铁平安里B出口，到颐和园、北大、动物园、转车到各处都方便快捷，街对面的公汽站也很多。出酒店左边有著名的护国寺小吃总店，天天在此吃早点，周围有各种名小吃特色店，酒店对面有刀削面馆、川味馆、老陕面馆等方便实惠。', '短评打分': 5}
{'短评内容': '推荐入住，地理位置真是没得说，楼下想吃什么都有，入住三天，每天晚上十一点回来还能宵个夜再上楼睡觉！房间很干净，打扫很及时！', '短评打分': 5}
{'短评内容': '酒店很卫生，就是卫生间没隔断洗完澡水都在卫生间里，房间偏小，但够住了。出行非常方便，离地铁口2分钟，离公交车站1分钟，很多旅游景点都可以直接到，出门85度C，护国寺小吃。', '短评打分': 5}
{'短评内容': '环境不错房间干净服务态度也不错', '短评打分': 3}
{'短评内容': '除了房间小点，其他的都很满意。位置不错，还算安静，最主要的是交通方便！', '短评打分': 5}
{'短评内容': '这里干净舒适，太好了', '短评打分': 3}
{'短评内容': ' 很不错！干净整洁有京味，周边很方便。', '短评打分': 3}
{'短评内容': '靠谱的酒店，干净整洁房间也有特色，适合家庭居住。', '短评打分': 3}
{'短评内容': '护国寺酒店是我旅行中住过的最满意的酒店,服务好,交通方便,而且楼下就是小吃一条街 ,特色小吃 ,好吃又干净。', '短评打分': 3}
{'短评内容': '成功入住，基本不错，就是小点。', '短评打分': 3}
{'短评内容': '离北大医院比较近，门口就是护国寺小吃，出行很方便，推荐入住', '短评打分': 5}
{'短评内容': '酒店古色古香，周边环境不错，离地铁站很近，出行方便。街口庆丰园包子铺绝对地道，山西大肉馄饨也非常不错。要说遗憾就是房间忒小，像我这样的胖子只能订大床房。', '短评打分': 5}
{'短评内容': '这家酒店总体不错。出门就是地铁4号线平安里站，旁边也有公交车站，出行十分方便。酒店环境也不错，打扫的很干净。定的A型标准间，房间虽然比较小，但是宾馆最主要也只是用来睡觉，还是蛮好的，隔音也不错。唯一缺点就是卫生间内淋浴没有帘子隔开，洗完澡有点水漫金山。还好阿姨打扫比较勤快，第二天就帮忙清理干净了。总体上还是值得推荐的。', '短评打分': 5}
{'短评内容': '地理位置真的是不错，离地铁站，后海都很近，门前就是护国寺小吃一条街，缺点就是房间太小，而且房间还有一个浴缸，洗澡不是很方便，试想想，谁愿意在除了家之外的浴缸里躺着洗澡呢，不过总体来说，还是不错的，值得推荐。', '短评打分': 5}
{'短评内容': '位置在北京特色小吃街上，在这条路上找几家小店吃吃晚饭，一路向东走到后海去玩，都不错，交通便利。', '短评打分': 5}
{'短评内容': '地段一流，条件尚可，下次还住', '短评打分': 3}
{'短评内容': '还不错，挺有特色，性价比不错，交通便利，靠地铁站近。', '短评打分': 5}
{'短评内容': '位置很好，房间太小！', '短评打分': 3}
{'短评内容': '位置很好，价钱适中，离地铁站很近，周边小吃很多。', '短评打分': 5}
{'短评内容': '每次来北京都住这，价钱适中，离地铁站很近，周边小吃很多。', '短评打分': 5}
{'短评内容': '戚宗华等人已入住护国寺宾馆', '短评打分': 3}
{'短评内容': '地段不错，就在4号线边上，交通比较方便。旁边小吃店也多，早饭一直在边上的一个清真店吃，不错。驴肉火烧也可以。', '短评打分': 5}
{'短评内容': '房间装修的很有特色,每个房间的门上都有对联.房间内的家具都是有古典气息的,就是空间有点小,要是特结实的朋友就得慎重了.', '短评打分': 5}
{'短评内容': '很不错，出差的首选，出地铁就是宾馆，吃，住，行方便的很~下次出差还住这儿~', '短评打分': 5}
{'短评内容': '交通便利，价格适中，但房型较小，房门感应系统普遍存在问题。', '短评打分': 5}
{'短评内容': '环境优雅，交通便利，性价比很合适。房卡感应比较成问题。', '短评打分': 5}
{'短评内容': '交通便利，四号线平安里站出来步行5分钟，楼下是小吃一条街，路口有家85度，喝多了去买杯蜂蜜柚子茶不错，言归正传，酒店很有中式气息，前台接待比较礼貌，隔音对得起价格，房间干净整洁，属于闹中取静的一类，基本去北京都住那。', '短评打分': 5}
{'短评内容': '位置很好，标准间不错，房间朝阳，比较干净，以后来北京这里还是不错的选择之一', '短评打分': 5}
{'短评内容': '挺好的，交通，吃喝都很方便', '短评打分': 3}
{'短评内容': '房间不错蛮干净 服务也蛮好 公交地铁都很方便 我很喜欢入住这里', '短评打分': 5}
{'短评内容': '交通非常方便，服务态度也很好，干净卫生。唯一遗憾就是我住的那间有点点吵，但是总体是很满意的，下次还会选择', '短评打分': 5}
{'短评内容': '不错，很有北京味，尤其是老北京风格的艺术玻璃，很赞！小伙子服务生，很有耐心！', '短评打分': 5}
{'短评内容': '环境不错，很舒适。出门就是地铁和小吃一条街，出行很方便。', '短评打分': 5}
{'短评内容': '环境不错，很舒适。出门就是地铁和小吃一条街，出行很方便。价格在北京这地方也算是物美价廉了。总之，值的推荐。', '短评打分': 5}
{'短评内容': '酒店位置交通方便，离地铁4号线2分钟。周围有很多小吃店，尤其是护国寺小吃店很好，当地很多人都去吃的，里面现烤的糕点是我的最爱。购物方便，距离西单和SOGO都不远。我几乎每次都住这。', '短评打分': 5}
{'短评内容': '房间一股发霉的味道，房间设施很旧，交通部方便，早上根本打不到出租车。\n附近小吃店非常多，但是都很一般，而且服务态度不好，带着老北京人的牛气.', '短评打分': 1}
{'短评内容': '很不错的酒店，出行很方便，旁边就是平安里地铁站，出门就有小吃店和各种餐馆。', '短评打分': 5}
{'短评内容': '不错，交通太便利了，出了地铁站就是。', '短评打分': 3}
{'短评内容': '酒店服务不错，交通方便，入住时因时间太早，前厅人员帮忙联系后入住。', '短评打分': 5}
{'短评内容': '环境不错，交通方便', '短评打分': 3}
{'短评内容': '地点不错，附近有一些护国寺小吃，打的也挺方便的，不过要看时间段，有电梯这点很方便，房间比较小，但是设备比较齐全，有热水洗澡，还有饮用水，我同学说比七天连锁的酒店好。', '短评打分': 5}
{'短评内容': '不错 一直住这。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '位置很好，房间稍小，交能便利，总体感觉不错', '短评打分': 5}
{'短评内容': '酒店位置环境较好，酒店门口各种小吃都有，价格也不是很贵；不足的是房间小再就是设施比较陈旧。', '短评打分': 5}
{'短评内容': '挺好的，客服的态度非常好的，地铁不远,4号地铁就离这不远', '短评打分': 5}
{'短评内容': '地理位置很好，离地铁站很近，不管硬件怎么样，客服真的是态度巨好，效率巨高', '短评打分': 5}
{'短评内容': '附近有很多小吃,交通方便,离地铁很近,装修中式风格', '短评打分': 3}
{'短评内容': '交通很方便，酒店也很干净。\n前台工作人员细心负责。\n很耐心的帮我们解决网络问题', '短评打分': 5}
{'短评内容': '护国寺酒店虽然空间小了点，但是装修之类的还蛮精致用心。算是同等价位里性价比比较高的啦!', '短评打分': 3}
{'短评内容': '位置不错，交通方便，去天安门，王府井很近，', '短评打分': 5}
{'短评内容': '酒店治理位置好，店内装修古朴，具有民族特色。服务态度好', '短评打分': 5}
{'短评内容': '怎么没有中性的评价呢？总体来说还行吧，周围吃饭很方便，打车不太方便。墙上的壁柜千万别打开，脏。房间灯光特别昏暗；洗澡与梳洗台连在一起，洗澡老担心水流到房间里；迷你饮水机机旁边的茶水杯里外都是灰尘；定的是A型标间，房间特别的小，都转不开身，只好把箱子放在椅子上。其他地方看起来似乎还干净。', '短评打分': 5}
{'短评内容': '交通方便，卫生和服务态度都很好，满意喽。', '短评打分': 5}
{'短评内容': '酒店很干净，位置很好，去各景点都很方便。就是房间小了些。', '短评打分': 5}
{'短评内容': '酒店位置好,出行吃饭都方便,但房间卫生间偏小。价格合理。', '短评打分': 3}
{'短评内容': '住宿环境和周边环境都挺不错的，暖气热水都很好，感觉很干净，不过没有电脑上网就是！', '短评打分': 3}
{'短评内容': '干净卫生服务态度很好，最重要是交通方便，出门就是地铁口。价格也很实惠就是房间有点小了。', '短评打分': 5}
{'短评内容': '帮客人定的，客人反映交通方便，周边餐饮等齐全，性价比高，下次会再次选择。', '短评打分': 5}
{'短评内容': ' 环境不错', '短评打分': 3}
{'短评内容': '还不错，只住了一天，附近小吃很多，房间略小', '短评打分': 3}
{'短评内容': '非常不错的一家酒店，虽说有点小但很干净，最主要交通极其方便离地铁四号线平安里站只有几十米的距离，周围很多小吃很好，离恭王府很近；这家酒店受到了同行的好评，如果下次我还会住这家···', '短评打分': 5}
{'短评内容': '交通方便，就是房间小了，本来订的是大床，但是给的是双床一标间', '短评打分': 3}
{'短评内容': '房间也太小了点吧，标间2个人站在里面都无法转身！就一典型的小旅馆！', '短评打分': 1}
{'短评内容': '不錯,一出地鐵就可以找到~~房間雖說不大,一個人住也正好~~暖氣很暖和~~', '短评打分': 5}
{'短评内容': '周边好多小吃，而且好像很近后海，很有北京的古典特色，价格不贵，值得一住', '短评打分': 5}
{'短评内容': '除了房间小，别的都还好。房间装修挺别致的，也算新，卫生各方面服务都不错', '短评打分': 5}
{'短评内容': '房间挺干净，周边饭馆较多，出租车也还方便，离地铁站很近走路只需3、4分钟。汽车站也只要5、6分钟，服务生服务还可以，价格稍高，是否可以再便宜，下次还考虑住这里。', '短评打分': 5}
{'短评内容': '虽然房间很小，但是小巧玲珑，内里设施齐全很精致很卫生的。交通方便。', '短评打分': 5}
{'短评内容': '位置很好，出地铁4号线平安里站右转50米左右即到。房间比较小，还算干净。服务也可以。', '短评打分': 5}
{'短评内容': '离地铁近,出行很方便,附近吃的地方也很多', '短评打分': 5}
{'短评内容': '位置出地铁口就能看到。公交车也很方便。酒店环境温馨舒适。护国寺小吃街就在旁边很不错。', '短评打分': 3}
{'短评内容': '麻雀虽小 五脏俱全  很满意 地段好 服务也很好 网络也快 推荐', '短评打分': 5}
{'短评内容': '不错！', '短评打分': 3}
{'短评内容': '酒店干净 前台接待好 实惠舒适 很喜欢', '短评打分': 3}
{'短评内容': '酒店位置很好。。。门前一条街都是小吃。离地铁站又近。推荐。', '短评打分': 5}
{'短评内容': '地理位置很方便，地铁四号线平安里站边上，旁边就是护国寺小吃~~~~~~ 宾馆的装修是青砖仿古风格的，很有特色。~~~ 只是老宾馆了，房间有点小，隔音不是很好，特别是人在走廊说话的声音，特别吵~~~~~  工作人员的态度不怎么样，不冷不热的', '短评打分': 5}
{'短评内容': '很有地方特色，特备适合喜欢中国特色文化的外国朋友呀', '短评打分': 5}
{'短评内容': '地段很好，去哪里都很近，家人很满意，就是房间小了点。', '短评打分': 5}
{'短评内容': '入住后感觉不错服务态度好房间比想象的大位置好', '短评打分': 3}
{'短评内容': '房间较干净,宾馆外小吃店多,方便', '短评打分': 3}
{'短评内容': '环境很好，满意！', '短评打分': 3}
{'短评内容': '位置好，适合来北京游玩，交通方便，就是房间小！', '短评打分': 5}
{'短评内容': '很有老北京特色。定的是标准间A 之前看评论就说挺小的，确实发现挺小的。不过住的挺好。什么都有。在北京玩了4天 交通很方便。周围有许多小吃。', '短评打分': 5}
{'短评内容': '离地铁口很近，附近有护国寺小吃还有小超市和水果店，总体比较便利。房间也比较干净，就是枕头不是很舒服，晚上睡觉外边有点乱', '短评打分': 5}
{'短评内容': '地理位置不错，离西单一站公交左右的距离，门口小路上很多饭店，吃饭方便。房间稍显小，不过设施还好，中式装修，比较温馨、特色。', '短评打分': 5}
{'短评内容': '酒店周边环境不错，安静，附近的小食丰富，离景点近，最重要的是交通方便。酒店的管理好，卫生干净，房间内的布置有品味。', '短评打分': 5}
{'短评内容': '周围很多小吃很不错，房间干净卫生个，但是比较小', '短评打分': 5}
{'短评内容': '位置很好，交通方便，就是房间小点，定了2个B型标准间，后来才发现一样的价格房间大小不一样，没来得及问是不是有一就间给弄成A型标准间了。', '短评打分': 5}
{'短评内容': '酒店位于北京市西城区区护国寺大街125号，地铁四号线平安里站。进出酒店均方便。酒店性价比好，服务态度好。房间干净，适合于自费人员入住。', '短评打分': 3}
{'短评内容': '就是房间小点，整体还是不错的，洗手间不是透明玻璃偶就很知足，只是没有挂帘，洗过澡，洗手间一片狼藉，前台服务也不错，偶们出去吃个饭回来发现房卡留在房间里木有带出来，找了前台帮我们开门，还有我订的蛋糕 人家直接送到酒店前台  前台也帮我好好的收着了，服务不错，隔音效果一般，隔壁开门关门 走人啥的都听的清楚，总有一两次被吵醒，半夜还有人的咳嗽声，这点让人很不淡定，不过有机会会再订的 ，下次会换个贵的房间', '短评打分': 5}
{'短评内容': '干净的房间，也安静。就洗澡的花洒真糟糕，没手持小洒头，只想冲一下，头发都避免不了淋湿。卫生间小的离普。总体还行！', '短评打分': 3}
{'短评内容': '不错，会跟朋友介绍的，服务很好，位置也不错，交通很方便，以后机会也会优先考虑这里的。', '短评打分': 5}
{'短评内容': '已入住。', '短评打分': 3}
