{'短评内容': '房间太冷了冷的不能住，都住的感冒了，无线网用的十来点就不能用了，上午用还是不能用，这样的酒店不想在去住了', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间干净整洁交通便利服务态度还好', '短评打分': 5}
{'短评内容': '好好好', '短评打分': 5}
{'短评内容': '要的是单人间，除了卫生间小，别的没毛病，电视也很大，前台服务态度也很好，房间打扫得不错。位置也比较好找，出门就是公交站牌，离火车站，沃尔玛，华联那块都近，好评，点赞。', '短评打分': 5}
{'短评内容': '服务很周到', '短评打分': 5}
{'短评内容': '服务很周到', '短评打分': 5}
{'短评内容': '房间干净舒适交通很方便的出门就是公交车总站，有早餐吃很好，房间里有矿泉水真的挺好！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': '位置很好，价格实惠', '短评打分': 4}
{'短评内容': '房间环境很好、很干净', '短评打分': 5}
{'短评内容': '这个酒店那个男前台不怎么样，女的很有素质，总体还行！', '短评打分': 5}
{'短评内容': '酒店是一个经济实惠的酒店，环境属于上等，设施也挺不错的，尤其是服务那真是没法说，非常的棒，给万通点赞。', '短评打分': 5}
{'短评内容': '不错，近期入住过的性价比很高的宾馆，干净卫生设备新无线快，非说有什么不足就是不知道床单是什么面料，有点粗糙，磨皮肤。', '短评打分': 5}
{'短评内容': '马马虎虎，环境不是很好', '短评打分': 3}
{'短评内容': '替朋友定的的！', '短评打分': 4}
{'短评内容': '不错，在这地方还算可以吧', '短评打分': 3}
{'短评内容': '还可以，性价比挺好！而且地段也不错！', '短评打分': 3}
