{'短评内容': '服务到位屋内设施齐全卫生良好，床很舒适，景色很美', '短评打分': 5}
{'短评内容': '很一般！', '短评打分': 2}
{'短评内容': '酒店的服务很好，房间也很干净敞亮，很大，早餐挺好，什么都有了，知道我是带小孩来的，还给送了些小玩具，非常好', '短评打分': 5}
{'短评内容': '给我的第一印象就是非常的干净，酒店的毛巾什么的都是单独包装的，特别干净，一看就是星级酒店', '短评打分': 5}
{'短评内容': '停车场真的很大，怪不得之前朋友说停车没问题，打到难以想象，非常好，晚餐也好吃，就是不是天天有，非常喜欢', '短评打分': 5}
{'短评内容': '酒店不错，听客户说非常棒，这次的客户非常满意，这笔生意做好了给酒店一个锦旗', '短评打分': 5}
{'短评内容': '总体说很赞 早餐晚餐自助很给力 服务人员也很礼貌 关键是离海滩近 人少而且沙子很细腻 值得推荐', '短评打分': 5}
{'短评内容': '不错的东东 ，好评送京豆 。评比给好逗好逗   哈哈', '短评打分': 5}
{'短评内容': '服务好，环境好，干净卫生，下车来还住这里', '短评打分': 5}
{'短评内容': '화안국제호텔 처음 숙박했는데 시설도 좋고 조식부페도 좋은것같고 직원들서비스도 좋네요 다음에 방문할때도 이용할려고 합니다', '短评打分': 4}
{'短评内容': '紧挨着海边环境一流，赠送20元韩国进口超市劵，买了咖啡。价格很NICE，东西也很NICE还会考虑再次入住。', '短评打分': 5}
{'短评内容': '看着评价挺好，就过来了，看起来真的挺不错的，酒店有个大停车场，还有礼宾给开车门，帮忙拿行李，感觉不错，天冷酒店还送的洗脚盆，好好的', '短评打分': 5}
{'短评内容': '这个酒店老好了，服务啊，态度啊都非常好，酒店到处就放着圣诞老人，挺好看的', '短评打分': 5}
{'短评内容': '酒店位置不错，紧邻海滩。孩子们天天去海边玩，就是临近酒店的海滩不是太干净，可能是缺少专人打理。往左边走一公里左右就发现很干净的海滩了。边上的秦始皇东巡宫已经变成啤酒节用地，比较煞风景。晚上的海鲜自助餐不错，所以天天爆满，事先没预约都不行。', '短评打分': 5}
{'短评内容': '跟朋友一起去的，第一次入住，地理位置很棒，就建在海边，打车非常方便离机场和火车站都很近，去烟台见老同学晚上还在二楼吃得中餐，经济实惠，口味不错，有我最喜欢的大螃蟹和红烧肉，下次去烟台首选之地！服务很不错，很贴心，天冷给我准备的泡脚盆，满满的泪水！32个赞！', '短评打分': 5}
{'短评内容': '酒店真的真的很不错，气派的停车场还有一片无计的大海，让人顿时心旷神怡！酒店前台的服务很贴心知道最近有雾还给我准备的口罩，一进客房桌子上有杯热气腾腾的雪梨汁，住过这么多酒店第一次享受这种超5星的服务！客房的大床超级舒服，软软的，早餐不错西餐厅直面大海我和朋友住的都很开心！强烈推荐！', '短评打分': 5}
{'短评内容': '还不错的酒店', '短评打分': 4}
{'短评内容': '环境不错，设施一般', '短评打分': 4}
{'短评内容': '非常安静的一个地方，酒店外面出去走走也很舒服', '短评打分': 5}
{'短评内容': '就在海边，可以出门可以直接下海。因为酒店整体是圆柱型，所以房间不是正方形。酒店餐饮超烂，吃了两天凉饭，餐饮部服务意识很差，有待提高培训。', '短评打分': 1}
{'短评内容': '酒店新服务好位置佳值得再来', '短评打分': 3}
{'短评内容': '酒店很好 干净下次还会入住，在海边吹吹海风真是舒服啊', '短评打分': 5}
{'短评内容': '位于开发区的一个相当好的酒店，就在海滨。早餐很好，晚上还送一位晚餐自助餐，真叫人喜出望外。晚上的自助餐很不错的。叫人有第二次再入住的冲动。', '短评打分': 5}
{'短评内容': '去开发区的首选，硬件和服务都不错。虽然有点偏，但叫车服务很及时的。', '短评打分': 5}
{'短评内容': '房间还不错,其实所谓的海景房没有什么特别,那多出的50块完全没有必要,普通房也能够看到海的', '短评打分': 5}
{'短评内容': '酒店的餐厅感觉一般，朝鲜餐厅里固定搭配比较多，自由选择比较少，不过偶尔一次无所谓，我一个大鼻子同事的淋浴喷头不知道怎么调高度，结果这哥们儿得哈着腰洗澡…………', '短评打分': 5}
{'短评内容': '帮客户定的，没什么特别的，不过服务态度很好！', '短评打分': 5}
{'短评内容': '酒店服务很好，服务员居然还把我的袜子给洗了……受宠若惊的说！从来没有过这种经历……', '短评打分': 5}
{'短评内容': '很好的很干净的宾馆，唯一的不足之处是比较的偏僻，出门打车不方便。', '短评打分': 5}
{'短评内容': '服务挺周到的', '短评打分': 3}
{'短评内容': '硬件还不错，靠海，很漂亮，夏天旅游的时候不错，但是打车不好打，而且前台接待水平要提高才行', '短评打分': 5}
{'短评内容': '去烟台开发区出差的第一选择，虽然周围配套设施缺乏，但酒店本身的水准不错。', '短评打分': 5}
{'短评内容': '非常好的酒店，去烟台出差一直都住那里，五星级的服务！', '短评打分': 5}
{'短评内容': '很好的酒店，房间硬件很好，住得很舒服，值得再次入住。不足之处是酒店的位置稍微偏了点，出行有点不方便。', '短评打分': 5}
{'短评内容': '给朋友订的---反映很不错，就在海边--我是说，楼已经泡在海里了，喜欢看海的人过瘾啦', '短评打分': 5}
{'短评内容': '酒店位置就在开发区著名的金沙滩海边，非常适合观海，早上还可以一边吃早餐一边看着起伏的海浪，感觉真的很棒！', '短评打分': 5}
{'短评内容': '在入住时，前台会将所住得房型，楼层，电梯在哪，等说明清楚。让客人很明白。顶', '短评打分': 5}
{'短评内容': '前台服务热情，但餐厅的服务不敢恭维，在没有得到客人同意的情况下，随意打开饮料，客人不好意思不买单。', '短评打分': 5}
{'短评内容': '很好的酒店，就在海边，到浴场步行即可，自助餐非常丰富。交通不太方便。', '短评打分': 5}
{'短评内容': '就在开发区著名的金沙滩海水浴场边上，游泳和早上赶海太方便了！服务也不错，下次去烟台还要住！\n\n酒店似乎是特别面向韩国人的，里面住的韩国人超多，连电视节目都好多韩国台，可惜英文台少了', '短评打分': 5}
{'短评内容': '同时住了丽景海湾酒店。华安是开发区离海最近的酒店了。海滩上有不少垃圾，但是上午的海滩和海水都很好。孩子玩的很尽兴。住的跃层，酒店的硬件确实旧了，卫生间尤其小，洗脸池的下水味很大。服务很自然亲切，不是招牌式的标准微笑，很恳切。孩子们都喜欢这里的前台，餐厅和门童叔叔阿姨。房间的服务员，一位戴眼镜，东北口音，服务2层的阿姨尤其好。这里表扬下！', '短评打分': 5}
{'短评内容': '除了房间是跃层有些特色之外，其他的……都很普通吧。', '短评打分': 1}
{'短评内容': 'If the price could be a little bit lower, it will be perfect.', '短评打分': 5}
{'短评内容': '1107房间的卫生间气味刺鼻，希望其它的房间不是这样。', '短评打分': 1}
{'短评内容': '该酒店实际是戴斯酒店，有点老了，不过位置确实不错，适合到海边度假的人。另外早餐也不错', '短评打分': 5}
{'短评内容': '房间大，园景房比较好', '短评打分': 3}
{'短评内容': '海景一流，硬件设施不错，服务很好，不愧烟台开发区一流酒店，下次还会入住', '短评打分': 3}
{'短评内容': '地理位置有点偏，但环境很好,喜欢安静的客人可以住.\n', '短评打分': 5}
{'短评内容': '环境比较好，在海边，早餐也比较好，服务人员很敬业。', '短评打分': 5}
{'短评内容': '地理位置有点偏，孤零零的在海边，但环境那叫一个好，总体感觉非常棒，\n没有游泳池，有点遗憾。。。', '短评打分': 5}
{'短评内容': 'Fairly Good，the waiter and waitress are very professional, good', '短评打分': 5}
