{'短评内容': '第一次在京东订酒店，感觉还可以', '短评打分': 4}
{'短评内容': '距新街口不远，交通便捷，干净卫生，宽敞明亮，生活方便，无早无停车场。服务认真，下次还来。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店离地铁站还算蛮近的，出了地铁口直行就可以到，办理入住和退房都挺快的，附近一条街有挺多买早餐的，离着秦淮夫子庙，总统府不算远，坐地铁都挺方便。', '短评打分': 5}
{'短评内容': '酒店服务很好，就是周边很难停车', '短评打分': 5}
{'短评内容': '好想你了俩小时的时间里找到了自己的生活方式', '短评打分': 5}
{'短评内容': '还算干净。13年装修的。周边繁华', '短评打分': 5}
{'短评内容': '不错！好好好！', '短评打分': 5}
{'短评内容': '不错！满意！喜欢！', '短评打分': 5}
{'短评内容': '南京中心区域，这个价位能住到这样的房间，很满足了。', '短评打分': 5}
{'短评内容': '挺不错的，很干净，主要是交通放便', '短评打分': 5}
{'短评内容': '哎呦，不错哦', '短评打分': 5}
{'短评内容': '很好哦  其实是第二次入住了  交通很方便  对于一个追星的人来说  火车站到酒店  酒店到奥体都很方便！推荐这家！！酒店出门100米左右就有地铁口！', '短评打分': 5}
{'短评内容': '挺不错的，没有缺点，下次还会入住', '短评打分': 5}
{'短评内容': '忘记留图拉，房间不错，算是蛮干净的了，选择这家，也是看开业时间不是很长，所以各方面都不是陈旧，住的这间比较安静，最满意这点了，毕竟在新街口还靠近路边，是难得拉～愉快的一次入住呗～', '短评打分': 5}
{'短评内容': '早餐还可以，服务也不错', '短评打分': 4}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '酒店位置很好偏，周边可吃的东西很多。服务很好。前台美女帅哥的服务也很耐心，赞！房间很干净。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
