{'短评内容': '遥控器不好使，空调不好用，前台服务很好唯一亮点！', '短评打分': 4}
{'短评内容': '好好', '短评打分': 5}
{'短评内容': '服务挺好的，就是房间莫名其妙的断电。还有！住的那两天竟然水管坏掉了，最开始是没有热水，后来连凉水都没了。。。', '短评打分': 5}
{'短评内容': '挺好的，离中山桥和正宁路小吃街啥的都不远，交通也方便，房间里面也基本设施都可以，就是窗户略小了一点，卫生间的灯略暗了一点，早上热水凉了点，不过出门在外，都还好，性价比还是很高的', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '环境不错，价位也不错', '短评打分': 5}
{'短评内容': '正在装修，非常一般。', '短评打分': 3}
{'短评内容': '这是第一次在携程的差评，不知道携程提供的酒店是如此之差。第一，入住的就酒店严重霉变，可以从照片上可以看到天花板，已经霉变的要掉落了，第二，在酒店的电梯口，堆放着建筑材料，从消防安全来说，这是安全的最大隐患。很差的一次体验。', '短评打分': 3}
{'短评内容': '差评，装修不说明一下，虽然是路过只随便住一晚，但电梯始终被装修工人占据也挺不爽吧！而且在装修是否应该提前告知一下…', '短评打分': 3}
{'短评内容': '早上七点多就到了，说十点后才有房子，结果等到下午一点多才有房子，我等的也是醉了，说的返现也没返，说的送牛奶也没送。', '短评打分': 3}
{'短评内容': '酒店环境设施、硬件条件都相当好，地理位置也很好，酒店服务态度好，周边有早餐，下次来考虑在次入住该酒店。', '短评打分': 5}
{'短评内容': '地理位置非常好，在兰州这是很方便的位置', '短评打分': 4}
{'短评内容': '环境可以，位置好，离中山铁桥、张掖路步行街都很近，但是因为兰州对外地车的限制，工作日出入很不方便，记得一定要错开限号的时段。装修比较旧了，不过卫生条件还可以，边上有马有布牛肉面，味道不错', '短评打分': 5}
{'短评内容': '还不错，就是屋子有点小，。。。。。。。。', '短评打分': 3}
{'短评内容': '。真的真的好破烂啊，不推荐', '短评打分': 3}
{'短评内容': '位置很好，房间设施一般般啦', '短评打分': 4}
