{'短评内容': '很好很满意', '短评打分': 5}
{'短评内容': '很好很满意', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店很不错。性价比很高。', '短评打分': 5}
{'短评内容': '多次入住，性价比高', '短评打分': 5}
{'短评内容': '也还可以吧', '短评打分': 4}
{'短评内容': '酒店很不错,房间很干净,住得很舒适,下次再来', '短评打分': 5}
{'短评内容': '酒店很不错,房间很干净,住得很舒适,下次再来', '短评打分': 5}
{'短评内容': '测试评价看看你的时候我就不想再说。对酒店没有评价，代人买的', '短评打分': 5}
{'短评内容': '商务出差是不错的选择，价格适中。蛮好', '短评打分': 4}
{'短评内容': '非常超值   安静卫生   这个价格能住星级酒店太值了   一定要提前订呀   里面的餐厅也不错   哈哈', '短评打分': 5}
{'短评内容': '交通便利，靠近万达，但容易堵车', '短评打分': 5}
{'短评内容': '不写于投放广告广告', '短评打分': 5}
{'短评内容': '位于商业区，出行餐饮方便，性价比较高，只是酒店有点旧。', '短评打分': 4}
{'短评内容': '很差，没找到跟点评差距那么大，老旧，绝对不会再去住了。', '短评打分': 2}
{'短评内容': '总体感觉不错，下次还会再来住  ，值得推荐。', '短评打分': 4}
{'短评内容': '交通方便，老牌酒店，总体不错。', '短评打分': 5}
{'短评内容': '出差住的，酒店附近万达吃饭还方便，房间不大但感觉比较干净。', '短评打分': 5}
{'短评内容': '地理位置好，舒适干净，下回还来!', '短评打分': 5}
{'短评内容': '地理位置好，舒适干净，下回还来!', '短评打分': 5}
{'短评内容': '到青岛夏季旅游的人很多。旅游季节酒店价格普遍涨价，性价比还是可以的！', '短评打分': 5}
{'短评内容': '总体还是不错的！总体还是不错的！总体还是不错的！总体还是不错的！总体还是不错的！', '短评打分': 5}
{'短评内容': '几年前曾经住过。房间好像又重新装修了，还是不错。现在是旅游旺季，酒店总体性价比还是可以的。值得推荐！', '短评打分': 5}
{'短评内容': '还行吧，交通蛮方便的，环境不错，下次还住这。', '短评打分': 5}
{'短评内容': '酒店内饰一般，但还是蛮干净的，大厅不错，有点特色。', '短评打分': 5}
{'短评内容': '还行吧，但没有早餐，需另加钱。大厅里的花园蛮漂亮的', '短评打分': 5}
{'短评内容': '不错啊不错啊不错啊不错啊不错啊不错啊不错啊', '短评打分': 5}
{'短评内容': '还不错。位置很好，价位合理。去海边也很方便。', '短评打分': 5}
{'短评内容': '位置不错，房间卫生、服务都不错，周边有餐饮、购物环节，很方便。就是早餐日式较多。', '短评打分': 5}
{'短评内容': '地理位置一般，其实很靠近市北区。酒店的设施都很陈旧，非常需要翻新。卫生间的布局不算太好，洗手台紧挨着马桶，而且浴缸特别矮，洗澡时候水会喷出去，泡澡也不太舒服。总体来说不值得推荐。', '短评打分': 1}
{'短评内容': '性价比非常之高的酒店,位置和view也很好,就是房间稍微小了点', '短评打分': 5}
{'短评内容': '好，非常好，房间很大很宽裕。安静 卫生，不错的酒店', '短评打分': 5}
{'短评内容': '酒店性价比一般，不过除了客户的问题还算不错', '短评打分': 5}
{'短评内容': '巳于今日退房了，环境不错，卫生、服务好', '短评打分': 3}
{'短评内容': '三星级酒店日文很多而没什么英文。套房还行但设施有点老旧\n', '短评打分': 1}
{'短评内容': '一如既往的好', '短评打分': 3}
{'短评内容': '很旧的酒店啊~角落里都是灰...位置也一般...', '短评打分': 1}
{'短评内容': '感觉比以前差了很多，房间连拖鞋都没，不推荐', '短评打分': 1}
{'短评内容': '酒店设施老了点，空调声音响了点，其实还是可以接受的，性价比不错。不过唯一遗憾的是早餐太差了', '短评打分': 5}
{'短评内容': '服务还不错 价格稍贵 里面很多是日籍的蓝领工人 离万达较近', '短评打分': 5}
{'短评内容': '酒店太老了，日式管理 服务还可以 有水果送的 早餐也还不错吧 ', '短评打分': 5}
{'短评内容': '早餐不愧对4星级的档次,房间硬件尚可,交通也够便利,性价比尚可', '短评打分': 5}
{'短评内容': '酒店周围环境不错，大堂很大，就是有些旧，房间面积大，卫生还不错。早餐好。', '短评打分': 3}
{'短评内容': '设施有点陈旧，旁边有工地白天很吵人', '短评打分': 3}
{'短评内容': '酒店还可以，软硬件都还可以，价格也能接受，就是打车比较麻烦，门口的出租车，只跑远的，近的要去马路上打，不是很方便', '短评打分': 5}
{'短评内容': '酒店不错干净卫生。就是感觉有点贵，还不含早餐。交通挺方便的。', '短评打分': 5}
{'短评内容': '给朋友定的，他到青岛一直选择住这个酒店，交通方便\n', '短评打分': 5}
{'短评内容': '房间设施不错，前台态度热情，早餐也不错。', '短评打分': 5}
{'短评内容': '每次都会入住的酒店，市北区比较不错的地方，值得推荐。', '短评打分': 5}
{'短评内容': '这个酒店的设施很全面，虽然装修显陈旧，但是用品很全，符合星级酒店标准，客房服务也很认真，值得推荐', '短评打分': 5}
{'短评内容': '环境不错。商务大床房空间感觉有点小。入住的朋友反映房间有点潮。', '短评打分': 5}
{'短评内容': '老酒店、设施陈旧、但是卫生很好、打扫的很干净、服务态度也不错、唯一不足的就是打车不方便。 酒店如果能够重新装修的话、效益一定会很好。', '短评打分': 5}
{'短评内容': '日本人很多的酒店，酒店设施很差劲，房间非常小，设施不齐备，而且隔音效果不好。很老的酒店了。', '短评打分': 1}
{'短评内容': '也就是90年代的装修。比较旧~！还有一股味道', '短评打分': 1}
{'短评内容': '整体不错，早餐比较丰富，服务周到。停车免费，停车位充足。', '短评打分': 5}
{'短评内容': '一切都挺好的，早餐一般，房间也不错，下次再去住', '短评打分': 5}
