{'短评内容': '可以。。。。', '短评打分': 5}
{'短评内容': '品牌连锁，干净实惠，服务态度也很好。', '短评打分': 5}
{'短评内容': '位置好服务好', '短评打分': 5}
{'短评内容': '各方面都很好！继续好好干。', '短评打分': 5}
{'短评内容': '很好 前台服务不错', '短评打分': 5}
{'短评内容': '服务态度好，房间干净，五星好评', '短评打分': 5}
{'短评内容': '我是为了拿京豆的，快到碗里来', '短评打分': 5}
{'短评内容': '好好好，非常好，很好，好，。。。。', '短评打分': 5}
{'短评内容': '非常不错舒适入住很便捷', '短评打分': 5}
{'短评内容': '经济快捷酒店的标准，方便快捷，交通方便，酒店很热情，也在用心做好服务，值得赞！', '短评打分': 3}
{'短评内容': '不错！', '短评打分': 5}
{'短评内容': '作为快捷酒店，在德州这个城市，性价比不错，也感觉很干净安静。晚上随便找的，看了4.0以上的积分，就选择了，还不错，会再来', '短评打分': 5}
{'短评内容': '很棒', '短评打分': 5}
{'短评内容': '很满意，以前都是住七天的，现在很多七天不提洗漱用品了，。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不行，太吵，没人照顾差点睡着了。', '短评打分': 1}
{'短评内容': '环境不错，挺好的，有机会还会去', '短评打分': 5}
{'短评内容': '环境不错，服务不错，值得期待', '短评打分': 4}
{'短评内容': '还挺好的。 早餐不是很好吃。', '短评打分': 3}
{'短评内容': '停车方便，环境也不错，但是沿街一面房间的噪音比较大，影响休息。', '短评打分': 5}
{'短评内容': '统一管理，统一服务，还是不错的。停车挺方便的。', '短评打分': 5}
{'短评内容': '房间宽敞明亮、干净整洁，服务周到细致，以后还会入住。', '短评打分': 3}
{'短评内容': '很干净 很温馨 很舒服 以后还是会继续订这家酒店的', '短评打分': 5}
{'短评内容': '服务态度非常好，员工双手递单据房卡，面带笑容这点让我印象深刻。没有出现其他酒店那种极力推销顾客办会员的行为。房间干净，就是空间不太大（标间），不过足够住了。隔音效果不好这点貌似是通病，青岛天津的也这样。幸好隔壁顾客通情达理，听说我们要考试很自觉安静了不少，大部分素质还是比较高的。附近有真功夫馅饼，比较方便。', '短评打分': 5}
{'短评内容': '整体来说还不错，离自己原的公司很近，现在偶尔传传，不错。早餐还可以，服务也不错。', '短评打分': 5}
