{'短评内容': '不能加床，位置可以，有停车场，不过自费', '短评打分': 5}
{'短评内容': '，咯破手机软件', '短评打分': 5}
{'短评内容': '交通方便，价格实惠', '短评打分': 5}
{'短评内容': '公司就在隔壁，从老家回来就在这里休息一下，唯一好处交通方便，但房间隔音太差，房间里都能听到走廊的微信声音，网络一般，如果有视频会议的建议换家或自带wifi', '短评打分': 4}
{'短评内容': '不错性价比挺高的！', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '我订的大床房，没有任何通知变成了双床房，房间就不多什么了，呵呵哒表示，二十多楼就一部电梯，等电梯都等了十分钟', '短评打分': 2}
{'短评内容': '非常不错，来珠江新城的话隆重推介', '短评打分': 5}
{'短评内容': '不错，服务态度好', '短评打分': 5}
{'短评内容': '房间很臭', '短评打分': 3}
{'短评内容': '酒店还算干净，各方面都挺好的，最重要挺方便，快捷，价格在这个区来说还算好！来广州可以经常住这里！方便。', '短评打分': 5}
{'短评内容': '还可以。只是去的时候刚好旺季，那里酒店都很贵，这家还是蛮守信用，我定了之后，就一直留到我入住为止，不会转租给别人。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '不错，很好！适合家庭旅游落塌！', '短评打分': 3}
{'短评内容': '出差，环境挺好，下次再过来', '短评打分': 3}
{'短评内容': '交通方便，只是第一次去有些难找。各种设施齐备，适合长住。', '短评打分': 5}
{'短评内容': '离我做事情的地方很近，交通方便，附近有3、5号地铁。\n而且就在海心沙附近，整体环境不错。\n去了之后没有我需要定的房间给换了一个更大的复式，价钱不变，很不错，房间设施很全，确实很不错。\n公寓式的，有电视机、冰箱、厨房', '短评打分': 5}
{'短评内容': '环境还好.', '短评打分': 3}
{'短评内容': '被子很薄，设施不是很好，装修不是很好，感觉不是很干净。比较近地铁站，交通还算方便', '短评打分': 1}
{'短评内容': '我住的是复式房,洗手间和睡房在楼上,洗手间就挨着睡房,而且洗手间完全密闭,潮湿!!', '短评打分': 1}
{'短评内容': '交通方便，环境不错，冰箱，洗衣机和微波炉都齐全，就是没给准备茶杯，想喝点开水不方便。第一次去不好找，外面应该挂个大的标牌。我是问了下面的物业才找到的地方', '短评打分': 5}
{'短评内容': '真不错，离五羊邨和珠江新城地铁站都很近，交通方便。离花城广场也近，地理位置也不错。酒店干净、服务态度也不错、性价比高。能吸引回头客。', '短评打分': 5}
{'短评内容': '酒店性价比不高 洗手间没有隔间 洗完澡后整个卫生间都很湿\n床也不好用 进楼不方便 地下车库是要收费的', '短评打分': 1}
{'短评内容': '挺好', '短评打分': 3}
{'短评内容': '感觉不错 东西满齐全 就是店面是在15楼 找的时候有点麻烦', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
