{'短评内容': '常驻马店，其他都不错，对我很方便，罗经理和郑经理服务很好，还有其他服务员也不错', '短评打分': 5}
{'短评内容': '环境很好，服务也不错', '短评打分': 5}
{'短评内容': '很好啊', '短评打分': 5}
{'短评内容': '因参加一日游要早于酒店开早餐时间，同酒店说明后酒店很贴心的给我早晨打包。虽然简单但是很贴心。酒店前台服务员都很热情，礼貌。有免费停车场。位置在火车站附近。离二七小吃街较近。唯一不足的是卫生间稍微有点反味，其他都好。床软硬适度很舒服。值得入住。', '短评打分': 4}
{'短评内容': '这个价很值，很干净，还送早餐', '短评打分': 5}
{'短评内容': '东方基金吃饭', '短评打分': 5}
{'短评内容': '环境不错，喜欢', '短评打分': 5}
{'短评内容': '机场免费接送，性价比一般', '短评打分': 4}
{'短评内容': '这个酒店周围在修路，出行不方便，我觉得不叫酒店，叫宾馆更好些，只值120元一晚', '短评打分': 2}
{'短评内容': '好偏僻，好难找，交通不方便~服务态度可以', '短评打分': 4}
{'短评内容': '太偏僻了', '短评打分': 4}
{'短评内容': '好感觉很不错的，下次还会去的，加油！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '小，贵，如果步行真是不好找，走啊走，天还下着雨，从成都一路玩过来，住得最差的一家，也不能全怪酒店，差距太大，就连挂毛巾的地方也没有，有个脸巾居然是大毛巾裁开的……我也是无语了，比成都住的还贵，但是还是环境却完全没法比，现在已经离开贵阳了，没玩就走了……', '短评打分': 3}
{'短评内容': '房间还行  停车不方便', '短评打分': 3}
{'短评内容': '位置还可以，态度也还行', '短评打分': 3}
