{'短评内容': '还行，房间设施一般', '短评打分': 4}
{'短评内容': '挺不错的园子。居住有特点', '短评打分': 5}
{'短评内容': '好玩，合一家大小，孩子愛入熱帶雨林玩，會再去', '短评打分': 5}
{'短评内容': '早餐一般，餐厅位置好，酒店位置不错，周边环境挺好，', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间满好！干净卫生', '短评打分': 5}
{'短评内容': '商品非常的好，物流很快，质量很好，我们很喜欢希望继续加油！一直信赖京东，快递服务也是一级棒，优惠多多，回归多多。', '短评打分': 5}
{'短评内容': '麻麻说为送的自种的甜甜杨桃点赞^O^  木屋很有意思～', '短评打分': 5}
{'短评内容': '房间有阳台，有冰箱，很大，很舒服，不错。', '短评打分': 5}
{'短评内容': '很不错，可以在青青世界内游玩。', '短评打分': 5}
{'短评内容': '不错，第一次入住，感觉很满意。啊啊啊吧啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊', '短评打分': 5}
{'短评内容': '竟然有老鼠', '短评打分': 1}
{'短评内容': '很好很安静', '短评打分': 5}
{'短评内容': '很好很安静', '短评打分': 5}
{'短评内容': '房间太破旧，有老鼠尿的味道，慎选噢！', '短评打分': 2}
{'短评内容': '不错！下次带孩子来～', '短评打分': 4}
{'短评内容': '整間酒店工作人員都很有禮。田园餐厅不错，价格不贵，食材新鲜，味道好，服務員都很好。整個境區很舒服，房間乾淨、舒服，在陽台看日出日落。青青世界蛮多游玩的地方，是度假、休闲的好地方。我一定會再來。', '短评打分': 5}
{'短评内容': '适合居住，很不错', '短评打分': 5}
{'短评内容': '很幽静的地脚，能听到公鸡打鸣叫早是不错的体验，阁楼是孩子们最喜欢的地方，争相要睡上面，很好的的酒店，只是早餐要加强，因为性价比不高', '短评打分': 5}
{'短评内容': '這裏风光如畫！充满大自然感觉！权力推荐热帶雨林！仿如人间仙境！', '短评打分': 5}
{'短评内容': '星期日住401号标准间，其他都好，但空调和抽风机的声音太大，要求换房不成，晚上睡不好觉。在青青世界园内的地方虽然小但活动区挺周全，很适合一家大少去度假，至于中餐厅-田园餐厅（吃中午饭）味道，环境都很好，但价钱偏贵，茶位3元每人，彭家豆腐32元，桂花炒鱼肚48元（本以为是真用桂花炒，其实是鸡蛋，豆芽炒鱼肚，味道不错，但略微偏咸），满庭富贵32元（看图以为是道花甲汤，其实是豆腐垫底再加上花甲拯，味道不', '短评打分': 5}
