{'descr': '环境非常好，推荐', 'star': 5}
{'descr': '房间老了点，设备旧了些！', 'star': 3}
{'descr': '还可以吧……', 'star': 5}
{'descr': '卫生好恶心，拖鞋上有鼻屎，满地毛发。', 'star': 3}
{'descr': '霉味太大了 空调太老噪音太大 花洒也老旧了喷的乱七八糟 总之一般般', 'star': 3}
{'descr': '很不错的一家酒店', 'star': 5}
{'descr': '地理位置不错，离地铁站很近，但也只有这一点能说好了！房间卫生状况极差，被子上有蚊子尸体，不换的？房间有飞蛾，还发现两只蟑螂！', 'star': 5}
{'descr': '酒店很破，卫生条件不好，这是我住过最破的一家汉庭，没有之一', 'star': 3}
{'descr': '房间环境不是很好', 'star': 3}
{'descr': '酒店位置很好找，还有停车位，房间干净。挺不错的', 'star': 5}
{'descr': '市中心的酒店，门口停车顶多十部，还好周边有商场，但是车位也不多，隔音超级差，隔壁的说话声都能听到，然后装修很差，非必要还是不要住', 'star': 1}
{'descr': '性价比很高！每次出差都选择汉庭！', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '便宜实惠的酒店', 'star': 5}
{'descr': '环境一般了，地点挺好，床太硬', 'star': 5}
{'descr': '离地铁站是比较近的，短期一天落脚休息可以。', 'star': 3}
{'descr': '不多，很实用不多，很实用', 'star': 5}
{'descr': '卫生干净，单人大床很爽，服务态度很好。在上海这个价格可以接受。', 'star': 5}
{'descr': '总体不错，推荐，性价比高，靠近地铁总体不错，推荐，性价比高，靠近地铁', 'star': 5}
{'descr': '环境还不错，安全措施比较到位，很舒心，就是电视还是有线电视，频道不是很多，但是酒店的服务非常好！', 'star': 5}
{'descr': '环境还不错，服务也很好，就是电视台太少，画面也不是很清晰，希望能完善，那样就更好啦！', 'star': 3}
{'descr': '隔音效果不好\u3000房间对着马路\u3000早上很吵\u3000其它方面还不错', 'star': 3}
{'descr': '打过几次前台服务电话无人接听，房间也很小，不太舒服', 'star': 1}
{'descr': '环境差,一大早就开始装修,根本没法住,被忽悠了!', 'star': 3}
{'descr': '服务态度很好。。。喜欢。。下次去上海还住这···', 'star': 5}
{'descr': '交通比较方便，房间大小合适，有免费的各种洗发及沐浴液系列，是个小惊喜，如果有个电吹风就更好了\n隔音不好，半夜总被这样那样的声音打扰，睡不踏实，也许是快捷酒店的通病', 'star': 5}
{'descr': '该酒店非常干净，服务也相当的好，尤其是入住该酒店能给人一种非常安全和放心的感觉。2011年10月11日我的客人入住该酒店，12日上午临走办理退房时由于自己的粗心大意没有好好检查，直到下午快登机时才想起将一块手表遗忘在客房里，抱着试试看的想法我到了汉庭快捷酒店（上海岚灵花市店）去问一下，一进门前台的一位先生已经认出我了，问我是否来拿一块手表，我当时真是喜出望外，心里真的非常感动，在此我要代我的朋友真', 'star': 1}
