{'短评内容': '服务太差了', '短评打分': 2}
{'短评内容': '酒店外表看来还可以，里面管理很着。订的豪华电脑房却是电脑打不开，房内卫生极差进门一股臭味，换了一间还是不行，洗澡龙头坏的，蚊子多一夜无法入睡，一幢大楼很少贝服务员。早上与前台说明情况服务员态度恶劣，来了一经江经理也兰如此。非常不愉快的一次住宿。影响开车。价格与网上不一样，贵。还能相信携程网吗', '短评打分': 2}
{'短评内容': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的', '短评打分': 5}
{'短评内容': '一次比较满意的住宿。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '这个旅店实际就是汽车总站内的不怎样，住进去房间空间很大但有味，而且好像是长期不住人的那种味，只好开窗通风睡。就这样了。', '短评打分': 3}
{'短评内容': '不错不错', '短评打分': 5}
{'短评内容': '房间卫生整洁，后面就是客运站，坐去机场大巴很方便，前台态度不错，价格实惠。但空调老旧不好用、下水道异味重、毛巾太硬。', '短评打分': 3}
{'短评内容': '非常棒，以后还会入住', '短评打分': 5}
{'短评内容': '车站边上，比较方便', '短评打分': 4}
{'短评内容': '便宜', '短评打分': 2}
{'短评内容': '性价比不算高，但属于可以接受，对于乘汽车的人很是方便，就在汽车站边上。周边晚上不热闹但吃饭不成问题', '短评打分': 4}
{'短评内容': '非常好的一家酒店，下次还会入住。', '短评打分': 4}
{'短评内容': '床单上有污迹，热水出的太慢了，洗澡时估计得等10分钟', '短评打分': 3}
{'短评内容': '1.8米宽的大床房，房间空间很大，环境算好的，但是离热闹的商业中心有点距离，吃个饭要打的出去，隔壁就是桐庐的长途客运站，门口有小吃餐车，早上是早饭摊头，龙都在桐庐县个人觉得价格和环境来说算性价比高的', '短评打分': 3}
