{'短评内容': '服务卫生好。', '短评打分': 5}
{'短评内容': '很温馨，不错', '短评打分': 5}
{'短评内容': '前台xiage小样服务态度很好', '短评打分': 5}
{'短评内容': '酒店不错，前台小芳 服务态度很好', '短评打分': 5}
{'短评内容': '还可以呀，挺好的', '短评打分': 5}
{'短评内容': '整体还行，房间不大，但干净，色彩丰富，适合年轻人', '短评打分': 4}
{'短评内容': '服务特别差，门口全都堵死不让人进，协商到最后把警察都请来了。好不容易忍气吞身住进来结果房间小，又异味，还有小虫子飞。隔音效果好差，晚上被吵的睡不好。差评。好好的一趟旅行好心情就被店长的态度弄没了。太差了以后再也不住这里了', '短评打分': 1}
{'短评内容': '服务特别差，门口全都堵死不让人进，协商到最后警察都来了。好不容易忍气吞身住进来结果房间小，又异味，还有小虫子飞。隔音效果好差，晚上被吵的睡不好。差评。好好的一趟旅行好心情就被店长的态度弄没了。太差了以后再也不住这里了', '短评打分': 1}
{'短评内容': 'This hotel use to be part of the Home Inn franchise so all the franchise furniture still looks familiar. At night, exit the hotel and turn right there is a whole street of restaurants with outdoor sea', '短评打分': 4}
{'短评内容': '前如家，吃饭方便，周边变化很大，估计老三亚消失就在这几年了', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '都挺好的，美中不足就是邻公路的房间隔音不好，汽车噪音较大，多少影响了睡眠休息', '短评打分': 4}
{'短评内容': '酒店前台的服务态度很好，有宾至如归的感觉。热水全天都有，洗浴很方便，很好，', '短评打分': 4}
{'短评内容': '很爽', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '三亚市区设施很差，路啊什么的明显没有景点的好，但是不是图便宜吗，总体来讲也还好了，少的一星是因为到店后发现酒店又把我的房卖了一次钟点房，害我等了半个小时', '短评打分': 4}
