{'短评内容': '设施很好！', '短评打分': 5}
{'短评内容': '非常不错，还送了水果，早餐品种略少', '短评打分': 5}
{'短评内容': '帮人待定，非常好', '短评打分': 5}
{'短评内容': '环境干净简洁，服务热情，设施齐全。', '短评打分': 5}
{'短评内容': '环境不错早餐丰富房间内设施齐全，床也很舒服，窗外景色不错。带着老年人和宝宝一起来入住了三天，服务人员到底也很好。', '短评打分': 5}
{'短评内容': '性价比超高的酒店 进进出出都有服务员帮你开门 值得信赖', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '挂四星酒店出现老鼠，对于特别选择在这个镇上唯一好一点酒店的我来说 确实有点惊讶！前一晚在大堂发现老鼠，及时跟前台反映 然而前台却一起笑哈哈的觉得老鼠可爱，第二天一早反映给携程情况，携程跟酒店反映情况，有两名酒店人员来客房询问之后然而并没有给出一个好的处理方式，结算时说了一声抱歉！听说我会选择上传图片时，我人都已经走了，大堂经理追出来说跟总经理申请赔偿给我一些，我想说：你们在第一时间得知的时候 到客', '短评打分': 3}
{'短评内容': '软件和硬件都不错！', '短评打分': 5}
{'短评内容': '没有无线网 根本连不上', '短评打分': 4}
{'短评内容': '酒店太嘈杂，卫生细节做的不好！性价比低。', '短评打分': 3}
{'短评内容': '酒店离会场近，布局舒适，价格便宜 但是比较偏 比较安静 附近有些吃的 酒店不远处就是公交站 可以一直做到百家湖地铁站 江宁欧尚 还是方便的', '短评打分': 5}
{'短评内容': '我住了2天3夜 酒店自己就说就住了一天两夜反现也少150  什么酒店啊', '短评打分': 1}
{'短评内容': '酒店环境很好，房间很大，有沙发有茶几，里面东西很齐全，而且还有限电的安全插座。', '短评打分': 5}
{'短评内容': '床不行，地面是地毯感觉脏兮兮的', '短评打分': 4}
{'短评内容': '酒店房间整洁，设施完善，餐厅味道也不错哦，服务人员态度很好，对于出行来说也很方便，周边用餐购物很方便，酒店环境卫生也很好，值得推荐！下次还会选择入住的！  ', '短评打分': 5}
{'短评内容': '酒店内还不错，就是位置偏了些，几近荒郊野外，不过想想是郊区位置也就罢了。', '短评打分': 5}
