{'短评内容': '房间香烟味道很重，被熏死。', '短评打分': 5}
{'短评内容': '就睡个觉还行吧。', '短评打分': 3}
{'短评内容': '基本上每个月要住两三次，提前预定比较划算，很满意。', '短评打分': 5}
{'短评内容': '总的来说比较实惠，同等环境性价比高', '短评打分': 5}
{'短评内容': '很好很满意', '短评打分': 5}
{'短评内容': '坐地起价，差评', '短评打分': 5}
{'短评内容': '很干净 周围很多吃的。电影院', '短评打分': 5}
{'短评内容': '住的很舒服，房间隔音很好，洗手间也大', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还可以。。。。！！！！！！！', '短评打分': 3}
{'短评内容': '还行。可以的。', '短评打分': 4}
{'短评内容': '酒店位置有点偏，不太好找，别的都不错', '短评打分': 4}
{'短评内容': '位置一般，交通不是很方便，酒店管理有点欠缺，晚上出一电梯就看到二个不该看到女人，卫生一般，这种经济型酒店就这样了！', '短评打分': 3}
{'短评内容': '挺干净的', '短评打分': 5}
