{'短评内容': '订不上就订不上，打电话酒店有房你们订不上', '短评打分': 1}
{'短评内容': '酒店还不错，就是比较老', '短评打分': 5}
{'短评内容': '还不错的酒店 ，房间很大，视野很好，免费升级了一个档次，比较人性化的服务。不错的选择，下次会再去的。', '短评打分': 5}
{'短评内容': '房间比较干净，就是有股烟味，不太舒服。行政楼层房间特别大，城市夜景很棒。周围吃饭特别方便，去耀中吃粤菜去点都德喝早茶都可步行，酒店自己的红棉中餐厅也很好。', '短评打分': 5}
{'短评内容': '房间比较干净，给升级到了行政楼层，房间特别大，窗外正对天河体育场，城市夜景很棒。周围吃饭特别方便，去耀中吃粤菜去点都德喝早茶都可步行，酒店自己的红棉中餐厅也很好。', '短评打分': 5}
{'短评内容': '还不错的了', '短评打分': 4}
{'短评内容': '挺好的。。帮朋友订的，符合威斯汀标准。下次依然会选择入住。前台态度好，服务人员见面都会热情打招呼。。', '短评打分': 5}
{'短评内容': '酒店出行很方便，离地铁步行10分钟就能到，附近吃饭也很方便，酒店房间很大，我们加床了，空间也不显得很拥挤，酒店的转椅真心是坐着舒服，查了价钱，也是好价钱', '短评打分': 5}
{'短评内容': '位置超好，地铁边上，早茶超市快餐样样有，就是入住房间的浴缸上有没有清理干净的黄渍，让人真是意外。', '短评打分': 5}
{'短评内容': '位置很方便！', '短评打分': 5}
{'短评内容': '一般一般一般一般', '短评打分': 5}
{'短评内容': '环境优美，舒适，服务态度很好', '短评打分': 5}
{'短评内容': '酒店随便虽然比较老，但是里面的设施还不错，服务也还不错，酒店的位置也很方便，附件是的东西很多，走出去200米左右就到宜家', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '整体不错', '短评打分': 5}
{'短评内容': '确认很快，还未入住，京东很效率', '短评打分': 5}
{'短评内容': '发票呢？！！！', '短评打分': 1}
{'短评内容': '第一次在京东上预定酒店，预定的是海航威斯汀，第二次入住酒店，京东的预定服务不错。酒店的话还是可以的，就是隔音效果有点差。', '短评打分': 5}
