{'短评内容': '没有早餐但整体比较温馨', '短评打分': 5}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '没早餐啊 卫生不好 ', '短评打分': 2}
{'短评内容': '交通比较方便', '短评打分': 3}
{'短评内容': '喝水不方便', '短评打分': 3}
{'短评内容': '装修有点破，休一天，将就一下了', '短评打分': 4}
{'短评内容': '哎', '短评打分': 3}
{'短评内容': '凑合', '短评打分': 3}
{'短评内容': '还行吧，环境有点差，房间太小了，不过毕竟一份价格一分货，', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '这个环境对得起这个价格', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '温馨小屋', '短评打分': 5}
{'短评内容': '很干净', '短评打分': 5}
{'短评内容': '一般，没有梳子，交通   吃饭 方便   附近有大型超市', '短评打分': 5}
