{'短评内容': '房间面积偏小，卫生条件好！', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '还真的是我在长沙住过的最不方便的一间了，在一栋居民楼里，也实在不值这个价...', '短评打分': 1}
{'短评内容': '房间装修卫生还可以，酒店的位置还行，但是感觉价格还是有些偏高，设施还可以。', '短评打分': 3}
{'短评内容': '酒店位置还行，靠近南站，出行方便，里面一些休闲娱乐设施齐全，服务很好，卫生条件也不错，住宿环境还行', '短评打分': 5}
{'短评内容': '精装修酒店。房间不大 但是感觉比较温馨！！', '短评打分': 5}
{'短评内容': '酒店大门有点偏僻，房间也不大，移动手机没有信号！', '短评打分': 1}
{'短评内容': '价格挺合适的,就是房间的设计感觉不够好,洗漱间和床在一起感觉有点别扭', '短评打分': 5}
{'短评内容': '住的大床间，床凹凸不平的象个搓衣板，刚睡着被隔壁回家的住客吵醒，半夜又被旁边KTV的晚晚场唱客吵醒，整个不隔音。网速很慢，好不容易能浏览网页，五分钟之内便又无法显示...对了，保安居然指挥我从停车场的出口进入，差一点没出车祸...还是不推荐...', '短评打分': 1}
{'短评内容': '楼下歌舞厅，有些吵。附近有很多大排挡，吃宵夜很好！房间还不错了', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间还行，东西都有湿湿的感觉，拖鞋牙刷梳子都是要另外付款的，服务态度很好', '短评打分': 5}
