{'短评内容': ' 值的一去游行，服务好，房间很干净，下次去还住财火大酒店', '短评打分': 5}
{'短评内容': '不错，床很棉', '短评打分': 5}
{'短评内容': '已经第三次选择他家留宿，一如既往，老板热情，私房菜也好吃，还有免费接送服务，店里可以直接购买大庙和衡山门票。', '短评打分': 5}
{'短评内容': '不错!有停车呵', '短评打分': 4}
{'短评内容': '很不错，离大庙和上山的游客中心都非常近，位置很方便，条件还不错，饭菜比以前很大改观，老板娘热情，下次再来！', '短评打分': 5}
{'短评内容': '离衡山很近，回来的时候还可以加20元老板帮忙送高铁站，很方便', '短评打分': 3}
{'短评内容': '位置优越，饭做得挺好吃。过年去的，价格也还好', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '连续去了几年都住这家酒店，主要是离景区很近，走几步就到。另外就是酒店服务很好，每次都是车接车送的', '短评打分': 5}
{'短评内容': '性价比比较高的酒店，离大庙和衡山都很近，值得推荐！朋友们都很满意！下次来的话还会再住这里。好评！！！！', '短评打分': 5}
{'短评内容': '酒店不错，地处南岳大庙旁边，房内设施也好，看起来比较舒服卫生，值得入住。', '短评打分': 5}
{'短评内容': '条件一般，但地理位置好！酒店提供的服务很超值，下次还去', '短评打分': 4}
{'短评内容': '条件一般，但接送吃饭等各种服务综合起来性价比较高。第二次住了', '短评打分': 4}
{'短评内容': '老板比较热情，但房间卫生一般', '短评打分': 4}
{'短评内容': '不好不差，比较一般，跟价钱持平', '短评打分': 3}
{'短评内容': '交通便利，店家态度好。房间还算干净。', '短评打分': 4}
{'短评内容': '优点：位置超级好，离上山买票乘车地点很近。因为高速修路，老板早早打电话给我，指导我在哪里下高速，老板人不错；前台也很好，同意我们2点退房。缺点：晚上有人在外面放鞭炮，午夜和凌晨都有人放鞭炮，这里很迷信。', '短评打分': 5}
{'短评内容': '酒店是新开的，房间非常干净整洁，离登山口近，老板亲自接送和买票，服务比较到位，推荐入住！', '短评打分': 3}
{'短评内容': '很热情的店员，离景点挺近的。', '短评打分': 3}
{'短评内容': '老板非常热情，有求必应，酒店离景点很近，游玩很方便，推荐', '短评打分': 5}
{'短评内容': '服务态度很好，离景点近，方便，旺中带静，下次还住这。推荐！', '短评打分': 5}
{'短评内容': '确实还不错，相对景区来说价格低廉，但是服务一点也不落后，强烈推荐', '短评打分': 5}
{'短评内容': '老板人超级好！可以到南岳汽车站或者高铁站神马的接你！然后我走的时候还请我吃西瓜~~卫生条件不错，床也蛮舒服的~~可以要求要有电脑的房间，有电脑的房间是肯定带网线的~~而且离衡山和南岳大庙都超近啊！推荐~~赞~~', '短评打分': 5}
{'短评内容': '超赞！该酒店与上传图片完全吻合，集住宿、餐饮、佛教文化为一体。入住该酒店舒适、安静、环境好、服务到位，就像家的感觉。地理位置就在南岳衡山脚下，距离景点服务区仅30米，上山、去大庙都极为方便。给个好评！', '短评打分': 5}
{'短评内容': '出来玩要的就是方便!这家真的不错，所有设备都是新的，服务五颗星!!', '短评打分': 5}
{'短评内容': '干净 舒适 强烈赞一个!该有的都有了，服务没得说，性价比绝对高!\n 和朋友去南岳玩了一趟,从长沙坐高铁到衡山再到该店入住全程不超过一个小时,该店就在南岳大庙旁边(南岳山脚下) 行程安排极为方便!', '短评打分': 5}
{'短评内容': '客房干净卫生，服务热情，洗澡水也很大，性价比相当高，值得推荐！', '短评打分': 5}
