{'短评内容': '房间挺大的。其他的还好。价格不贵。', '短评打分': 5}
{'短评内容': '非常好 满意', '短评打分': 5}
{'短评内容': '感觉很一般', '短评打分': 4}
{'短评内容': '帮同事订的，没什么特别投诉，主要是和要办事的地方位置比较接近，所以就选了。反正没什么不好，应该还可以吧', '短评打分': 4}
{'短评内容': '充电设施劳损，不过还可以用，断断续续，其他的还好。', '短评打分': 3}
{'短评内容': '感觉不好，只有便宜一个优点', '短评打分': 1}
{'短评内容': '非常好 很干净', '短评打分': 5}
{'短评内容': '又入住了黑比诺，设施略久。但床被挺舒服', '短评打分': 4}
{'短评内容': '设施有点久了，偶有破损。积玉桥一带酒店住遍了相对说黑比诺的性价比还可以', '短评打分': 4}
{'短评内容': '携程返利没看到有返利，比洒店标价贵', '短评打分': 4}
{'短评内容': '没有wifi 没有吹风机', '短评打分': 4}
{'短评内容': '地铁站附近 很方便 房间足够干净 男友和我都非常满意 老板态度也很好 退房之后还帮我们寄放行李 就是卫生间洗浴区太小了点 里面没有地方放洗漱用品', '短评打分': 5}
{'短评内容': '环境不错，比较有情调', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
