{'短评内容': '老板人很有耐心人也好，位置不偏，周围挺方便的，出来就是统一超市和金得利，真的不错，里面环境比照片好的不止一点点，挺好的', '短评打分': 5}
{'短评内容': '老板人特别好，周围一般，房间倒是还可以。主要看自己了。', '短评打分': 4}
{'短评内容': '周围房间是棋牌社，半夜喊人打牌，前半夜睡着也会吵醒！卫生差，蜘蛛网和墙皮脱落！态度差，基本谈不上服务态度！', '短评打分': 1}
{'短评内容': '挺安静的，对得起这个价格了', '短评打分': 3}
{'短评内容': '地方很偏，打车费用高，服务差，无线差，打电话接电话的表达不清楚 ，真的感觉这世界没爱了', '短评打分': 3}
{'短评内容': '很好很好很好很好很好很好很好很好很好会更好', '短评打分': 3}
{'短评内容': '挺实惠的，挺干净的，不错', '短评打分': 3}
{'短评内容': '总体还行吧，卫生间潮湿味比较大', '短评打分': 4}
{'短评内容': '干净卫生，温馨舒适', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很一般', '短评打分': 2}
{'短评内容': '不错的酒店，服务很周到，平民消费标准。卫生还行。', '短评打分': 5}
{'短评内容': '电话预约称三星级标准 实在看不出三星在哪 设备简陋 房间小 条件一般', '短评打分': 1}
{'短评内容': '房子挺干净,就是挺小的,总之是经济型的。', '短评打分': 3}
