{'短评内容': '好评！价格优惠给力，酒店温馨舒适。', '短评打分': 5}
{'短评内容': '酒店温馨舒适，价格在京东预订也很优惠', '短评打分': 5}
{'短评内容': '价格优惠给力，酒店温馨舒适，服务周到', '短评打分': 5}
{'短评内容': '价格优惠给力，酒店温馨舒适', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '什么东西，晚上睡觉睡得好好的，墙上的粉整块的往下掉，是那种特别大的一块你们知道吗，啊西，真的，第一次感觉到整个人则崩溃，', '短评打分': 1}
{'短评内容': '。。。。。。。。。可以', '短评打分': 4}
{'短评内容': '位置很好，非常方便，整体还不错性价比高', '短评打分': 5}
{'短评内容': '好。。。。。', '短评打分': 4}
{'短评内容': '11111111111', '短评打分': 5}
{'短评内容': '不错，位置方便，价格实惠，挺好的', '短评打分': 5}
{'短评内容': '太差了，千万别来，又脏又小，谁来谁后悔', '短评打分': 1}
{'短评内容': '本酒店在黄兴路步行街，交通还是比较方便，就是周边环境差，酒店内部设施陈旧，晚上居然没有电视信号，而且没有窗户，厕所太窄啦！上卫生间都要碰到鼻子了，如果只追求可住的话可以选择，不然还是另选酒店吧！周边有许多性价比高的酒店。', '短评打分': 3}
{'短评内容': '房间虽小，地板不太干净，但性价比还蛮高。步行街上，交通和吃饭都很便利。床睡得还可以，提供一次性牙具。建议提供洗发水和沐浴露。', '短评打分': 4}
{'短评内容': '用携程几年了，第一次评价，是超差评。入住前说有热水和空调，放下行李出去玩，晚上回去洗澡时说没有热水，大冬天只有2度的天没有热水洗澡，开始说次日7.8点有热水，然后再说就是9点多，完全耽误了第二天的行程安排，说退房还不能退款，房间只有床跟一张桌子的位置就连着洗手间，无敌小。而且空调开到30度是完全没有感觉到有温度的。其实长沙有多很好而且价格很便宜的酒店，完全不需要考虑这里。', '短评打分': 1}
{'短评内容': '够差', '短评打分': 2}
{'短评内容': '前台的小伙子  脾气到是蛮大的', '短评打分': 3}
{'短评内容': '房间小得不能再小，不过配套还行，因为便宜，要求不高就可以选择，在步行街这个价格也算可以了！', '短评打分': 4}
{'短评内容': '一如既往的干净整洁，就在步行街内，陶陶街里好多小吃，不错。出行方便', '短评打分': 5}
{'短评内容': '挺好的。地角比较方便，就在黄兴南路里面。外面都是小吃什么的。就是房间有点小。卫生条件也一般。', '短评打分': 3}
{'短评内容': '开门就是床，差点没吓死我，而且床睡起来咯吱咯吱响，唯一好的就是前台的态度不错，但再也不会贪便宜', '短评打分': 3}
{'短评内容': '房间很小，只放得下一个床和桌子，厕所空间太小，但是挨着长沙步行街，方便出行。价格很便宜，鱼和熊掌不可兼得。呵呵。', '短评打分': 4}
