{'短评内容': '挺好，隔音好', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '没有早餐供应', '短评打分': 5}
{'短评内容': '离店心情极差，我自己在外面买了两桶大瓶农夫山泉，离店扣费时居然说我是在酒店买的？你们酒店的冰箱里面有大瓶的买吗？以后不再住着这！', '短评打分': 2}
{'短评内容': '可以带孩子，有停车场。位置不错。离火车站几百米吧，', '短评打分': 5}
{'短评内容': '环境不好', '短评打分': 2}
{'短评内容': '价格便宜，房间很大！每次来太原出差都住这里，周边吃饭也很方便！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '地点好找，在火车站周围这个价钱这个环境已经非常难得了，性价比挺高的，不错的一次住宿，比周边的快捷应该都不错', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '去年曾经住过，这次首选此处住一天，离火车站很近，去市中心、医院、柳巷、五一路等地方都挺方便的，关键是价格比较实惠，当然要给好评啦！', '短评打分': 5}
{'短评内容': '不错！出差首选，每次出差到太原都会住这里', '短评打分': 3}
{'短评内容': '位置离火车站很近，旁边也有公交去太原高铁站，旁边学校门口小吃也不力，值得推荐', '短评打分': 3}
{'短评内容': 'wifi基本上不了', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错，服务热情，交通方便，干净，会再来', '短评打分': 3}
