{'descr': '太棒辣，房间又大又干净，性价比太高！', 'star': 5}
{'descr': '住进来天已经黑了所以周边环境不太清楚，等接机半个小时有点长，房间虽不大，比较干净，不过烟味处理不太到位，后来帮我换了房间基本满意。', 'star': 4}
{'descr': '位置好服务好', 'star': 5}
{'descr': '每次在首都机场飞都会住这，附近有一些好吃的小店，酒店餐厅也很好吃，班车接送机很方便，服务态度很好，房间干净也比较大，总的来说性价比蛮高', 'star': 5}
{'descr': '没见过这么恶心的酒店，照片都假的，还不如，如家酒店呢。', 'star': 1}
{'descr': '普通商务出差', 'star': 5}
{'descr': '好棒', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '单元楼改建的，卫生安静，t3楼挺近。接机，赶飞机t3国际航班的最佳选择，有整点接送班车，前台登记主动提醒，赞一个，刷卡上电梯，有安全感。', 'star': 5}
{'descr': '挺不错的，不知道代金券怎么领的，还有退的钱。。。。。。。。。确实，可以免费接机，很方便。值得称赞。接机小伙服务也好。。。。。。。', 'star': 5}
{'descr': '是给我同学定的，在我们居民小区里，环境安静，酒店设施也不错，价格便宜。', 'star': 5}
{'descr': '帮朋友订的 离机场很近 很方便', 'star': 5}
{'descr': '环境挺好，性价比挺高，主要是接送机的服务挺方便的', 'star': 4}
{'descr': '一如既往的好！因为上次发票开错导致一点点不愉快，前台经理特意打电话致歉，这次入住给升级了房间，非常感谢，酒店有这样的经理生意肯定差不了。再次感谢！', 'star': 5}
{'descr': '还可以 但隔音不太好', 'star': 4}
{'descr': '挺满意，接送机服务比较好。', 'star': 3}
{'descr': '酒店接送方便，环境安静，订的三人间升级四人间，转机住适合。', 'star': 3}
{'descr': '一如既往的方便好', 'star': 3}
{'descr': '转机临时住在这里，基本还算干净，价格合理，比以前住过的一家机场酒店好多了。俺个人觉得如果可以订上特价的房间，那就是比较合适啦。', 'star': 5}
{'descr': '去机场很方便，宾馆内部也可以。给个好评', 'star': 3}
{'descr': '性价比还行，如果是赶飞机或者就近机场的，可以推荐。提供免费送机服务。', 'star': 5}
{'descr': ' ?这次接机不知为什么不太顺利拖了40多分钟。其它都还好。尤其是洗澡的热水很好。', 'star': 3}
{'descr': '房间不大但卫生很好，服务不错，满意。', 'star': 3}
{'descr': '离机场较近，房间太小，卫生尚可，早点太差！', 'star': 5}
{'descr': '设施有点旧 住了身上都起红斑了 希望以后改善卫生', 'star': 1}
{'descr': '地毯有点旧装修一般', 'star': 3}
{'descr': '酒店不错，干净，为低价预定了春季特惠房，没想到床户真的在卫生间里，凑合通风（本人超不喜欢无窗的房间），不过蛮适合赶航班暂居。', 'star': 5}
{'descr': '我觉得酒店送机服务挺好的，洗手间也很大，不足就是隔音太差，没有休息好！\n高江花', 'star': 3}
{'descr': '房间不错，干净.离机场不远，在家属区，还有送机服务', 'star': 5}
{'descr': '酒店地理位置不好，房间不隔音，卫生间也很小\n', 'star': 1}
{'descr': '设施一般，价钱可以。接送还算方便，房间偏小。', 'star': 5}
{'descr': '所谓三星级酒店，居然连个电吹风也借不到。不过好在能无线上网', 'star': 1}
{'descr': '住的是所谓标准间，房号710，可是这房间太小了，卫生间也很小，淋浴的隔间都没有。洗淋浴的话就不能用马桶', 'star': 1}
