{'短评内容': '全五星，服务很热情，十分棒，很满意！', '短评打分': 5}
{'短评内容': '全五星，十分棒，很满意，服务很热情，连楼层的大姐都很有礼貌，也很热情，餐厅也很好，在3楼的中餐厅吃的晚饭，味道很棒。', '短评打分': 5}
{'短评内容': '全五星，十分棒，很满意，服务很热情，连楼层的大姐都很有礼貌，也很热情，餐厅也很好，在3楼的中餐厅吃的晚饭，味道很棒。', '短评打分': 5}
{'短评内容': '酒店停车场真的很大，位置也很好找，西餐厅菜品也很丰富，绍兴的这趟自驾，定的这个酒店真的值了', '短评打分': 5}
{'短评内容': '房间卫生干净，服务周到，下次来还选择这家酒店！', '短评打分': 5}
{'短评内容': '性价比高，房间干净整洁，下次还会来住！', '短评打分': 5}
{'短评内容': '来绍兴旅游选择住在这家酒店，位置真是太方便了，交通便利，前台服务很热情，休息的很好', '短评打分': 5}
{'短评内容': '酒店交通便利，对面就是客运汽车站，BAT可直达绍兴北站……入住期间服务员都很热情，早餐品种很多，值得一住！', '短评打分': 5}
{'短评内容': '位置还不错，酒店也比较新。', '短评打分': 5}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '酒店还不错，值得住', '短评打分': 5}
{'短评内容': '酒店还可以，周围环境有点吵', '短评打分': 3}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '每次都来住', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '总体还不错哦，酒店位置好交通方便，房间比较大也还比较干净，设施完善，床品舒适，早餐品种还算丰富味道还算可以，酒店服务中规中矩没有太多感受。', '短评打分': 4}
{'短评内容': '酒店早餐可以房间卫生也还可以性价比高', '短评打分': 5}
{'短评内容': '在市中心，位置好，酒店环境好，价格合理，物超所值。推荐。', '短评打分': 5}
{'短评内容': '饭店是新的，房间不大，但很精致，床单被套和枕头很新，心情愉快', '短评打分': 5}
{'短评内容': '很好，干净，舒适，就是觉得酒店的自助餐一般般！', '短评打分': 5}
{'短评内容': '酒店服务不错，车库直达大堂，有人引导的。客房服务很贴心，送来了红豆甜汤和欢迎水果。不错不错。可能因为有会务，大堂显得有点吵杂。原本想在三楼就餐的，就是餐厅服务不是很到位，有点不冷不热。所以打消了就餐的打算，外出觅食。', '短评打分': 5}
{'短评内容': '中金豪生 还行吧，卫生间太小了', '短评打分': 5}
{'短评内容': '大堂异香扑鼻，送了各种水果，房间内设施也不错，很满意！', '短评打分': 5}
{'短评内容': '离汽车站很近，房间设施不错，周边环境一般', '短评打分': 5}
{'短评内容': '还是不错酒店，下次还会住的', '短评打分': 3}
{'短评内容': '货真价实的五星宾馆，硬軟件俱佳。早餐水准服务均好。员工总体素质較好，新张不久，想做好。我去中餐厅两次吃饭被冷遇，因为他们在张罗忙碌单间贵客，见我这种散客没人理睬，支我到一楼去用膳，下去等了15分钟没人理，饭未吃气已饱，只好步行5分钟到外面美林阁用餐。小亊一桩，但盼吸取教训今后改进。', '短评打分': 5}
{'短评内容': '酒店一股清香很宜人，工作人员服务不错，就是早餐我觉得还不够丰富，一些包子都是速冻食品，吃起来不够美味，中式的早餐花式少了，炒面也没有。客房还算透气，没有新装修的毛病，总体来说还是不错的。不过只能算是四星级以上，五星级以下，有待提高', '短评打分': 5}
{'短评内容': '服务很好，东西掉了，在我出门一刹那送了过来，结账的时候请客户反馈意见。很好，有些硬件稍微欠缺，但服务能不足。值得推荐！', '短评打分': 5}
{'短评内容': '性价比不高，升级到什么行政房，硬件很差，最多是4星，早餐还行', '短评打分': 1}
{'短评内容': '酒店早餐没有网上说的那么好，品种也不多，但是服务不错，客房硬件一般，服务手册不全。', '短评打分': 5}
{'短评内容': '看了点评后选择的，新酒店价格超值，豪生的品牌理念一直很认可！特别赞下早餐一级棒，太丰盛！房间处理的很好，没有新开业酒店的通病：味道不好闻。一个晚上和朋友看着欧洲杯住下来，非常舒适！', '短评打分': 5}
{'短评内容': '除了新装修的味道有点大之外，服务，餐饮各方面都很不错，下次来绍兴没有其他的选择！', '短评打分': 5}
{'短评内容': '枕头不舒服，晚上睡不好，早上5点左右有旁边医院救护车的声音，马路上的噪音大，周边很乱，档次低，停车停在酒店旁边的停车场，就进酒店退房结账的一会功夫，非要说超过了停车时间，还收了停车费，下次出差再也不住这！', '短评打分': 1}
{'短评内容': '周末带小朋友来玩，入住后很失望，刚开业的酒店，房间小，房间里气味重，尤其是打开柜子、抽屉的时候，气味特别大，都不敢把东西放进去，洗手间地漏有臭味，服务员态度差', '短评打分': 1}
{'短评内容': '酒店服务不错，交通便利，房间小了一点，其他都不错', '短评打分': 3}
{'短评内容': '服务态度好，酒店的设施也不错，\n不过因为是新开的酒店，气味还有是有点重', '短评打分': 5}
{'短评内容': '酒店很好，但不知现在是什么价格！早餐很有感觉！', '短评打分': 5}
{'短评内容': '打车到酒店，有人主动帮开车门，态度不错。估计是新装修的缘故，房间气味比较浓，有点刺鼻，浴室花洒水小的可怜，居然还没有热水，空调制冷效果奇差，开到16度睡到早上还出了一身汗，而且噪音还很响！结账时居然只给了刷卡单，连账单都没有。现在来说还是不推荐 ', '短评打分': 1}
{'短评内容': '房间真不错，早餐也很好，没后悔定', '短评打分': 5}
{'短评内容': '酒店就是房间偏小，地理位置有点偏，其他都还不错，不过以后那里会是繁华的地方', '短评打分': 5}
{'短评内容': '就软件水平来讲绍兴一流水准，服务非常好，很窝心，硬件上因为刚开业试营业阶段管理制度上还欠缺一点火候，不足之处希望你们加以改善，我苹果充电器没有带，客房给我拿了俩个充电器都没有用，但是最后服务中心的乐小姐以个人的名义借了个充电器给我，很感动，也在这里对你说声谢谢！总体感觉非常好，以后经常会去住。', '短评打分': 5}
{'短评内容': '酒店很好，不愧为国际五星标准，就是可能还是处于试运营期间，服务速度、房间小实施和气味等细节还需改进和完善。', '短评打分': 5}
{'短评内容': '房间很好，新开酒店，味重，服务慢。总体讲，值！很满意的是早餐。', '短评打分': 5}
{'短评内容': '早餐丰富。设施较新，房间气味太浓，大概因为是新开的缘故，服务员工作不太熟悉，在客人在房间的情况下，居然开门查什么东西。', '短评打分': 1}
{'短评内容': '新开张酒店，有点混乱\n酒店服务不错，但是硬件完全不行。停车、淋浴、马桶、空调统统有问题，连最小的门吸都是坏的，实在无语\n自助早餐品种不多，不过胜在质量还不错；餐厅点的餐还不错\n绍兴本身就不大，所以地理位置也还行，去市中心景点都蛮方便的\n', '短评打分': 5}
