{'短评内容': '设施一般。', '短评打分': 4}
{'短评内容': '一般。', '短评打分': 4}
{'短评内容': '一般情况，价格不如不用携程订便宜', '短评打分': 3}
{'短评内容': '唉，尽管服务员已经提前告知是小窗户，而且没有空调，还是有点儿失望。小窗户也行，但是根本打不开。电话机也没有。掀开被子，入眼有3根毛发，而且长短不一，怀疑根本没有换床单。没办法，太晚了，不想折腾到别的酒店了，加钱换了房间。', '短评打分': 3}
{'短评内容': '位置不错，干净整洁', '短评打分': 5}
{'短评内容': '很漂亮！！满意！！！服务好，下次还来！！', '短评打分': 5}
{'短评内容': '环境很好，住的舒心', '短评打分': 5}
{'短评内容': '好久前住的，应该是去附近参加活动住的。记忆中还不错吧。', '短评打分': 4}
{'短评内容': '环境极差。还没有暖气。', '短评打分': 1}
{'短评内容': '位置好，出行方便，服务到位，早餐丰富，值得一用、值得一住。嗯不错的很好很棒。', '短评打分': 5}
{'短评内容': '服务，环境都很好。这个地方确实不错，下次再来还用软件定这里 设施比较好，安静，服务态度好，值得推荐', '短评打分': 5}
{'短评内容': '服务，环境都很好。这个地方确实不错，下次再来还用软件定这里。推荐，值得一用、值得一住。嗯不错的很好很棒。', '短评打分': 5}
{'短评内容': '很一般，还没优惠', '短评打分': 3}
{'短评内容': '这就是水龙头出来的黑水！Wi-Fi网络也不好！太特么坑了！', '短评打分': 1}
{'短评内容': '很一般', '短评打分': 3}
{'短评内容': '酒店靠近沈阳音乐学院，环境优美，设施齐全', '短评打分': 5}
{'短评内容': '很干净，设施也比较齐全，很满意。', '短评打分': 5}
{'短评内容': '房间干净，环境不错。', '短评打分': 3}
{'短评内容': '房间还可以', '短评打分': 3}
{'短评内容': ' 不错，干净整洁。', '短评打分': 3}
{'短评内容': '装修很新，设施齐全，买电子产品或就医都很方便', '短评打分': 3}
{'短评内容': '卫生设施还都可以，但是屋子里暖气不好使，冷得要命，没办法，只好找前台加被，还是冷的不行，所有的好感一下都没了！', '短评打分': 2}
