{'短评内容': '就那样吧', '短评打分': 5}
{'短评内容': '毕业之后每次去合肥办事都住这 去商场吃饭很方便 离办事的地方也很近 环境很好很干净 挺满意的 偶尔碰到前台自己业务不熟还要跟我怼非说我订的房要多给10块钱 这种时候还是挺火的', '短评打分': 5}
{'短评内容': '位置不错。                                                                             ', '短评打分': 5}
{'短评内容': '很棒', '短评打分': 5}
{'短评内容': '新装修，没什么味道', '短评打分': 4}
{'短评内容': '嘻嘻，好评', '短评打分': 5}
{'短评内容': '房间没抽抽纸巾，有个门型的挂衣架不错，有洗衣粉，店内有洗衣服务，不好的一点就是隔音太差，保洁在门口弄个垃圾袋房间里都听的清清楚楚，没网线，wifi速度比较慢', '短评打分': 4}
{'短评内容': '酒店前台的咖啡吧很不错，客服人员也很热情～自主早餐也不贵，18一位，准备早上去喝喝看他们家的咖啡☕️', '短评打分': 5}
{'短评内容': '酒店环境还不错，各项设施比较完备', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '位置不错床很舒服很不错的', '短评打分': 5}
{'短评内容': '6666', '短评打分': 5}
{'短评内容': '6666', '短评打分': 5}
{'短评内容': '6666666666666', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '就是房间没有梳子', '短评打分': 5}
{'短评内容': '很方便，正方便我要去的地方', '短评打分': 5}
{'短评内容': '非常好，出来旅游的，非常满意。非常干净，力挺！', '短评打分': 5}
{'短评内容': '过了是为了拍婚纱照的！国购广场对面，环境非常好！', '短评打分': 5}
{'短评内容': '不错，每次女朋友都选这家', '短评打分': 5}
{'短评内容': '挺好 环境也不错 就是隔音差了点', '短评打分': 5}
{'短评内容': '汉庭的标准酒店', '短评打分': 5}
{'短评内容': '闹中取静   清爽干净  不错的选择', '短评打分': 5}
{'短评内容': '环境很不错，附近购物非常方便，很好', '短评打分': 5}
{'短评内容': '下雨借伞都没有，强制推销让我买一把。里面各方面评价一般不好不坏', '短评打分': 2}
{'短评内容': '老公说不错，特价的····', '短评打分': 4}
{'短评内容': '酒店不错，下次还会住这里。酒店不错，下次还会住这里。酒店不错，下次还会住这里。酒店不错，下次还会住这里。酒店不错，下次还会住这里。', '短评打分': 5}
{'短评内容': '不错，就是消费券没有用上', '短评打分': 3}
{'短评内容': '还不错，呵呵 价格上如果再便宜一点就好了！ 周边还是挺繁华的', '短评打分': 5}
{'短评内容': '交通方便', '短评打分': 3}
{'短评内容': '卫生不错', '短评打分': 3}
{'短评内容': '交通便利，房间开阔宽敞、干净卫生，部分房间空调效果不佳，在堂偏小。', '短评打分': 5}
{'短评内容': '还行吧。还算干净。不过高级大床房貌似不怎么样啊。', '短评打分': 5}
{'短评内容': ' 挺好的酒店,服务和设施都不错,在繁华地段,各种方便,价格还不贵', '短评打分': 3}
{'短评内容': '服务态度很好，就是免费的饮料，没能经常查看需不需加加料，应改进。', '短评打分': 5}
{'短评内容': '位置还可以，大床房的床很大，估计是住客比较多，前台服务不是很好，还比不上打扫卫生的阿姨', '短评打分': 5}
{'短评内容': '很干净！服务态度也好！', '短评打分': 3}
{'短评内容': '干净卫生，但房间隔音太差。', '短评打分': 3}
{'短评内容': '＋卫生条件相当好', '短评打分': 3}
{'短评内容': '特价房很容易订到，服务态度不错，离公司很近。好评。', '短评打分': 5}
{'短评内容': '务很周到 特价房两晚才308元 而且空间足够 采光通风很好 床铺也很干净 总之就是超值啦 唯一的问题就是酒店的停车场是借用后面小区的车位 车位量不是很足够 来之前要确定好 不然附近都没有停车场\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '怎么入住的价格和网上的价格不一致', '短评打分': 3}
{'短评内容': '地段好，周边的娱乐比较丰富，网速快，房间干净', '短评打分': 5}
{'短评内容': '建议大家千万别定他们的特价房，肯定是靠马路的房间，而且基本无隔音。晚上能睡着？ 除非你是聋子！ 其他非特价的房间我就不知道情况了。不过按照我的理解，特价房一般都是用来促销/打广告的，如果特价房都能这样，可见他们对消费者心理的了解？！', '短评打分': 1}
{'短评内容': '酒店位置很好，房间也很干净卫生，空间够大，总体感觉非常不错', '短评打分': 5}
{'短评内容': '房间很整洁，设施齐全，就是临着长江路，有点吵闹，不过靠着三里，很热闹', '短评打分': 3}
{'短评内容': '房间干净，价格实惠，总体不错！', '短评打分': 3}
