{'短评内容': '一般般，。', '短评打分': 3}
{'短评内容': '一般，五星级不能达到，停车场方便，位置也很好，就是有点旧旧的感觉，早餐不够丰富，不能达到五星级酒店那种水平。', '短评打分': 5}
{'短评内容': '各方面都还不错！', '短评打分': 5}
{'短评内容': '一般般，不值这个价。酒店用品看起来用了很长时间，很旧，毛巾都不敢用，进去房间床上很潮湿。餐厅真是无法言语', '短评打分': 3}
{'短评内容': '交通便利、设施有点陈旧', '短评打分': 4}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '商务出差还是很不错的。就是WIFI不太给力。', '短评打分': 4}
{'短评内容': '出行方便，路边有停车线，不错。', '短评打分': 5}
{'短评内容': '房间很大，交通方便，出差住宿很好', '短评打分': 4}
{'短评内容': '蛮好', '短评打分': 4}
{'短评内容': '性价比还可以', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '正常的酒店，一般', '短评打分': 4}
{'短评内容': '一般的酒店，没什么突出的地方，还行吧', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '酒店刚翻新，以236的价位来说算是中规中矩，设施也相当齐全，热水网络都24小时，前台服务也相当不错，基本有求必应。\n地理位置比较优越，离青羊宫，杜蒲草堂，武侯祠等景点就是步行15-20分钟左右的行程～锦里和文殊院大概打车15块左右。周边小吃众多，晚上有烧烤，对门右手边是高级会所。。。你们明白的。\n唯一的缺点是，酒店翻新似乎没考虑到地毯问题，比较老旧有烟烫乌黑的痕迹，要注意了。', '短评打分': 5}
