{'短评内容': '！！？？？？！？？？？？！！！', '短评打分': 5}
{'短评内容': '不错不错', '短评打分': 4}
{'短评内容': '没早餐', '短评打分': 5}
{'短评内容': '大小还不错，挺安静的，就是很简单的酒店', '短评打分': 4}
{'短评内容': '酒店设施太老旧，但环境不错，有大花园，空气好!打扫卫生不太用心，服务意识都没有啊！价格在杭州还是不错的。', '短评打分': 4}
{'短评内容': '价格非常非常的实惠。在广州番禺这边，环境设施皆不错，价格又相对便宜的，应该不会太多，嘉诚绝对是其中之一。旁边的几家设施相对要差不少，价格有的还高。绝对首选。', '短评打分': 5}
{'短评内容': '床垫睡得挺舒服的 空调也强 洗手间空间也大', '短评打分': 5}
{'短评内容': '为了陪父亲看病不赶路订的房间，进去吓了一跳，简配加简配，房子老旧，发霉，床和洗澡如厕之间就隔了一个浴帘，蚊子超多，打死了七八只，床垫还软，唯一可以称赞的是热水很大很舒服，价格是很便宜，适合暂时寄宿一下。', '短评打分': 3}
{'短评内容': '差', '短评打分': 1}
{'短评内容': '各方面对于出差的我还是比较满意的，性价比高', '短评打分': 5}
{'短评内容': '很好，不错', '短评打分': 5}
{'短评内容': '没有免费的饮用水，房间十分老旧，和照片不太符合，但前台的服务还可以', '短评打分': 3}
{'短评内容': '房间很臭', '短评打分': 3}
{'短评内容': '周围环境不怎么样，在一个军区疗养院里面，房间很脏', '短评打分': 2}
{'短评内容': '地方其实好找，就在长乐路上，酒店服务不错', '短评打分': 4}
{'短评内容': '开放式 真的是开放 感觉像是住在卫生间??', '短评打分': 5}
{'短评内容': '位置3分/一般  设施3分/一般  服务3分/一般  ', '短评打分': 3}
