{'短评内容': '缺少注意事项提', '短评打分': 5}
{'短评内容': '怎么说呢房子够大，厨房连锅碗瓢盆都有，就是没有洗头水沐浴液，空调开到19度跟没开一样，全靠心静自然凉！但是没有洗头水靠啥我就不知道了，反正大写的服', '短评打分': 3}
{'短评内容': '房间很干净，设施比较好', '短评打分': 5}
{'短评内容': '位置不错', '短评打分': 4}
{'短评内容': '装修偏老旧酒店式公寓，适合家庭型出游，可自己做些吃的。对商务客来讲最大的好处：地处陆家嘴中心，周边都是银行，东方明珠和几大地标都很近', '短评打分': 4}
{'短评内容': '服务周到，房型也好也精致下次去了还住这里', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '地理位置绝对赞。缺点是设施电器有点老了', '短评打分': 5}
{'短评内容': '每次客人来都定这里，因为很方便，主要是交通便利，离公司比较近，适合商务出差。卫生环境好，设施也不错！', '短评打分': 5}
{'短评内容': '每次客人来都定这里，因为很方便，主要是交通便利，离公司比较近，适合商务出差。卫生环境好，设施也不错！', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '套房，有独立的厨房、客厅、卧室。非常宽敞，餐具、洗衣机、微波炉等一应俱全。', '短评打分': 5}
{'短评内容': '房间够大，但是装修比较老旧了。值得表扬的是有厨房用具可以做饭。但是房价略高。这个价格都可以住五星级酒店了', '短评打分': 3}
{'短评内容': '总体来说很温馨，而且服务员很好，很用心帮我们安排去机场的车。在陆家嘴寸土寸金的地方，价格也过得去。', '短评打分': 5}
{'短评内容': '贵而不实，不推荐，里面环境差。', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '服务人员的服务很好，热情而周到，给人宾至如归的温暖。房间宽大舒适，景观漂亮，性价比很好，是来上海的好住处。只是早餐太差了，馒头是用微波炉热的，结果变硬嚼不动。其他菜点也有待改进。', '短评打分': 5}
{'短评内容': '地处陆家嘴，699元价格不贵，可惜装修真的很一般，家具也很一般，空调不行，卧室和客厅连在一起，客厅有电视机，卧室没有，床头柜只有一个。建议入住客人先看房后登记。', '短评打分': 1}
{'短评内容': 'Very spacious and convenient to LuJiaZui. However the place lacks basic amenities. Only saving grace is that there is a 24 hr conveninent store nearby.', '短评打分': 5}
{'短评内容': '非常不错的酒店。地处陆家嘴CBD，去周边的银行、电信等都异常方便，步行可达。房间设施一应俱全，还能过日子呢。那天去得晚了，没找对地方，打过电话以后很快就派人来接——香车美女，真的是香车美女，红色的MINI COPER，黑色制服美女。天哪，下回还晚到，还找不着地方，还要香车美女。', '短评打分': 5}
{'短评内容': '地段比较方便，不过门牌标示在浦东大道上，其实在浦东大道上并没有而要到后面一条路上。房间设施还算不错，早餐口味也行，不过给我上的上海大馄饨菜单上标的是一碗8个，结果上来的只有6个，少了25%，短斤少两太严重了！！！', '短评打分': 5}
{'短评内容': 'Home Feeling, but a little bit far away from Subway, need to take taxi.\nthe Front desk are good. but decor a little bit old.', '短评打分': 5}
{'短评内容': '酒店周边坏境不错，房间也很大，适合一家老小住。停车要另外交费，收费人员态度恶劣，住了两晚，交了两晚停车费，第三天早上八点离店，居然还要交停车费，匪夷所思！', '短评打分': 5}
{'短评内容': '已经是第二次入住！喜欢酒店式公寓的感觉，就像回到家里一样。地方很安静，床和枕头睡起来都很舒服', '短评打分': 5}
{'短评内容': ' 客房有家的感觉 宽大明亮 处于繁华地位但很安静 价钱要是再便宜些就好了 总体感觉不错', '短评打分': 3}
{'短评内容': '酒店一切都很好，硬件设施和配套设施都很齐全，服务卫生也很到位，出行也挺方便，下次还愿意来住。', '短评打分': 5}
{'短评内容': '房间很大，有的还带阳台，这样可以看看外边风景，通风也很好，设施上很齐全，洗漱用品也很齐全，用着很方便。', '短评打分': 5}
{'短评内容': '卫生很到位，每天都有人及时打扫，房有宽敞又明亮，设施也挺齐全，服务人员也挺客气的，住的挺温馨挺舒适。', '短评打分': 5}
{'短评内容': '服务意识很强，办事效率挺快，游泳、健身等配套设施也挺齐全，位置也挺好，出行挺方便的。', '短评打分': 5}
{'短评内容': '我觉得酒店档次很高，服务卫生都是一流的，硬件设施也不错，值得推荐。', '短评打分': 5}
{'短评内容': '服务上很细心很周到，硬件设施很齐全，卫生也很到位，餐厅的饭菜也挺可口的，感觉真的很棒。', '短评打分': 5}
{'短评内容': '家庭化，冰箱、洗衣机、微波炉都有，房间很大很舒适，卫生打扫也很好，这次住的很舒适。', '短评打分': 5}
{'短评内容': '价格挺合适，位置挺好找，周边交通购物很便利，设施齐全，干净卫生，总体感觉很不错。', '短评打分': 5}
{'短评内容': '服务上挺周到的，房间挺大，落地式的大窗户，采光也很好，电视空调冰箱都有，卫生也不错，住的挺舒适。', '短评打分': 5}
{'短评内容': '房间很大很宽敞，生活用品和设施都很齐全，看上去质量也不错，用的挺顺手的。', '短评打分': 5}
