{'descr': ' 比较一般，服务差', 'star': 3}
{'descr': '太吵了，而且我到居然还没有房间，不高兴然后又说要等打扫，最起码是不太介意客户的！', 'star': 1}
{'descr': '效率很好服务态度也好', 'star': 3}
{'descr': '很吵。因对面是KTV,附近都是酒吧，酒店又不是很干净。', 'star': 3}
{'descr': '还算蛮干净的 就是那里酒吧比较多 晚上多少会有点吵 还有电视机实在是太古老了 没有无线网络 总体住的还是可以的 ', 'star': 5}
{'descr': '房间有点点小 早餐还可以 周围有很多夜店。。各种KTV 夜总会 有这方面需求的可以考虑下', 'star': 5}
{'descr': '酒店很破，一股霉味，不如快捷酒店好。离火车站比较近，交通便利，别的没什么好的！', 'star': 1}
{'descr': '房间不错 就挺难找的，隔音不好，外面就是酒吧。半夜还有人在外面吵架。', 'star': 5}
{'descr': '还不错，服务可以！', 'star': 3}
{'descr': '这家酒店环境太吵闹，外面是酒吧街，内部晚上人太混乱，喝酒的、吵架的、骂街的的人比比皆是，强烈建议不去住这家酒店', 'star': 1}
{'descr': '入住四天，服务一般，嫌有点脏，周边是酒吧一条街比较吵，小食堂不好吃', 'star': 1}
{'descr': '一般般 在酒吧一条街上 晚上很high 各种服务都有 早餐还可以 客服不好 感觉乱乱的', 'star': 1}
{'descr': '整体感觉都还不错，感觉早餐有点简单，如果丰富点就更好了。', 'star': 5}
{'descr': '一般，不通风，空调坏了。地段还好。', 'star': 3}
{'descr': '离火车站比较近，去市中心也很方便，出酒店就有汽车站。服务态度尚可，房间也蛮干净，只是我订的是188元的三人房间，可给我们的房间里只有二人用的洗漱用品。由于附近有几家KTV房，所以晚上景色很美但也较噪。', 'star': 5}
{'descr': '酒店挺大众化的，价格也挺实惠，服务上挺周到，设施也挺齐全，住的挺满意。', 'star': 5}
{'descr': '服务上挺周到，卫生不错，床单被子都挺干净，位置也挺好，出行也挺方便的。', 'star': 5}
{'descr': '房间不是很大，卫生还好，电视空调等设施都有，总体感觉还不错。停车也还成，有自己的地下停车库。', 'star': 5}
{'descr': '房间大小正好，打扫也很干净，设施挺齐全，早餐方面也挺好的。', 'star': 5}
{'descr': '房间以白色为主，感觉挺整洁挺清爽，基本设施都有，服务上也挺好，住的挺满意。', 'star': 5}
{'descr': '卫生挺到位，房间收拾的干净整洁，设施也不错，网速也挺快的，周边交通也挺便利的。', 'star': 5}
{'descr': '位置挺好，娱乐购物交通都挺方便的，价格也不贵，服务卫生都挺好，值得推荐。', 'star': 5}
{'descr': '酒店设计的挺现代化的，卫生很好，硬件设施也挺齐全，住起来挺舒适。', 'star': 5}
{'descr': '位置不错，离火车站挺近，交通挺便利。环境也挺好，挺干净挺舒适。', 'star': 5}
{'descr': '环境挺好，出行挺方便，服务卫生也不错，房间布局也挺合理，设施挺齐全挺实用，价格也不贵。', 'star': 5}
