{'descr': '夏天去没有纱窗，有蚊子', 'star': 3}
{'descr': '这家酒店(招待所)真棒啊，地毯很豪华(   )，卫生间很干净(      )，……(以上省略n字，大家自己体会吧)', 'star': 1}
{'descr': '第一次住那么垃圾的酒店 地摊脏兮兮 拖鞋 被单像没清理过的一样 而且在厕所还看到了蜘蛛网 最不能忍受的是 老板对客人的态度 她吵起来的声音 整栋楼都听得到', 'star': 1}
{'descr': '房间有点旧了，很多设施不是特别好，最重要的一点是……蚊子好多。其他还好吧……', 'star': 4}
{'descr': '房间还干净，老板挺热情，就是蚊子多', 'star': 4}
{'descr': '接待的阿姨叔叔们态度很好实在不忍心给差评 我在携程定的酒店 300多  说实话经常出差  不是十一没房真的不回去。里面阴森森的 根本就是个小旅馆。而且拖鞋啊 不是一次性的 床硬的要死。旁边还是个修车的还是啥。环境很不好', 'star': 3}
{'descr': '距离皮研所较近的一家酒店，老人步行3-400米很方便，周边餐饮很方便，选择余地很多。停车场很大，有专人看护，安全。', 'star': 4}
{'descr': '环境真是特别差，虽说是国考这天入住的，价钱贵也就忍了，一共318一晚。结果还来个空调都是坏的，想换间房，居然告诉我满房了，可我直接上网搜却显示可以订得到房，我真怀疑这间房是剩下的烂房，还318一晚，真是太不值了，强烈建议来此附近的不要入住这一家酒店，不然包你后悔。', 'star': 1}
{'descr': '环境挺好的，房间也大，床也大', 'star': 5}
{'descr': '一般', 'star': 3}
{'descr': '都还不错', 'star': 4}
