{'短评内容': '很不错，经常住，价格合适', '短评打分': 5}
{'短评内容': '酒店在小区内，不太好找。为了办事近、也没得选了', '短评打分': 3}
{'短评内容': '离高速特别近，过路时住的，装修不错', '短评打分': 5}
{'短评内容': '很好，住着很舒适，安静，', '短评打分': 3}
{'短评内容': '安静，环境很好，就是没有WIFI', '短评打分': 3}
{'短评内容': '总体还行吧！在小区里边不是太好找，交通不是很方便，最近的公交车站要走好远才能到，没有暖气，空调开了吵的睡不着，不开冷的睡不着，最最关键没有wifi', '短评打分': 5}
{'短评内容': '不错，房间挺大，卫生也挺好，唯一美中不足的是没有无线', '短评打分': 5}
{'短评内容': '不错，就是住的那天停电有点恼火，希望下次改进', '短评打分': 5}
{'短评内容': '酒店客房不错，大、舒适，去机场、上高速很方便。', '短评打分': 4}
{'短评内容': '，一直住长长长，服务和环境都很好。以后会月月来，月月住的。', '短评打分': 3}
{'短评内容': '干净 舒适 安静 但是洗澡水有点凉', '短评打分': 3}
{'短评内容': '服务质量很好，C座位于小区内，室内干净整洁，采光很好，很温馨！赞一个，下次还来住。', '短评打分': 3}
{'短评内容': '舒适，安静，c座在所住的小区内，适合招待朋友', '短评打分': 5}
{'短评内容': '酒店内部环境设施都还算是可以了，总体感觉实在是太一般般了', '短评打分': 5}
{'短评内容': '优点：位置在青银高速出入口附近，方便；房间设施较新，卫生条件较好。\n缺点：服务员的服务态度一般，不是很好；C座停车居然还要收费，并且位置不容易找。', '短评打分': 5}
{'短评内容': '帮同事出差订的，住宿后反应还不错，各项设施都标准还行，睡的也舒适，下次还会选择。', '短评打分': 5}
{'短评内容': '酒店设施很新，房间很宽敞，周边购物消费都很方便。', '短评打分': 5}
{'短评内容': '酒店不错，在石油城里面，比较安静，设施也好，推荐。', '短评打分': 5}
{'短评内容': '我们住C座，找了好一会儿。房间比较大，很新，很干净。', '短评打分': 5}
{'短评内容': '各种硬件设施都可以，属于下次还想住的地方，美中不足，几个座离太远', '短评打分': 5}
{'短评内容': '环境优雅舒适，房间内干净整洁。\n价格比较实惠，值得推荐！', '短评打分': 5}
{'短评内容': '环境优雅，房间干净舒适！价格相对比较实惠，值得推荐！', '短评打分': 5}
{'短评内容': '地方比较幽静。。。\n装修的还行，吃的也算一般', '短评打分': 5}
{'短评内容': '环境和服务都很好，就是早餐不到八点半就什么都没的吃了，比较郁闷。', '短评打分': 3}
{'短评内容': '酒店周边环境很好，去机场非常方便，房间够4星标准啦!而且很便宜，就是大堂有点小。', '短评打分': 5}
{'短评内容': '酒店是新装修的，比较干净，但是我住的4天里，有2天停水，喝纯净水还要自己掏钱，酒店不厚道了。\n有一天在装修隔壁的房间，砸墙的声音难以忍受。\n早餐比较好，口味和品种都属于中上水平。对得起这个价格。\n酒店分ABC座，C座距离比较远，装修简单些没有地毯价格也更便宜些\n酒店硬件不错，但是软实力还有待提高。', '短评打分': 5}
{'短评内容': '在长庆石油院内，安全是第一，而且是新开的，陈设豪华。就是价钱稍贵', '短评打分': 5}
