{'短评内容': '位置好  购物方便', '短评打分': 5}
{'短评内容': '酒店不错，位置好，出行方便，房间干净整洁。', '短评打分': 5}
{'短评内容': '一般，有些难找，', '短评打分': 5}
{'短评内容': '好吧帮朋友定的', '短评打分': 5}
{'短评内容': '位置很好', '短评打分': 5}
{'短评内容': '房间太小了', '短评打分': 4}
{'短评内容': '房间挺大 但是房子里面有几只小的蟑螂 睡不着简直', '短评打分': 3}
{'短评内容': '环境不错  服务周到 下次出差还是选择这里', '短评打分': 5}
{'短评内容': '不会再来，网上订的，地理位置本来很好，方便转接购物，但是看着价格便宜，结果很失望，房间非常小，也不是很干净，反正这是第一次住，也是最后一次！', '短评打分': 2}
{'短评内容': '服务很好', '短评打分': 5}
{'短评内容': '地點還不錯，離商場很近，就是早上吵了一些，不過早上也是很早就出門了，沒啥影響', '短评打分': 4}
{'短评内容': '还行吧。就是太旧了。。。但是毕竟便宜。', '短评打分': 5}
{'短评内容': '挺实惠的', '短评打分': 4}
{'短评内容': '还行吧', '短评打分': 5}
{'短评内容': '设施感觉比较新，地处步行街中心，就是卫生间有点小，其它都不错', '短评打分': 3}
{'短评内容': '酒店位置非常好，天街正对面，吃喝玩乐、购物都很方便。但是外墙在装修，有些房间窗户关不了，换了几次才OK。', '短评打分': 3}
{'短评内容': '一般得很，将个烂就', '短评打分': 2}
{'短评内容': '还行吧，交通方便，出去就是观音桥', '短评打分': 5}
