{'descr': '还可以吧', 'star': 4}
{'descr': '环境不错', 'star': 5}
{'descr': '不错的，常住的地方', 'star': 5}
{'descr': '非常好的服务！', 'star': 5}
{'descr': '酒店服务非常好！', 'star': 5}
{'descr': '主要是停车方便，房间比较旧了，不过还是保持一贯锦江之星的规范', 'star': 5}
{'descr': '运河边，古岸旁。千年文化积淀，第二次入住了。', 'star': 5}
{'descr': '哈哈哈哈哈哈，没住取消了', 'star': 5}
{'descr': '很不错的酒店，就是有点旧，好像是如家改的', 'star': 5}
{'descr': '第二次住这个牌子的酒店！环境没有话说！但有些地方需要改进，没有洗澡穿的拖鞋，这是到硬伤！希望越做越好！', 'star': 5}
{'descr': '环境不错，服务态度好，还可以负责叫车，一人可以在房间吃饭，只是送上楼要送餐费的。', 'star': 4}
{'descr': '就在锡惠公园对面，过桥就是。公交站也比较近，就是周围没有饮食店，吃东西有点麻烦。', 'star': 5}
{'descr': '停车方便 周边环境很不错', 'star': 5}
{'descr': '运河旁，第二天一早步行穿过大桥去惠山古镇，早上的古镇好。想去古镇的朋友可以住这', 'star': 5}
{'descr': '几年前来无锡出差住过这里，几年都没怎么变，服务是唯一的亮点了', 'star': 3}
{'descr': '酒店位置在锡惠公园附近，很方便。卫生间太小，显拥挤！', 'star': 4}
{'descr': '还不错，挺安静！', 'star': 5}
{'descr': '位置很好，窗外就是大运河，很美。', 'star': 3}
{'descr': '紧邻大运河环境还可以  吃饭停车都挺方便   就是觉得价格稍微有点贵', 'star': 5}
{'descr': '价格比较合适，服务态度比较好，靠近京杭大运河，喜水的比较好，位置还不错。', 'star': 5}
{'descr': '位置还行，比较安静，运河边，服务不错，但房间一般，两张床不一样大，卫生间更是小的可怜，男人小便得要两只手全用上（其中一只手扶着马桶盖，要不然会掉下）', 'star': 5}
{'descr': '环境挺好的,可以看到运河.', 'star': 3}
{'descr': '这家酒店位置还是不错的！走到中山路最繁华的地方，也就半小时。不过自驾游的同学注意了，运河东路和运河西路是两条平行的道路，我们跟着GPS开了半天才开到。', 'star': 5}
{'descr': '还不错，就是空调的安装位置我觉得不行！还有卫生间太滑，年纪大的很危险！', 'star': 5}
{'descr': '环境很不错，干净、安静，有机会会再次考虑入住，会推荐给朋友', 'star': 5}
{'descr': '设施老了点 其他方面还不错 餐厅挺方便的！', 'star': 5}
{'descr': '服务员比较热情，缺点就是总推销他们那个会员卡。', 'star': 5}
{'descr': '总体和前面网友说得差不多，不过那些优惠都没有了。早餐也涨价到了18元。整体条件还不错，如果在无锡入住经济型酒店的话，这里是最佳选择之一。酒店院内有一家外婆人家餐厅，非常赞。', 'star': 5}
{'descr': '天气很热，CHECK IN 的时候送上的那杯橙汁感觉很好。房间中规中矩，窗外看到运河的夜景，不错。', 'star': 5}
{'descr': '很不错的酒 店，是我住 的锦江之星里面最好的吧，以后会再次入住 。', 'star': 5}
{'descr': '很好，满意。房间一个大床，一个小床，很人性化，房间很干净。可以停车，自驾游很方便。', 'star': 5}
{'descr': '相对来说比较便利，就是配置相对简单\n五一期间我订的是最后一间房', 'star': 5}
{'descr': '吾己顺利入住,房间还可以,一大床一小床很适合一家三口。卫生间太小,电视太老。', 'star': 3}
{'descr': '酒店还是不错的，市口也不错，服务也好。总得来讲，性价比较优，下次会继续订的～～', 'star': 5}
{'descr': '蛮好的，真的很干净，是住过的比较好的酒店，服务也热情。窗外就是美景，不错不错。', 'star': 5}
{'descr': '地段不错，环境也不错，性价比较高，以后继续会去住的。', 'star': 5}
{'descr': '服务挺好，房间干净，标房的床一大一小想的挺周到。就是房间小了点，特别是卫生间太小。', 'star': 5}
{'descr': '从房间窗户可以看到惠山，夜景挺不错。最近的公交站点到酒店大概步行2，3分钟左右，但是线路和车次貌似不是很多。不过酒店门口是主干道，打车还算方便。', 'star': 3}
{'descr': '环境不错，里面服务态度也很好酒店的管理方面很不错的，餐厅的餐饮也是非常好非常适合出差和旅游的去而且价格也不贵，位置虽然不在闹市区但是周围的环境挺不错的就是在运河边上，性价比确实挺高的。', 'star': 5}
{'descr': '非常好，态度好，卫生好，服务好', 'star': 3}
{'descr': '环境不错，房间设施也不错，比较整洁', 'star': 5}
{'descr': '下次还会入住', 'star': 3}
