{'短评内容': '九华山一直住她家 停车方便 出行方便', '短评打分': 5}
{'短评内容': '女老板很热情，免费开车从九华街接送。', '短评打分': 5}
{'短评内容': '不错的选择，老板导游讲解到位，服务态度超好，菜烧的好吃，下次再选择此家！', '短评打分': 5}
{'短评内容': '很安静，离主要景点区很近。', '短评打分': 5}
{'短评内容': '早餐吃的地方蛮多的，上面电力公司附近就有两家，中晚餐在住宿地和九华街吃都行，菜单价格都差不多，九华街吃的话要找老板要优惠，比如总价给个折扣之类的。住宿环境可以，带了老人小孩的最好进了迎仙桥验票口后叫老板接一下，有一段上坡路，体力好愿意走路的开地图跟着走就行。游玩有景区公交车，去天台寺索道一定要坐公交车带有投币器的，拿50通票可坐，景点到站停车，要提前讲，去天台寺索道叫，天台索道站，有不明白可以问志', '短评打分': 5}
{'短评内容': '出行方便有接送还不错', '短评打分': 5}
{'短评内容': '還可以，住著不錯', '短评打分': 4}
{'短评内容': '干净，清爽。比我想象的好，以后还来住此。要是做的农家饭就更好了。', '短评打分': 5}
{'短评内容': '今天下午我们开车来到九华山，店主一早在入口处等我们，把我们带到酒店。标间双床，很干净有暖气，很舒服。店主一家人很热心，帮忙介绍景点，还有旅游图，晚上还煮饭菜我们食，还请我们饮了他们自泡的黄精酒，我们住得好开心还继住了一晚，真心感谢店主，特别感谢店主父母的热情款待。', '短评打分': 5}
{'短评内容': '昨天下午我们开车来到九华山，店主一早在入口处等我们，把我们带到酒店。标间双床，很干净有暖气，很舒服。店主一家人很热心，帮忙介绍景点，还有旅游图，晚上还煮饭菜我们食，还请我们饮了他们自泡的黄精酒，我们住得好开心还继住了一晚，真心感谢店主，特别感谢店主父母的热情款待。', '短评打分': 5}
{'短评内容': '还未回京，还在路上，点评晚了，不好意思。非常感谢老板娘及家人细心周到的帮助，因独自旅行，兴奋的同时，也有点忐忑，特别是九华山一站，没想到店主很热情，很体贴，一早就来接我，并自绘了详细的地图给我并耐心讲解，住宿房间设施以及饭菜服务令我非常满意，店主一家人很和蔼热情，饭菜的零头都免了。因我的行程一变再变，那天走的又早，店主在自己已有安排的情况下，还能一大早用自家车把我送到公交车站，让我没有后顾之忧，令', '短评打分': 5}
{'短评内容': '很庆幸选了这家店，环境很好，服务态度也好，山上雾大，开车接也开车送，真心赞，由于吃素，老板母亲做的素面，以后后面烧香拜佛后，又煮的鸡蛋面，真好吃，且非常便宜，天气冷冷的，吃这样一碗热汤面，真是暖暖人情热心头，还有朋友来，强烈推荐', '短评打分': 5}
{'短评内容': '酒店很干净，叔叔阿姨烧菜超好吃，下次还定这家', '短评打分': 5}
{'短评内容': '位置較偏，但老闆娘的接送彌補了這缺點。房間乾淨、衛生，整體值得推薦！美中不足的是，晚飯點了最便宜的二菜一湯45元的素菜（好吃），外加兩碗飯…我沒問飯的價錢，結帳時問價錢，老闆卻回答：就給50好了。', '短评打分': 4}
{'短评内容': '老闆及家人都很好，車接車送，手機丟失還幫忙尋找，很熱心。飯菜質量很好，而且價格不貴。下次有機會還會入住。', '短评打分': 5}
{'短评内容': '免费亲自接送，房间设施齐全，有热水空调电视，和家的感觉一样，态度超好非常值得推荐。下次去还住你家', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
