{'短评内容': '非常棒的房间', '短评打分': 5}
{'短评内容': '干净舒适，位置不错，位于生活区交通方便', '短评打分': 5}
{'短评内容': '很好，很安静！', '短评打分': 5}
{'短评内容': '地方很好，与地铁近，到各个景点也近', '短评打分': 5}
{'短评内容': '很不错，干净，服务好，距离景点也比较近，交通方便。', '短评打分': 5}
{'短评内容': '还不错啦，就是位置偏一点', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境不错 交通也方便', '短评打分': 5}
{'短评内容': '方便快捷，附近不二之选', '短评打分': 5}
{'短评内容': '设施不错，交通方便', '短评打分': 5}
{'短评内容': '达标的一般连锁酒店水平。离地铁站挺近，楼下有超市，附近餐饮也多，挺方便。', '短评打分': 3}
{'短评内容': '我都懒得照相了 沐浴露不能挤 还要把盒子掰开自己倒 前台说 携程来的客户 不能享受延迟到一点退房 办卡都不行 携程你们好好管理一下 差评', '短评打分': 2}
{'短评内容': '很满意，设施齐全，服务周到', '短评打分': 5}
{'短评内容': '还不错。就是一把梳子或浴帽也没有', '短评打分': 4}
{'短评内容': '朋友很满意，离南站近来去方便', '短评打分': 5}
