{'短评内容': '呵呵！', '短评打分': 1}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '因为大长假的原因，葫芦岛酒店全满，临时入住这家酒店。卫生和设施较差，路口大货车夜里川流不断噪音很大。总之价高值次。', '短评打分': 2}
{'短评内容': '这酒店真差劲，被图片所骗了，环境很差，不值这么多房费，下水道还堵了，后悔死我了，住这么差个地方，心情也不好', '短评打分': 1}
{'短评内容': '早餐太差，环境太差，十一期间房份翻了一倍，不靠谱。', '短评打分': 3}
{'短评内容': '携程订的，开发票不是我支付的价钱', '短评打分': 5}
{'短评内容': '离朋友家近 出行方便', '短评打分': 4}
{'短评内容': '好好 好好', '短评打分': 5}
{'短评内容': '性价比还可以', '短评打分': 4}
{'短评内容': '环境好，地理位置方便，离客运站近，还有玉皇小商品城。吃住方便，早餐也不错。很值得一住。周边比较安静，服务员服务好。', '短评打分': 5}
{'短评内容': '地理位置好，环境好。服务业很好，还有早餐，还不错。这里离客运站比较近，很方便。周边还有小商品城，吃的也很多。', '短评打分': 5}
{'短评内容': '位置相对偏僻，自己开车相对方便。', '短评打分': 3}
{'短评内容': '一般般吧', '短评打分': 3}
{'短评内容': '还不错啊', '短评打分': 5}
{'短评内容': '环境不错～干净～空间大～舒适', '短评打分': 3}
{'短评内容': '还好了', '短评打分': 5}
{'短评内容': '酒店本身干净，房间布置好，环境好。交通方便，去海边和购物都方便。', '短评打分': 5}
{'短评内容': '酒店干净，服务好，房间条件好。交通方便，购物游玩都方便。', '短评打分': 5}
{'短评内容': '7月23日住的该酒店，预定了2个标间，从北京第一次到葫芦岛，因对葫芦岛的道路不熟，到葫芦岛后打了3次电话，才问道酒店的准确地址，酒店本身的房间没有问题，是新装修的，标间内面积也还好，就是酒店管理上有不满意的地方，走廊内黑暗，一看是很多走廊灯没装灯泡，也许是为了节电吧，但是对客人有不尊重的地方，走廊暗的地方看房间号码都看不清，酒店地处一个大的十字路口，大货车很多，很脏的，窗户朝向马路后早晨非常吵，而', '短评打分': 1}
{'短评内容': '服务很好，离海边也不远，酒店环境也很好！真心的好评！', '短评打分': 5}
{'短评内容': '酒店很干净,服务也不错,房间床挺大的,空调很给力.下次如果去葫芦岛,还会入住.', '短评打分': 5}
{'短评内容': '酒店住宿环境比较干净，设施较新，自助早餐很简单但可以吃饱，就是有些服务员态度比较冷漠', '短评打分': 5}
{'短评内容': '干净，离313龙湾海滩打车不远。就是有的房间空调不太给力。有的房间下水不太给力。因为订了三间房，所以就把我们遇到的情况都说了一下。还好宾馆前台帮忙换了一间空调给力的，可能不是很情愿吧。。。下水不给力的那间没有换。总体说还不错。早餐也不错', '短评打分': 5}
{'短评内容': '硬件条件不错，很新，圆床房房间很大，就是房间有点味道；推荐入住', '短评打分': 5}
{'短评内容': '地理位置很优越，特别好找，服务质量偏差。大堂经理更差。', '短评打分': 5}
{'短评内容': '房间还行，服务到位，早点丰富，只是周围尤其是楼后是物流站大卡车太多噪音大点。', '短评打分': 3}
