{'短评内容': '看图片还行帮上级领导订的', '短评打分': 4}
{'短评内容': '房间比较大但是设施陈旧，房间信号非常差，本身没有WiFi，登记入住的时候没有提醒，后来打通电话问前台，可以借WiFi机，但是信号仍然不太好，离机场近，有很多空姐空少入住，早餐一般，服务一般，不会再入住第二次', '短评打分': 3}
{'短评内容': '优点。1.性价比高。很合适的价格住了二室一厅的行政套间。房间挺敞亮的。2.交通便捷。真的是出门就是地铁，没有夸张宣传。3.有很大的停车场，房间内设施也不错。缺点。1.把行政套间设计的窗户位置对着中央空调室外机？什么鬼？风景不好还有噪音！2.作为一线城市的四星级酒店服务人员有点缺乏服务的热情亲和力和职业感觉。3.健身房小就算了，只有一台跑步机，想用的话可能要排队。最要命的综合训练机坏了，早知道作为商', '短评打分': 5}
{'短评内容': '差！差！差！这个酒店简直太差了！', '短评打分': 1}
{'短评内容': '酒店还不错，之前也一直住着家', '短评打分': 5}
{'短评内容': '好。', '短评打分': 5}
{'短评内容': '都还没入住就被酒店取消了，还评价个毛线。', '短评打分': 1}
{'短评内容': '第二次住着这里了，空姐和空少很多。房间很小，早餐一般', '短评打分': 5}
{'短评内容': '很失望，靠着路边，对面就是地铁站。房间太小了，连个桌子都没有！', '短评打分': 5}
{'短评内容': '比较老了，算大气，附近在修路，交通不便里', '短评打分': 4}
{'短评内容': '一股很严重的尿味！洗发水和沐浴露都是那种很久没人检查的，没有了也不更换。住过最差得酒店！而且小的可怜！', '短评打分': 1}
{'短评内容': '差', '短评打分': 3}
{'短评内容': '酒店还可以， 地段好。 住得不错，很好。离机场很近，很方便，旁边就是地铁站。空乘人员在里面居住的很多，酒店很方便，出门左拐就是一个大街，吃的都有。', '短评打分': 4}
{'短评内容': '住得不错，很好。离机场很近，很方便，旁边就是地铁站。空乘人员在里面居住的很多，酒店很方便，出门左拐就是一个大街，吃的都有。', '短评打分': 5}
{'短评内容': '没有无线，房卡刷不了，服务太差', '短评打分': 1}
{'短评内容': '也算是常去的点 还可以', '短评打分': 4}
{'短评内容': '位于宝安大道地铁桥头站旁(在建)，酒店设施服务一般', '短评打分': 3}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '环境，设施都不错，出行也方便。下次出差还会住。', '短评打分': 4}
{'短评内容': '性价比不錯，招待客人的，客户反眏房间等很不错', '短评打分': 5}
{'短评内容': '房间很好，性价比高,环境安静,就油漆味过浓.', '短评打分': 3}
{'短评内容': '每次去深圳出差都定的这家，同事说酒店到机场打的车很少，比较不方便', '短评打分': 5}
{'短评内容': '新开的一家酒店，好像属于Best Western集团。\n豪华套房还是比较大，适合家庭，有厨房设备。', '短评打分': 5}
{'短评内容': '   酒店很好，很中国气息。', '短评打分': 3}
{'短评内容': '交通不方便，前台直接告诉你在他们酒店是打不到车的，服务、硬件、周边环境都很一般', '短评打分': 1}
{'短评内容': '338的高级大床房在深圳应该比较便宜了，位置比较偏，好在周边有很多商城（比如天虹就有2家），酒店隔音稍微差点，入住的时候发现被子有点脏，经理马上亲自解决了，空调好像不能制热，房子设计不错，蛮中式的，大堂比较威，就是刚营业有装修的气味。如果是机场周围住宿的话还是推荐在这里住，信价比比较高，前台蛮热情的。', '短评打分': 5}
{'短评内容': '位置太偏，非常不好打的士！\n前台都不会英语，带着去的两个老外晚上出门悲催了！\n离机场也不是特别近。\n网站上说有到机场的免费接送车，结果过去问说没有。', '短评打分': 1}
{'短评内容': '酒店硬件还是相当不错的，300多的房费很超值。就是地方位于工业区，周围看起来挺乱。', '短评打分': 5}
