{'短评内容': '房间不算大，还算干净，周边便利', '短评打分': 4}
{'短评内容': '我住的非常满意', '短评打分': 5}
{'短评内容': '非常适合自己', '短评打分': 5}
{'短评内容': '相当不错啊', '短评打分': 5}
{'短评内容': '酒店位置不错', '短评打分': 5}
{'短评内容': '有停车场的', '短评打分': 5}
{'短评内容': '要明天可以要明天去拜访者之书', '短评打分': 5}
{'短评内容': '还不错！非常满意！价格也便宜！', '短评打分': 5}
{'短评内容': '汽车站旁，很方便', '短评打分': 5}
{'短评内容': '不错的', '短评打分': 5}
{'短评内容': '不错吧', '短评打分': 4}
{'短评内容': '不错！环境很好价钱不贵！下次去还住这！', '短评打分': 5}
{'短评内容': '非常不错的选择，挺舒服了，这样的呢！你就不要去买的是我太久不知道是谁了！你就知道我要多加点料、是否是你的朋友', '短评打分': 5}
{'短评内容': '挺不错的选择，非常好。你在哪里！你在我心里都住着一只狗的我好吗！你不要钱不知道怎么回家了！你在哪了！你在哪一边走边吃东西了。我不知道自己在别人眼里是那么美好', '短评打分': 5}
{'短评内容': '酒店环境和服务都很好，前台服务更好', '短评打分': 5}
{'短评内容': '很好，性价比高。', '短评打分': 5}
{'短评内容': '环境好，位置好，服务很不错，满意。 提醒大家要求下离汽车站稍远的房间以及早点比较一般，不过在唐海应该是不错的宾馆了', '短评打分': 5}
{'短评内容': '棒棒哒', '短评打分': 5}
{'短评内容': '环境不错，挺干净的，办理入住也很快。', '短评打分': 5}
{'短评内容': '特价住的，屋子很大，装修也够档次，不错，下次有机会还住', '短评打分': 5}
{'短评内容': '在那个地方凑合吧,没早餐,周边环境差vvbbbbb', '短评打分': 5}
{'短评内容': '不错的酒店，设备很新。订的豪华间还有电脑配，空调也是新式的。。唐海不错的酒店了价格也非常合理 交通业方便。还会再住 以后就固定这里了。毛巾床单都很干净', '短评打分': 5}
