{'短评内容': '酒店算干淨，不錯', '短评打分': 4}
{'短评内容': '态度不错，环境很好', '短评打分': 5}
{'短评内容': '不错的选择。', '短评打分': 4}
{'短评内容': '环境安静，交通方面！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 4}
{'短评内容': '很方便', '短评打分': 5}
{'短评内容': '在贵阳一般都住这里，很不错', '短评打分': 5}
{'短评内容': '环境好了嗯，位置好找。', '短评打分': 5}
{'短评内容': '经常住这里，很不错的', '短评打分': 5}
{'短评内容': '服务态度，房间舒适', '短评打分': 5}
{'短评内容': '服务态度好，房间很舒适', '短评打分': 5}
{'短评内容': '房间很不错，很喜欢，店员服务也挺好，以后还回来这里住', '短评打分': 5}
{'短评内容': '房间很不错，服务态度也很好，以后还会来这里住', '短评打分': 5}
{'短评内容': '离老城区很近，特别是去黔灵公园。周围吃饭什么的也很方便，洒店门口就有50路公交车座一站就可到贵阳高铁北站。酒店客房阿姨工作很负责任！每天都把我的房间整理的好好的。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '地理位置好找', '短评打分': 5}
{'短评内容': '挺好，前台服务很不错', '短评打分': 5}
{'短评内容': '干净，整洁，态度好。', '短评打分': 5}
{'短评内容': '酒店床很大，满意满意', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '听朋友说感觉不错，只是网上订的127到哪儿就要149了，没搞懂，预定后房价还会涨！', '短评打分': 4}
{'短评内容': '价格实惠，离高铁站15分钟车程。', '短评打分': 5}
{'短评内容': '住了好几晚，还是很满意的', '短评打分': 5}
{'短评内容': '住了好几天，挺满意的', '短评打分': 5}
{'短评内容': '酒店交通方便，周围吃饭的地方很多，遗憾的是酒店不是单独的楼，电梯又破又慢，房间卫生差', '短评打分': 2}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
